bound_id,information_class,selector_family_or_partition,measured_hit,empirical_miss_lower_bound,regret_to_endpoint_oracle,exact_partition_bound,theorem_status,artifact,note
B0,G0_random_or_tie,random/tie within trajectory,0.4297233780360411,0.5702766219639589,0.5147210664084033,1,finite_population_exact_for_registered_partition,oaci/reports/c52_tables/key_null_calibration_summary.csv,direct finite-population baseline with fractional tie handling
B1,G1_strict_source_observables,best strict source score,0.5061728395061729,0.49382716049382713,0.43827160493827155,0,observed_surrogate_or_diagnostic,oaci/reports/c52_tables/conditioning_ladder_summary.csv,registered source score surrogate; not a full Bayes optimum over all possible source functions
B2,G1_strict_source_observables,best hindsight source scalarization,0.5740740740740741,0.42592592592592593,0.37037037037037035,0,observed_surrogate_or_diagnostic,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json,diagnostic hindsight grid; not a tuned deployable selector
B3,G2_source_plus_key,best key/source-geometry baseline,0.4876543209876543,0.5123456790123457,0.4567901234567901,0,observed_surrogate_or_diagnostic,oaci/reports/c52_tables/gauge_key_decomposition.csv,key/source-geometry escape hatch remains below source rank and endpoint labels
B4,G2_source_plus_key,target/trajectory key-only identity tie,0.4297233780360411,0.5702766219639589,0.5147210664084033,1,finite_population_exact_for_registered_partition,oaci/reports/c52_tables/key_null_calibration_summary.csv,keys are constant inside each evaluated trajectory and do not order candidates
B5,G6_target_label_diagnostic_content,trajectory-centered label diagnostic,0.8127572016460904,0.18724279835390956,0.13168724279835398,0,observed_surrogate_or_diagnostic,oaci/reports/C52_MINIMAL_GAUGE_KEY_SUFFICIENCY.json,diagnostic label content closes most residual but is unavailable for source-only selection
B6,G6_target_label_diagnostic_content,best cross-cell endpoint template,0.7037037037037037,0.2962962962962963,0.2407407407407407,0,observed_surrogate_or_diagnostic,oaci/reports/C55_CROSS_CELL_ENDPOINT_TEMPLATE_BOUNDARY.json,partial template transfer; does not beat the max null p95
B7,G7_same_label_endpoint_oracle,same-label endpoint scalar,0.9444444444444444,0.05555555555555558,0.0,1,finite_population_exact_for_registered_partition,oaci/reports/C55_CROSS_CELL_ENDPOINT_TEMPLATE_BOUNDARY.json,endpoint-oracle reference; unavailable at selection time
B8,G6_target_label_diagnostic_content,best single endpoint component,0.9259259259259259,0.07407407407407407,0.01851851851851849,0,observed_surrogate_or_diagnostic,oaci/reports/C54_ENDPOINT_SCALAR_TAUTOLOGY_BIT_BUDGET.json,strong target endpoint component but target-label-derived
B9,G4/G6_conditioned_local_ceiling,C48 conditioned local Bayes ceiling,1.0,0.0,-0.05555555555555558,0,observed_surrogate_or_diagnostic,oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json,different diagnostic local ceiling; not selection-time rule
