partition_id,information_class,n_candidates,n_evaluation_cells,bayes_hit_proxy,bayes_error_proxy,exact_for_registered_partition,target_labels_used_to_define_partition,caveat
B0,G0_random_or_tie,3804,162,0.4297233780360411,0.5702766219639589,1,0,direct finite-population baseline with fractional tie handling
B1,G1_strict_source_observables,3804,162,0.5061728395061729,0.49382716049382713,0,0,registered source score surrogate; not a full Bayes optimum over all possible source functions
B2,G1_strict_source_observables,3804,162,0.5740740740740741,0.42592592592592593,0,0,diagnostic hindsight grid; not a tuned deployable selector
B3,G2_source_plus_key,3804,162,0.4876543209876543,0.5123456790123457,0,0,key/source-geometry escape hatch remains below source rank and endpoint labels
B4,G2_source_plus_key,3804,162,0.4297233780360411,0.5702766219639589,1,0,keys are constant inside each evaluated trajectory and do not order candidates
B5,G6_target_label_diagnostic_content,3804,162,0.8127572016460904,0.18724279835390956,0,1,diagnostic label content closes most residual but is unavailable for source-only selection
B6,G6_target_label_diagnostic_content,3804,162,0.7037037037037037,0.2962962962962963,0,1,partial template transfer; does not beat the max null p95
B7,G7_same_label_endpoint_oracle,3804,162,0.9444444444444444,0.05555555555555558,1,1,endpoint-oracle reference; unavailable at selection time
B8,G6_target_label_diagnostic_content,3804,162,0.9259259259259259,0.07407407407407407,0,1,strong target endpoint component but target-label-derived
B9,G4/G6_conditioned_local_ceiling,3804,162,1.0,0.0,0,1,different diagnostic local ceiling; not selection-time rule
