risk,status,blocking,control,scientific_registry_changed
prior_real_EEG_access_not_disclosed,ACCEPTED_DISCLOSED,0,job_895366_failure_record,0
prior_source_label_access_not_disclosed,ACCEPTED_DISCLOSED,0,2_source_label_arrays_recorded,0
target_y_access,CLOSED,0,counter_0_and_no_target_label_field,0
target_scientific_metric_access,CLOSED,0,counter_0,0
outcome_informed_scientific_change,CLOSED,0,engineering_tolerance_only,0
linear_tolerance_applied_to_strict_checks,CLOSED,0,split_1e-5_and_1e-6_contract,0
failed_partial_artifact_reuse,CLOSED,0,new_root_and_full_243_retrain,0
historical_authorization_reuse,CLOSED,0,fresh_V3_record_required,0
runtime_bound_object_drift,CLOSED,0,72_SHA_and_blob_replays,0
candidate_or_montage_identity_drift,CLOSED,0,fixed_digests,0
environment_or_loader_drift,CLOSED,0,exact_versions_and_4_loader_hashes,0
C84F_or_C84S_scope_creep,CLOSED,0,no_locks_and_forbidden_scope,0
new_external_root_precreated,CLOSED,0,root_absent,0
raw_EEG_weights_or_cache_in_Git,CLOSED,0,tracked_extension_and_size_scan,0
silent_C84C_rerun,CLOSED,0,new_lock_plus_fresh_authorization_required,0
