risk_id,risk,status,blocking,control,evidence_stage
R01,post_C81_outcome_access_not_disclosed,CONTROL_BOUND,0,protocol_epistemic_status_and_timing_audit,protocol
R02,C81_report_addendum_missing,CLOSED,0,addendum_commit_6f73bbc,protocol
R03,C81_result_reconstructed_from_memory_or_logs,CONTROL_BOUND,0,reconstruction_forbidden_and_no_C81_rows_loaded,protocol_and_lock
R04,frozen_selection_recomputed,CONTROL_BOUND,0,selection_recomputation_allowed_false,protocol_and_lock
R05,selection_payload_changed,CONTROL_BOUND,0,manifest_and_payload_SHA256_binding,protocol_and_lock
R06,new_method_added,CONTROL_BOUND,0,34_method_registry_and_19_selector_freeze,protocol_and_lock
R07,score_direction_changed,CONTROL_BOUND,0,C81_registry_identity_and_no_score_change,protocol_and_lock
R08,class_prior_changed,CONTROL_BOUND,0,C81_registry_identity_and_no_prior_change,protocol_and_lock
R09,hyperparameter_retuned,CONTROL_BOUND,0,C81_registry_identity_and_no_retuning,protocol_and_lock
R10,dict_order_used_as_schema,PENDING_IMPLEMENTATION_TEST,1,canonical_exact_field_set_and_order,synthetic
R11,partial_result_directory_visible,PENDING_IMPLEMENTATION_TEST,1,staging_plus_atomic_directory_rename,synthetic
R12,cross_seed_method_identity_lost,PENDING_IMPLEMENTATION_TEST,1,same_method_intersection_logic,synthetic
R13,seed_categories_match_but_methods_differ,PENDING_IMPLEMENTATION_TEST,1,different_method_truth_table_must_classify_D,synthetic
R14,LOTO_method_identity_not_audited,PENDING_IMPLEMENTATION_TEST,1,method_identity_in_all_16_LOTO_panels,synthetic
R15,Q3_registered_but_not_executable,PENDING_IMPLEMENTATION_TEST,1,objective_dependence_output_required,synthetic
R16,Q5_registered_but_not_executable,PENDING_IMPLEMENTATION_TEST,1,information_class_output_required,synthetic
R17,U16_registered_but_not_executable,PENDING_IMPLEMENTATION_TEST,1,U16_diagnostic_output_required,synthetic
R18,measurement_metric_semantically_inapplicable,CONTROL_BOUND,0,method_metric_applicability_registry,protocol_and_synthetic
R19,LORO_ambiguity_hidden,CLOSED,0,LORO_formally_removed_before_protocol_hash,protocol
R20,construction_labels_reloaded_unnecessarily,CONTROL_BOUND,0,frozen_C80_Q0_artifacts_only,lock_and_execution
R21,evaluation_opened_before_selection_replay,CONTROL_BOUND,0,selection_identity_barrier,lock_and_execution
R22,target4_primary_leakage,PENDING_IMPLEMENTATION_TEST,1,target_domain_and_target4_false_schema_rule,synthetic
R23,same_label_oracle_reachability,PENDING_IMPLEMENTATION_TEST,1,oracle_false_schema_and_lock,synthetic
R24,trial_checkpoint_pair_pseudoreplication,CONTROL_BOUND,0,target_principal_cluster_and_paired_seed,protocol_and_inference
R25,seed_treated_as_independent_population,CONTROL_BOUND,0,paired_training_factor,protocol_and_inference
R26,best_of_many_method_substitution,CONTROL_BOUND,0,six_fixed_primary_zero_label_representatives,protocol_and_lock
R27,source_relative_gain_called_low_absolute_regret,CONTROL_BOUND,0,claim_contract_scanner,red_team
R28,top1_failure_hidden,CONTROL_BOUND,0,Q3_and_topk_tables_required,red_team
R29,external_validity_overclaim,CONTROL_BOUND,0,post_outcome_existing_field_claim_boundary,red_team
R30,same_identity_rerun_after_post_evaluation_failure,CONTROL_BOUND,0,authorization_consumed_and_C82_E_failure_policy,protocol_and_execution
R31,raw_cache_or_weights_in_git,CONTROL_BOUND,0,Git_payload_hygiene_scan,regression
R32,oversized_git_payload,CONTROL_BOUND,0,50_MiB_policy_scan,regression
R33,manuscript_claim_before_valid_comparison,CONTROL_BOUND,0,manuscript_scope_forbidden,red_team
