artifact,role,required,primary_key,source,freeze_stage
method_context_results.csv,canonical_672_rows,1,seed|target|level|method_id,validated_in_memory_rows,atomic_stage
seed_method_Q1_Q2.csv,Q1_Q2_seed_method_decisions,1,seed|method_id,method_context_results,atomic_stage
cross_seed_qualifying_method_intersection.csv,same_method_intersections,1,qualification_set,seed_method_Q1_Q2,atomic_stage
cross_seed_method_identity_stability.csv,Q4_same_method_and_LOTO,1,taxonomy_component,seed_method_Q1_Q2|LOTO,atomic_stage
primary_method_regret_table.csv,primary_regret_summary,1,seed|method_id,method_context_results,atomic_stage
primary_method_selected_utility_table.csv,selected_utility_summary,1,seed|method_id,method_context_results,atomic_stage
primary_method_source_relative_gain.csv,source_relative_gain,1,seed|method_id,method_context_results,atomic_stage
primary_method_topk_table.csv,Q3_topk_summary,1,seed|method_id,method_context_results,atomic_stage
zero_label_vs_strict_source_maxT.csv,Q1_maxT,1,seed|method_id,method_context_results,atomic_stage
zero_label_vs_Q0_B1_noninferiority.csv,Q2_noninferiority,1,seed|method_id,method_context_results|frozen_Q0,atomic_stage
seed_specific_method_results.csv,seed_specific_complete_summary,1,seed|method_id,derived_summaries,atomic_stage
cross_seed_stability.csv,paired_seed_summary,1,method_id,seed_specific_results,atomic_stage
leave_one_target_method_stability.csv,16_LOTO_panels,1,held_out_target|method_id,method_context_results,atomic_stage
objective_dependence_Q3.csv,regret_vs_topk_decisions,1,seed|method_id|endpoint,derived_summaries,atomic_stage
information_class_summary_Q5.csv,fixed_information_progression,1,seed|information_class,method_context_results,atomic_stage
measurement_vs_decision_separation.csv,measurement_decision_contrast,1,seed|method_id,applicable_measurements|decisions,atomic_stage
method_measurement_metrics.csv,semantically_applicable_measurements,1,seed|target|level|method_id|metric,selection_scores|evaluation_utility,atomic_stage
accuracy_on_the_line_diagnostic.csv,U16_diagnostic,1,seed|target|level,U15_locked_line_artifacts|evaluation_utility,atomic_stage
target_level_catastrophic_failures.csv,catastrophic_target_audit,1,seed|target|method_id,method_context_results,atomic_stage
coverage_summary.csv,coverage,1,seed|method_id|k,method_context_results,atomic_stage
selected_regime_distribution.csv,regime_distribution,1,seed|method_id|regime,method_context_results,atomic_stage
q0_budget_context.csv,frozen_C80_context,1,seed|budget,C80_Q0_artifacts,atomic_stage
loro_status.csv,formal_LORO_removal,1,analysis_id,C82_protocol,atomic_stage
artifact_manifest.json,all_artifact_hashes_and_sizes,1,path,all_staged_artifacts,manifest_validation
C82_POST_C81_BASELINE_RECOVERY.json,final_machine_result,1,milestone,validated_manifest|taxonomy,after_manifest_validation
