method_id,status,decision_endpoints,rank_metrics,performance_estimation_metrics,U16_diagnostic,selected_regime,coverage,reason
B0,FEASIBLE_PRIMARY,1,0,0,0,1,1,analytic_random_control
B1,FEASIBLE_PRIMARY,1,0,0,0,1,1,fixed_deployment_control
B2,FEASIBLE_SECONDARY,1,0,0,0,1,1,fixed_deployment_control
B3,FEASIBLE_SECONDARY,1,0,0,0,1,1,fixed_deployment_control
B4O,FEASIBLE_SECONDARY,1,0,0,0,1,1,fixed_deployment_control
B4S,FEASIBLE_SECONDARY,1,0,0,0,1,1,fixed_deployment_control
B5,CEILING_ONLY_NOT_SELECTOR,1,0,0,0,1,1,evaluation_ceiling_only
S1,FEASIBLE_PRIMARY,1,1,1,0,1,1,score_estimates_source_validation_performance
S2,FEASIBLE_SECONDARY,1,1,0,0,1,1,negative_NLL_is_a_ranking_score_not_target_utility_estimate
S3,EXCLUDED_INPUT_UNAVAILABLE,0,0,0,0,0,0,required_source_folds_absent
S4,EXCLUDED_INPUT_UNAVAILABLE,0,0,0,0,0,0,registered_F2_inputs_not_in_frozen_selection_payload
U1,FEASIBLE_SECONDARY,1,1,0,0,1,1,ranking_score_not_calibrated_performance_estimate
U2,FEASIBLE_SECONDARY,1,1,0,0,1,1,ranking_score_not_calibrated_performance_estimate
U3,FEASIBLE_SECONDARY,1,1,0,0,1,1,ranking_score_not_calibrated_performance_estimate
U4,FEASIBLE_SECONDARY,1,1,0,0,1,1,ranking_score_not_calibrated_performance_estimate
U5,FEASIBLE_PRIMARY,1,1,0,0,1,1,ranking_score_not_calibrated_performance_estimate
U6,FEASIBLE_SECONDARY,1,1,1,0,1,1,source_calibrated_accuracy_estimate
U7,FEASIBLE_PRIMARY,1,1,1,0,1,1,source_calibrated_accuracy_estimate
U8,EXCLUDED_INPUT_UNAVAILABLE,0,0,0,0,0,0,density_ratio_inputs_absent
U9,EXCLUDED_INPUT_UNAVAILABLE,0,0,0,0,0,0,faithful_DEV_inputs_absent
U10,EXCLUDED_INPUT_UNAVAILABLE,0,0,0,0,0,0,group_accuracy_weight_inputs_absent
U11,FEASIBLE_PRIMARY,1,1,0,0,1,1,ranking_score_not_calibrated_performance_estimate
U12,FEASIBLE_SECONDARY,1,1,0,0,1,1,transport_cost_is_a_ranking_score_not_target_utility_estimate
U13,FEASIBLE_PRIMARY,1,1,1,0,1,1,thresholded_transport_accuracy_estimate
U14,FEASIBLE_PRIMARY,1,1,0,0,1,1,geometry_ranking_not_performance_estimate
U15,FEASIBLE_PRIMARY,1,1,1,0,1,1,agreement_line_target_performance_estimate
U16,FEASIBLE_DIAGNOSTIC_ONLY,0,0,1,1,0,0,accuracy_on_the_line_diagnostic_not_selector
L1,FEASIBLE_PRIMARY_FIXED_COMPARATOR,1,0,0,0,1,1,frozen_Q0_comparator
L2,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0,0,0,1,1,frozen_Q0_comparator
L3,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0,0,0,1,1,frozen_Q0_comparator
L4,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0,0,0,1,1,frozen_Q0_comparator
L5,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0,0,0,1,1,frozen_Q0_comparator
L6,FEASIBLE_SECONDARY_FIXED_COMPARATOR,1,0,0,0,1,1,frozen_Q0_comparator
L7,FEASIBLE_PRIMARY_FIXED_COMPARATOR,1,0,0,0,1,1,frozen_Q0_comparator
