analysis_id,role,operative_C82,required_output,implementation_requirement,claim_boundary
Q1,zero_label_vs_strict_source,1,seed_method_Q1_Q2.csv,maxT_target_cluster_same_method,material_improvement_field_specific
Q2,zero_label_vs_Q0_B1,1,seed_method_Q1_Q2.csv,noninferiority_target_cluster_same_method,noninferiority_not_equivalence
Q3,objective_dependence,1,objective_dependence_Q3.csv,regret_top1_top5_top10_decisions,no_endpoint_substitution
Q4,paired_seed_and_LOTO_stability,1,cross_seed_method_identity_stability.csv,same_method_intersection_and_16_LOTO_panels,training_seed_and_target_composition_only
Q5,information_class_summary,1,information_class_summary_Q5.csv,fixed_I0_IS_IU_ISU_ILc_representatives,field_specific_not_information_theorem
TAXONOMY,final_C82_A_to_E,1,C82_POST_C81_BASELINE_RECOVERY.json,blocker_D_A_B_C_precedence,C81_E_remains_historical
MEASUREMENT,semantically_applicable_secondary_metrics,1,method_measurement_metrics.csv,method_metric_applicability_enforced,measurement_not_decision
U16,Accuracy_on_the_Line_diagnostic,1,accuracy_on_the_line_diagnostic.csv,diagnostic_only_never_primary,not_selector
REGIME,selected_regime_distribution,1,selected_regime_distribution.csv,all_selectors_where_defined,no_transport_claim
CATASTROPHIC,target_level_failures,1,target_level_catastrophic_failures.csv,locked_floors_and_target_cluster,no_iid_rows
COVERAGE,topk_coverage,1,coverage_summary.csv,registered_top1_top5_top10,coverage_not_utility
LORO,cross_regime_selector_transport,0,loro_status.csv,explicit_REMOVED_NOT_APPLICABLE,no_cross_regime_transport_claim
