feature,family
R_src,source_risk
train_surrogate,source_risk
feat__source_guard_ece,source_calibration
feat__source_audit_ece,source_calibration
feat__source_guard_entropy,source_calibration
feat__source_audit_entropy,source_calibration
feat__source_guard_conf_on_wrong,source_calibration
feat__source_audit_conf_on_wrong,source_calibration
feat__selection_leakage_point,source_leakage
feat__audit_leakage_point,source_leakage
feat__source_guard_confidence,source_logit_geometry
feat__source_guard_margin,source_logit_geometry
feat__source_guard_logit_norm,source_logit_geometry
feat__source_guard_nll,source_logit_geometry
feat__source_audit_confidence,source_logit_geometry
feat__source_audit_margin,source_logit_geometry
feat__source_audit_logit_norm,source_logit_geometry
feat__source_audit_nll,source_logit_geometry
score,frozen_probe_competence_score
per_target_mean(score),target_gauge_intercept
