feature,within_target_auc,rank_strength
R_src,0.3755739318828421,0.1244260681171579
train_surrogate,0.5932777197582667,0.09327771975826671
feat__source_guard_ece,0.5894430914809999,0.08944309148099994
feat__source_audit_ece,0.5310572441700447,0.03105724417004474
feat__source_guard_entropy,0.4912031002951698,0.008796899704830219
feat__source_audit_entropy,0.4330049816775494,0.06699501832245058
feat__source_guard_conf_on_wrong,0.4476971598764965,0.0523028401235035
feat__source_audit_conf_on_wrong,0.5724291178332148,0.07242911783321482
feat__selection_leakage_point,0.5394710396439246,0.03947103964392462
feat__audit_leakage_point,0.5219140398765473,0.021914039876547275
feat__source_guard_confidence,0.5054530852181768,0.005453085218176779
feat__source_guard_margin,0.5128676631955204,0.012867663195520351
feat__source_guard_logit_norm,0.5100809805813531,0.010080980581353094
feat__source_guard_nll,0.3772550059521891,0.12274499404781092
feat__source_audit_confidence,0.5665976995963748,0.06659769959637485
feat__source_audit_margin,0.5703288649911785,0.07032886499117852
feat__source_audit_logit_norm,0.5669762707701878,0.06697627077018775
feat__source_audit_nll,0.4889845112061162,0.01101548879388381
