dataset,backbone,feature_object,training_method,heldout_subject,seed,eraser,eraser_rank,primary_mlp_small_kl,linear_kl,mlp_large_kl,familywise_max_kl,familywise_max_perm_p,primary_perm_p,config_hash,git_sha
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,full,0,0.6244197487831116,0.31062427163124084,1.2609370946884155,1.2609370946884155,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,whitening_only,0,0.2750377953052521,0.18775993585586548,1.4160192012786865,1.4160192012786865,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,lw_leace_full,10,0.0805523544549942,0.04159959778189659,0.39767515659332275,0.39767515659332275,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,0,random_k,10,0.5735251903533936,0.2946851849555969,1.23853600025177,1.23853600025177,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,full,0,0.7537512183189392,0.46486708521842957,1.3363620042800903,1.3363620042800903,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,whitening_only,0,0.24538372457027435,0.17478467524051666,1.3075395822525024,1.3075395822525024,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,lw_leace_full,10,0.14963020384311676,0.08889195322990417,0.5968328714370728,0.5968328714370728,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,1,random_k,10,0.720483124256134,0.42280444502830505,1.3066353797912598,1.3066353797912598,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,2,full,0,0.7442197799682617,0.4619155526161194,1.2472590208053589,1.2472590208053589,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
BNCI2015_001,dgcnn_forward_graph_adapter,graph_z,erm,1,2,whitening_only,0,0.2594926059246063,0.1811351776123047,1.3505637645721436,1.3505637645721436,0.047619047619047616,0.047619047619047616,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,f7772f56
