target,wave,level,regime,stage,job_id,GPU_model,wall_seconds_measured,GPU_hours_measured,CPU_only,external_storage_bytes
1,B,0,ERM,training,893033,Tesla V100S-PCIE-32GB,9.246039390563965,0.0025683442751566568,0,74768843
1,B,0,OACI,training,893033,Tesla V100S-PCIE-32GB,772.986914396286,0.21471858733230167,0,74768843
1,B,1,ERM,training,893033,Tesla V100S-PCIE-32GB,9.026954889297485,0.0025074874692493014,0,74768843
1,B,1,OACI,training,893033,Tesla V100S-PCIE-32GB,755.8771712779999,0.2099658809105555,0,74768843
1,B,0,SRC,training,893037,Tesla V100S-PCIE-32GB,674.4859745502472,0.18735721515284645,0,39484824
1,B,1,SRC,training,893037,Tesla V100S-PCIE-32GB,658.2473659515381,0.18284649054209393,0,39484824
1,B,all,all,CPU_instrumentation,893048,none,216.64669156074524,0,1,3345470009
2,B,0,ERM,training,893031,Tesla V100-PCIE-32GB,10.461117506027222,0.0029058659738964506,0,74768921
2,B,0,OACI,training,893031,Tesla V100-PCIE-32GB,885.3258457183838,0.2459238460328844,0,74768921
2,B,1,ERM,training,893031,Tesla V100-PCIE-32GB,9.368933200836182,0.002602481444676717,0,74768921
2,B,1,OACI,training,893031,Tesla V100-PCIE-32GB,868.2092957496643,0.2411692488193512,0,74768921
2,B,0,SRC,training,893035,Tesla V100-PCIE-32GB,777.0154030323029,0.21583761195341747,0,39484795
2,B,1,SRC,training,893035,Tesla V100-PCIE-32GB,745.9451293945312,0.2072069803873698,0,39484795
2,B,all,all,CPU_instrumentation,893046,none,116.39517831802368,0,1,3345470206
3,A,0,ERM,training,893005,Tesla V100S-PCIE-32GB,9.367125511169434,0.002601979308658176,0,74768590
3,A,0,OACI,training,893005,Tesla V100S-PCIE-32GB,768.9788069725037,0.2136052241590288,0,74768590
3,A,1,ERM,training,893005,Tesla V100S-PCIE-32GB,9.06340479850769,0.002517612444029914,0,74768590
3,A,1,OACI,training,893005,Tesla V100S-PCIE-32GB,749.0559356212616,0.20807109322812822,0,74768590
3,A,0,SRC,training,893009,Tesla V100S-PCIE-32GB,673.8498122692108,0.18718050340811412,0,39484848
3,A,1,SRC,training,893009,Tesla V100S-PCIE-32GB,663.8858897686005,0.18441274715794456,0,39484848
3,A,all,all,CPU_instrumentation,893026,none,201.01118516921997,0,1,3345469797
5,B,0,ERM,training,893030,Tesla V100-PCIE-16GB,10.274339437484741,0.002853983177079095,0,74768316
5,B,0,OACI,training,893030,Tesla V100-PCIE-16GB,848.104681968689,0.23558463388019138,0,74768316
5,B,1,ERM,training,893030,Tesla V100-PCIE-16GB,9.317272901535034,0.0025881313615375096,0,74768316
5,B,1,OACI,training,893030,Tesla V100-PCIE-16GB,827.2965290546417,0.22980459140406714,0,74768316
5,B,0,SRC,training,893034,Tesla V100-PCIE-16GB,746.8207092285156,0.207450197007921,0,39484846
5,B,1,SRC,training,893034,Tesla V100-PCIE-16GB,720.9219899177551,0.20025610831048754,0,39484846
5,B,all,all,CPU_instrumentation,893045,none,152.6987075805664,0,1,3345469635
6,A,0,ERM,training,893006,Tesla V100S-PCIE-32GB,9.251368522644043,0.0025698245896233454,0,74768978
6,A,0,OACI,training,893006,Tesla V100S-PCIE-32GB,847.8214552402496,0.23550595978895822,0,74768978
6,A,1,ERM,training,893006,Tesla V100S-PCIE-32GB,9.047466278076172,0.002513185077243381,0,74768978
6,A,1,OACI,training,893006,Tesla V100S-PCIE-32GB,823.9136760234833,0.22886491000652312,0,74768978
6,A,0,SRC,training,893010,Tesla V100S-PCIE-32GB,739.3244211673737,0.2053678947687149,0,39484766
6,A,1,SRC,training,893010,Tesla V100S-PCIE-32GB,714.4435577392578,0.1984565438164605,0,39484766
6,A,all,all,CPU_instrumentation,893027,none,219.2135329246521,0,1,3345470079
7,B,0,ERM,training,893032,Tesla V100S-PCIE-32GB,9.429121971130371,0.002619200547536214,0,74768805
7,B,0,OACI,training,893032,Tesla V100S-PCIE-32GB,780.666469335556,0.21685179703765445,0,74768805
7,B,1,ERM,training,893032,Tesla V100S-PCIE-32GB,9.165868282318115,0.002546074522866143,0,74768805
7,B,1,OACI,training,893032,Tesla V100S-PCIE-32GB,764.6755478382111,0.21240987439950307,0,74768805
7,B,0,SRC,training,893036,Tesla V100S-PCIE-32GB,675.456378698349,0.1876267718606525,0,39484799
7,B,1,SRC,training,893036,Tesla V100S-PCIE-32GB,661.4713571071625,0.18374204364087846,0,39484799
7,B,all,all,CPU_instrumentation,893047,none,206.1436414718628,0,1,3345470009
8,A,0,ERM,training,893003,Tesla V100-PCIE-16GB,9.575647354125977,0.002659902042812771,0,74768907
8,A,0,OACI,training,893003,Tesla V100-PCIE-16GB,846.0278811454773,0.2350077447626326,0,74768907
8,A,1,ERM,training,893003,Tesla V100-PCIE-16GB,9.962840557098389,0.002767455710305108,0,74768907
8,A,1,OACI,training,893003,Tesla V100-PCIE-16GB,827.5069582462311,0.2298630439572864,0,74768907
8,A,0,SRC,training,893007,Tesla V100-PCIE-16GB,740.9508926868439,0.20581969241301218,0,39484747
8,A,1,SRC,training,893007,Tesla V100-PCIE-16GB,721.3574793338776,0.20037707759274376,0,39484747
8,A,all,all,CPU_instrumentation,893024,none,187.43354630470276,0,1,3345470052
9,A,0,ERM,training,893004,Tesla V100-PCIE-32GB,9.737287521362305,0.0027048020892673067,0,74768861
9,A,0,OACI,training,893004,Tesla V100-PCIE-32GB,880.8176264762878,0.24467156291007996,0,74768861
9,A,1,ERM,training,893004,Tesla V100-PCIE-32GB,9.643036127090454,0.002678621146414015,0,74768861
9,A,1,OACI,training,893004,Tesla V100-PCIE-32GB,880.4598779678345,0.24457218832439848,0,74768861
9,A,0,SRC,training,893008,Tesla V100-PCIE-32GB,771.3186728954315,0.21425518691539763,0,39484754
9,A,1,SRC,training,893008,Tesla V100-PCIE-32GB,738.4678730964661,0.20512996474901835,0,39484754
9,A,all,all,CPU_instrumentation,893025,none,118.37953495979309,0,1,3345470055
