target,view_name,fields,field_count,schema_passed
1,strict_source_input,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",5,1
1,target_unlabeled_input,"[""X"", ""target_id"", ""target_trial_id""]",3,1
1,target_construction_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
1,target_evaluation_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
1,same_label_oracle_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
1,instrumented_outputs,registered_Wb_source_target_unlabeled,3,1
2,strict_source_input,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",5,1
2,target_unlabeled_input,"[""X"", ""target_id"", ""target_trial_id""]",3,1
2,target_construction_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
2,target_evaluation_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
2,same_label_oracle_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
2,instrumented_outputs,registered_Wb_source_target_unlabeled,3,1
3,strict_source_input,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",5,1
3,target_unlabeled_input,"[""X"", ""target_id"", ""target_trial_id""]",3,1
3,target_construction_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
3,target_evaluation_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
3,same_label_oracle_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
3,instrumented_outputs,registered_Wb_source_target_unlabeled,3,1
5,strict_source_input,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",5,1
5,target_unlabeled_input,"[""X"", ""target_id"", ""target_trial_id""]",3,1
5,target_construction_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
5,target_evaluation_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
5,same_label_oracle_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
5,instrumented_outputs,registered_Wb_source_target_unlabeled,3,1
6,strict_source_input,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",5,1
6,target_unlabeled_input,"[""X"", ""target_id"", ""target_trial_id""]",3,1
6,target_construction_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
6,target_evaluation_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
6,same_label_oracle_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
6,instrumented_outputs,registered_Wb_source_target_unlabeled,3,1
7,strict_source_input,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",5,1
7,target_unlabeled_input,"[""X"", ""target_id"", ""target_trial_id""]",3,1
7,target_construction_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
7,target_evaluation_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
7,same_label_oracle_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
7,instrumented_outputs,registered_Wb_source_target_unlabeled,3,1
8,strict_source_input,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",5,1
8,target_unlabeled_input,"[""X"", ""target_id"", ""target_trial_id""]",3,1
8,target_construction_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
8,target_evaluation_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
8,same_label_oracle_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
8,instrumented_outputs,registered_Wb_source_target_unlabeled,3,1
9,strict_source_input,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]",5,1
9,target_unlabeled_input,"[""X"", ""target_id"", ""target_trial_id""]",3,1
9,target_construction_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
9,target_evaluation_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
9,same_label_oracle_view,"[""split_role"", ""target_class_label"", ""target_trial_id""]",3,1
9,instrumented_outputs,registered_Wb_source_target_unlabeled,3,1
