unit_id,dataset,target,seed,level,regime,epoch,trajectory_order,wave,role,retention_rule,target_outcome_used_for_retention
c78_527d3c9c5f50eea090ff,BNCI2014_001,4,3,0,ERM,199,0,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_6722a368d12a50de2c87,BNCI2014_001,4,3,0,OACI,4,1,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_31d1bc22030691f96eac,BNCI2014_001,4,3,0,OACI,9,2,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_9913467e8e94dad1fc4b,BNCI2014_001,4,3,0,OACI,14,3,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_12696ca42788ecf9f75c,BNCI2014_001,4,3,0,OACI,19,4,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_7bcef9b4fadeb5c777e9,BNCI2014_001,4,3,0,OACI,24,5,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_2f3fefd7421c45e99007,BNCI2014_001,4,3,0,OACI,29,6,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_96513ac34c60c1a9aeaf,BNCI2014_001,4,3,0,OACI,34,7,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_74526c900af912384a9e,BNCI2014_001,4,3,0,OACI,39,8,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_9d01c04cc061bc8fed9b,BNCI2014_001,4,3,0,OACI,44,9,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_ad91da8c2d2220bf900e,BNCI2014_001,4,3,0,OACI,49,10,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_e6d07130fc3dcddf4a3d,BNCI2014_001,4,3,0,OACI,54,11,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_823c430715d4bef9c6a6,BNCI2014_001,4,3,0,OACI,59,12,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_bc943d21bf343732a80e,BNCI2014_001,4,3,0,OACI,64,13,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_91d45da142c2a96861a0,BNCI2014_001,4,3,0,OACI,69,14,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_5f6f19e3a371da3a9c97,BNCI2014_001,4,3,0,OACI,74,15,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_c86c27e79aaca54b9d4e,BNCI2014_001,4,3,0,OACI,79,16,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
c78_0ccbd83dfdaa96d8c816,BNCI2014_001,4,3,0,OACI,84,17,CANARY,engineering_canary_descriptive_only,parent_committed_C78_or_C78R,0
