event,stage,job_id,target,wave,time_utc,failure_stage,EEG_data_loaded,training_started,target_labels_accessed,retry_reason,replacement_job_id,final_status
start,oaci_erm_training,893003,8,A,2026-07-11T02:15:30Z,,1,1,0,,,started
start,oaci_erm_training,893004,9,A,2026-07-11T02:15:36Z,,1,1,0,,,started
start,oaci_erm_training,893005,3,A,2026-07-11T02:15:44Z,,1,1,0,,,started
start,oaci_erm_training,893006,6,A,2026-07-11T02:15:51Z,,1,1,0,,,started
complete,oaci_erm_training,893005,3,A,2026-07-11T02:44:51Z,,1,0,0,,,completed
start,src_training,893009,3,A,2026-07-11T02:45:00Z,,1,1,0,,,started
complete,oaci_erm_training,893003,8,A,2026-07-11T02:47:21Z,,1,0,0,,,completed
start,src_training,893007,8,A,2026-07-11T02:47:31Z,,1,1,0,,,started
complete,oaci_erm_training,893006,6,A,2026-07-11T02:48:23Z,,1,0,0,,,completed
start,src_training,893010,6,A,2026-07-11T02:48:34Z,,1,1,0,,,started
complete,oaci_erm_training,893004,9,A,2026-07-11T02:48:58Z,,1,0,0,,,completed
start,src_training,893008,9,A,2026-07-11T02:49:08Z,,1,1,0,,,started
complete,src_training,893009,3,A,2026-07-11T03:08:01Z,,1,0,0,,,completed
complete,src_training,893007,8,A,2026-07-11T03:12:48Z,,1,0,0,,,completed
complete,src_training,893010,6,A,2026-07-11T03:13:52Z,,1,0,0,,,completed
complete,src_training,893008,9,A,2026-07-11T03:15:18Z,,1,0,0,,,completed
start,oaci_erm_training,893030,5,B,2026-07-11T03:26:41Z,,1,1,0,,,started
start,oaci_erm_training,893031,2,B,2026-07-11T03:26:52Z,,1,1,0,,,started
start,oaci_erm_training,893032,7,B,2026-07-11T03:26:57Z,,1,1,0,,,started
start,oaci_erm_training,893033,1,B,2026-07-11T03:27:02Z,,1,1,0,,,started
complete,oaci_erm_training,893033,1,B,2026-07-11T03:56:14Z,,1,0,0,,,completed
start,src_training,893037,1,B,2026-07-11T03:56:24Z,,1,1,0,,,started
complete,oaci_erm_training,893032,7,B,2026-07-11T03:56:34Z,,1,0,0,,,completed
start,src_training,893036,7,B,2026-07-11T03:56:43Z,,1,1,0,,,started
complete,oaci_erm_training,893030,5,B,2026-07-11T03:58:32Z,,1,0,0,,,completed
start,src_training,893034,5,B,2026-07-11T03:58:43Z,,1,1,0,,,started
complete,oaci_erm_training,893031,2,B,2026-07-11T04:00:11Z,,1,0,0,,,completed
start,src_training,893035,2,B,2026-07-11T04:00:21Z,,1,1,0,,,started
complete,src_training,893037,1,B,2026-07-11T04:19:19Z,,1,0,0,,,completed
complete,src_training,893036,7,B,2026-07-11T04:19:42Z,,1,0,0,,,completed
complete,src_training,893034,5,B,2026-07-11T04:24:06Z,,1,0,0,,,completed
complete,src_training,893035,2,B,2026-07-11T04:26:42Z,,1,0,0,,,completed
