phase_id,wave,target,level,regime,job_stage,dependency,target_outcome_blind
c78f_phase_01,A,8,0,ERM,oaci_erm,none,1
c78f_phase_02,A,8,0,OACI,oaci_erm,none,1
c78f_phase_03,A,8,0,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_04,A,8,1,ERM,oaci_erm,none,1
c78f_phase_05,A,8,1,OACI,oaci_erm,none,1
c78f_phase_06,A,8,1,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_07,A,9,0,ERM,oaci_erm,none,1
c78f_phase_08,A,9,0,OACI,oaci_erm,none,1
c78f_phase_09,A,9,0,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_10,A,9,1,ERM,oaci_erm,none,1
c78f_phase_11,A,9,1,OACI,oaci_erm,none,1
c78f_phase_12,A,9,1,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_13,A,3,0,ERM,oaci_erm,none,1
c78f_phase_14,A,3,0,OACI,oaci_erm,none,1
c78f_phase_15,A,3,0,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_16,A,3,1,ERM,oaci_erm,none,1
c78f_phase_17,A,3,1,OACI,oaci_erm,none,1
c78f_phase_18,A,3,1,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_19,A,6,0,ERM,oaci_erm,none,1
c78f_phase_20,A,6,0,OACI,oaci_erm,none,1
c78f_phase_21,A,6,0,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_22,A,6,1,ERM,oaci_erm,none,1
c78f_phase_23,A,6,1,OACI,oaci_erm,none,1
c78f_phase_24,A,6,1,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_25,B,5,0,ERM,oaci_erm,none,1
c78f_phase_26,B,5,0,OACI,oaci_erm,none,1
c78f_phase_27,B,5,0,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_28,B,5,1,ERM,oaci_erm,none,1
c78f_phase_29,B,5,1,OACI,oaci_erm,none,1
c78f_phase_30,B,5,1,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_31,B,2,0,ERM,oaci_erm,none,1
c78f_phase_32,B,2,0,OACI,oaci_erm,none,1
c78f_phase_33,B,2,0,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_34,B,2,1,ERM,oaci_erm,none,1
c78f_phase_35,B,2,1,OACI,oaci_erm,none,1
c78f_phase_36,B,2,1,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_37,B,7,0,ERM,oaci_erm,none,1
c78f_phase_38,B,7,0,OACI,oaci_erm,none,1
c78f_phase_39,B,7,0,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_40,B,7,1,ERM,oaci_erm,none,1
c78f_phase_41,B,7,1,OACI,oaci_erm,none,1
c78f_phase_42,B,7,1,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_43,B,1,0,ERM,oaci_erm,none,1
c78f_phase_44,B,1,0,OACI,oaci_erm,none,1
c78f_phase_45,B,1,0,SRC,src,same_target_oaci_erm_field_frozen,1
c78f_phase_46,B,1,1,ERM,oaci_erm,none,1
c78f_phase_47,B,1,1,OACI,oaci_erm,none,1
c78f_phase_48,B,1,1,SRC,src,same_target_oaci_erm_field_frozen,1
