unit_id,target,level,regime,trajectory_order,checkpoint_id,parent_ERM_checkpoint_id,previous_trajectory_checkpoint_id,genealogy_rule,ERM_retrained_in_SRC_process,OACI_weight_access_in_SRC_process,passed
c78f_212bb3954f4b0a6f2797,1,0,ERM,0,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_dc21b11dd757156157ea,1,0,OACI,1,7c19f41968bd14d560c546750cd5e8081918ff84c0785ca5f5ec5e4b65da06f0,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_9f74a4745e381eb5b17c,1,0,OACI,2,8bcdfe6711ee16a1231deaf142b81ba51cf442c1f9eb58ee3d8b03dd1f3570a4,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,7c19f41968bd14d560c546750cd5e8081918ff84c0785ca5f5ec5e4b65da06f0,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_1106b50bcc784fa7cc68,1,0,OACI,3,d4dc175512268c1a4ba44e246cc36bdb1b0d27b929041a1a847043f392e950ce,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,8bcdfe6711ee16a1231deaf142b81ba51cf442c1f9eb58ee3d8b03dd1f3570a4,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_fe4636b3ea18f85d7cf3,1,0,OACI,4,c0a396dbb880abee96ff8d7a5ff4702ac29c2cd091df26746f7d78cc4626fb9f,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,d4dc175512268c1a4ba44e246cc36bdb1b0d27b929041a1a847043f392e950ce,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_fcb88b2b0df8d5d1d443,1,0,OACI,5,d5890b54c6598fccfa9e3dc44f5264718c1ccac8a0b4e077af06490cf98bfea3,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,c0a396dbb880abee96ff8d7a5ff4702ac29c2cd091df26746f7d78cc4626fb9f,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_ac947d453a66debd6e79,1,0,OACI,6,342498f2d8b72f2a2436d2803ecc78a85f399ca58e3f5f190132221a258efb13,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,d5890b54c6598fccfa9e3dc44f5264718c1ccac8a0b4e077af06490cf98bfea3,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_f56e5e37cbac1b7b55a4,1,0,OACI,7,77cea3e35813f7c6ac161a62cc4afa693d46e4cba4c7daf0778b6924605c2724,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,342498f2d8b72f2a2436d2803ecc78a85f399ca58e3f5f190132221a258efb13,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_044410d399b189d17097,1,0,OACI,8,f1057215299d7b23a8c2c98b348b066fb3a2c1d89a3e939bf311291c480697ad,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,77cea3e35813f7c6ac161a62cc4afa693d46e4cba4c7daf0778b6924605c2724,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
c78f_ba577379736112946452,1,0,OACI,9,474902ac40b3d25272ccaa0f88cfa6123294a224728f63d8f6158ebfe7ef1c54,212385e859eec5c6b66f4b79ec49494ae3aef22ae1fbc38b8c3a6ef57d5d2faa,f1057215299d7b23a8c2c98b348b066fb3a2c1d89a3e939bf311291c480697ad,shared_level_ERM_parent_plus_previous_regime_order,0,0,1
