path,sha256,bytes
oaci/reports/C78F_AUTHORIZED_EXECUTION_LOCK.json,077c311f7360807663af337d455708b63ebf6ddfacf55694b0d9564a09bbe438,3764
oaci/reports/C78F_AUTHORIZED_EXECUTION_LOCK.sha256,beb98dd4b63d163438cf94f509651b509a2a9b187d7c660115dc3fc0f9fd7b9c,65
oaci/reports/C78F_COLLECTOR_REPAIR_PROTOCOL.json,60c4c4f2a9a78e7d68af995a6319989c0d9cb46f331d9af54260f3d7e76b508e,1426
oaci/reports/C78F_COLLECTOR_REPAIR_PROTOCOL.sha256,424a5508664293bf1c5d2bd82b12f19a497eb7adeb047b259eb6c1a105bbf4ce,65
oaci/reports/C78F_COLLECTOR_REPAIR_RED_TEAM.md,ccbe42eca7dae75d12e6d654aad4136da31cd3043186880d398f0abc3728c00b,476
oaci/reports/C78F_AUTHORIZED_RED_TEAM_VERIFICATION.md,ce17dd89d27498f38874e9377132b463187978a2fff8b1975e54bfd4e0b983f1,1131
oaci/reports/C78F_FULL_SEED3_FIELD.json,8324d1aec1c49ee1fcd9b3007c741ff07b0e9192f503cef994ac5dc19c99b869,4315
oaci/reports/C78F_FULL_SEED3_FIELD.md,7f34390e3632b6c0abd90cc56749b9edd5f7153a06d45366eaef7c420f56c847,4226
oaci/reports/C78F_FULL_SEED3_FIELD_PROTOCOL.json,85aba93fe2e232f0434162b3c6c97a30cac02047228676951c25cbab805d3d84,8000
oaci/reports/C78F_FULL_SEED3_FIELD_PROTOCOL.sha256,7eaee39ed9b8accf8207aa02ac47ff85ed0985fc64140275f939b9505a4d84b1,65
oaci/reports/C78F_PROTOCOL_TIMING_AUDIT.md,943ec8b5c66b09474c3e4c8c2affca1e7d266bb918d9948135f6165e14b8cc68,953
oaci/reports/C78S_SEED3_SCIENTIFIC_ANALYSIS_PROTOCOL.json,df85699090a65d1e1766d754bcebd9eb5648cc13e4441d8074a3f4884487c7f8,3482
oaci/reports/C78S_SEED3_SCIENTIFIC_ANALYSIS_PROTOCOL.sha256,2539b54968a61cb35802407ae24681b4a3ea4add9baf7efccf3959ae789cbe2e,65
oaci/reports/c78f_tables/C78S_protocol_lock_audit.csv,35bef5c1149a62b73213622e19a677d7b3f2c283c2e0dd22877b6adfa548687e,345
oaci/reports/c78f_tables/MNE_lock_isolation_audit.csv,05e9fa29ba771e10a31f6c6d69dc69dcd01f2ceaacdef9a813d200931bbed44b,156
oaci/reports/c78f_tables/Wz_logit_identity_summary.csv,7e351d6bc7d8044de0497496b49db38add3df55f587fb0f91b980241a2effbc6,368
oaci/reports/c78f_tables/actual_compute_storage_summary.csv,01eafcc7c9be99e27104066fdbd8dcfa37538b7da4e10afaa88bdeae25275b76,793
oaci/reports/c78f_tables/authorization_audit.csv,039017afe8693f9096fd5bfa15d5921cd1a111cf414075eea0411631b81b7dae,320
oaci/reports/c78f_tables/authorized_red_team_checks.csv,1836b1d7ab3d654db2fe97306d71b379d367f4dfb486179073122ddc4137076c,5513
oaci/reports/c78f_tables/authorized_red_team_repair_ledger.csv,53b8e4bd4541184f2b254ed3cb6e8099e8ab65a80ae7f98f989ee88276d86415,650
oaci/reports/c78f_tables/checkpoint_cadence_audit.csv,5503795384c29b9484984377a4b0a38e58e95040d96e0efcbcccddd4393cfd72,1151
