category,check,status,blocking,evidence
timing,red_team_precedes_main_report,PASS,1,md=False;json=False
protocol,C78F_protocol_hash,PASS,1,85aba93fe2e232f0434162b3c6c97a30cac02047228676951c25cbab805d3d84
protocol,C78S_protocol_hash,PASS,1,df85699090a65d1e1766d754bcebd9eb5648cc13e4441d8074a3f4884487c7f8
protocol,C78S_bound_into_C78F,PASS,1,"{'analysis_started_in_C78F': False, 'locked_before_remaining_target_outcome_access': True, 'path': 'oaci/reports/C78S_SEED3_SCIENTIFIC_ANALYSIS_PROTOCOL.json', 'sha256': 'df85699090a65d1e1766d754bcebd9eb5648cc13e4441d8074a3f4884487c7f8'}"
authorization,direct_user_authorization_recorded,PASS,1,"{'evidence_sha256': '84591fc3dc99fa5cbc464e255a986a3b3c315304fb81e76fac5267462ea13e47', 'magic_token_required': False, 'mode': 'direct_explicit_user_authorization', 'received': True, 'received_at_utc': '2026-07-11T02:14:38Z', 'scope_bound': True}"
authorization,magic_token_removed,PASS,1,direct lock only
authorization,scope_bound_execution_lock,PASS,1,2de617ba72faa126122f896e07dbb37b98335a11bd4ca71121c6b0731155b0f8
timing,zero_access_before_lock,PASS,1,0/0/0
implementation,all_locked_files_replay,PASS,1,16
scope,full_unit_registry_1458,PASS,1,1458
scope,remaining_registry_1296,PASS,1,1296
scope,remaining_regime_counts,PASS,1,16/640/640
scope,target4_exact_162,PASS,1,162
scope,seed3_only,PASS,1,['3']
scope,BNCI001_only,PASS,1,['BNCI2014_001']
