unit_id,dataset,target,seed,level,regime,epoch,trajectory_order,checkpoint_id,checkpoint_file_sha256,sidecar_sha256,optimizer_state_hash,checkpoint_state_hash_match,checkpoint_file_hash_match,sidecar_hash_match,optimizer_state_hash_match,target_outcome_used_for_retention,parent_campaign,all_hashes_passed
c78_527d3c9c5f50eea090ff,BNCI2014_001,4,3,0,ERM,199,0,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,845bea1fa94fbad163d516fe178e379638d1c99ae451a8c90fcf5f7c3189e49e,26743138565335126013fe53859e5de5594ebfa06767e0445a83dbed768dae88,e9ec826971e53088257856175aa3422cf39397d8bb27c8dfc6e398ec58e300d6,1,1,1,1,0,C78,1
c78_6722a368d12a50de2c87,BNCI2014_001,4,3,0,OACI,4,1,ecd9dab068515ddc6733e5f45ffde3e16d15fb4e6304f33259c8c8b5197c9b3b,1f46d6e369a544a189b0ffc16f2b71cb7cf85b272d6ed7532c8558a4d568eba7,21b52a45b40e06cd3fb5dab83d94aea67058c7dde0954f6dfd19311e086cf7e9,9c42a5362bc4048877f7fd9996a00baa1d69a0310d84c7bded66cce3d812dc90,1,1,1,1,0,C78,1
c78_31d1bc22030691f96eac,BNCI2014_001,4,3,0,OACI,9,2,753d45953161fc518314d31323d7d6a015ec8cb3605c7e6eeb8c9b0abe1df2b0,27a39e97494757828635c8e08179866d9c6b91a7ef11bbab05008b434fbb98de,3f6b67955e21319a71a1939618c780760b42bf961081de19b23d4694474cc1a5,c39e80f0ca5934e67df1d09d7a82b803d06d70ddfa7effc61808a7acc320c798,1,1,1,1,0,C78,1
c78_9913467e8e94dad1fc4b,BNCI2014_001,4,3,0,OACI,14,3,66e41eb7243ba5fbf354dd6da6a64484fde1a264856c577af7842e316e1806e4,b9e0bbd9ba100245a2bf402192207fdfb28e9f4ca40c4ae235ecfaa01aa0c626,e443fa1799dbfaf1217a353a2491aebb09a516dbcd018a137f1b651873776a1b,7ae6fcf02dc53aafc54533358cde2be318f6b5052611e0b9fa060f58129a80c7,1,1,1,1,0,C78,1
c78_12696ca42788ecf9f75c,BNCI2014_001,4,3,0,OACI,19,4,21282ff76009f132bb601294848cba84ba15b182a9c06b34d471149cfb644938,0cfa0dc8b85fc405816b71309852e7bcfb7620636e36f9fa405fdbab814185a1,248da18631ecbb5e731b90ffa7f34851be636a1030919daa79cc78620a36ab17,6473cbea11135b82dd3d3399940e3b854c1c162211f189b8ed1e5b598c97d729,1,1,1,1,0,C78,1
c78_7bcef9b4fadeb5c777e9,BNCI2014_001,4,3,0,OACI,24,5,908b2fbcc6405166694ccdc38aaacd9806a44549ad8cd61bc2f125bee2d0a563,89cfde79dff9d5b1712aaab0675d39f9e64b3c2e15910a8202140cf1c584be12,835fd89bf026e83b28769a1b85d7d39c4b59ca8bc771a2b6d624f9340b79db83,55f0778bf122751b2045d53beeabdab9f25f873523191f892219c7100f472c60,1,1,1,1,0,C78,1
c78_2f3fefd7421c45e99007,BNCI2014_001,4,3,0,OACI,29,6,4c5027e10bed69777946b96ca8445089a993ada2e1a9aded6930085619f4eb06,868e1cb1ecc819b374193cd087f05d9c955995578c4da04ae447f78061594ae9,0ccd214788f11e1bcfe411e02626fa68066bce20b5e2054f24361ca2073565b3,7463342373a16e589acf440aa8510e154e82d50dc4575f039a4c183341b9d68f,1,1,1,1,0,C78,1
c78_96513ac34c60c1a9aeaf,BNCI2014_001,4,3,0,OACI,34,7,40bfff3ab65a3f2180c2663cfdaae323b42502add95cefddf2f4aed9bc259ab8,155b18e7d29716a09e7eb278f706dee3831daa47308d2e55c274bf7341158cf7,7793594b432a3c6277c191b350ec200ac320f695623c47c2ee3b9b9e0f5fb645,ef6f514ab189c46b02fca975eb2bf17f6dbc29ec09ceee5b823be8b90140535c,1,1,1,1,0,C78,1
c78_74526c900af912384a9e,BNCI2014_001,4,3,0,OACI,39,8,0d29166eba6a5d38fb180b55f048bc983ef92729efa499cf504fcbc104ea0695,65becf75c4c245c05e6db36ef12481f5741571b7bf64bcce61d8e6c6d0a9a8bb,8a85e1501e1b9cc525b67fc723f61b290ff4a635e5d335db7501b76389ed8421,e591b7ea3e41aa2147a27578132ac8879046f88fc83257bffafa90c85d3cb49c,1,1,1,1,0,C78,1
c78_9d01c04cc061bc8fed9b,BNCI2014_001,4,3,0,OACI,44,9,421c5f4420d6d646044f7df86cbc8999d5d30cb1f3e489492bf10e3aed1fc1fe,014947bc194edf38f7924348b1a90883882e1b9da7fa907e82f95d985875e8d3,b19070c84980ffd67ee602a3c57db839346d76b9e91225f61518707c338daf5a,195aa4d0e4244bb0bc287421cfa5a942c3bacddd655e3744331a0d146b885f5c,1,1,1,1,0,C78,1
