path,size_bytes,over_50MiB,passed
oaci/reports/c78_tables/P2_expansion_gate.csv,283,0,1
oaci/reports/c78_tables/Wz_logit_dummy_ABI.csv,352,0,1
oaci/reports/c78_tables/Wz_logit_identity_summary.csv,196,0,1
oaci/reports/c78_tables/actual_compute_storage_summary.csv,431,0,1
oaci/reports/c78_tables/authorized_external_manifest.csv,1242,0,1
oaci/reports/c78_tables/authorized_red_team_checks.csv,10582,0,1
oaci/reports/c78_tables/authorized_red_team_repair_ledger.csv,2009,0,1
oaci/reports/c78_tables/c78_authorization_audit.csv,312,0,1
oaci/reports/c78_tables/c78_code_config_hash_replay.csv,1889,0,1
oaci/reports/c78_tables/c78_dual_mode_provenance.csv,262,0,1
oaci/reports/c78_tables/c78_environment_preflight.csv,1054,0,1
oaci/reports/c78_tables/c78_protocol_replay.csv,687,0,1
oaci/reports/c78_tables/c78_storage_preflight.csv,491,0,1
oaci/reports/c78_tables/c78_target_isolation_preflight.csv,771,0,1
oaci/reports/c78_tables/c78_unit_manifest.csv,12649,0,1
oaci/reports/c78_tables/checkpoint_cadence_audit.csv,872,0,1
oaci/reports/c78_tables/checkpoint_genealogy.csv,23025,0,1
oaci/reports/c78_tables/checkpoint_hash_replay.csv,13138,0,1
oaci/reports/c78_tables/checkpoint_manifest.csv,29212,0,1
oaci/reports/c78_tables/determinism_replay.csv,320,0,1
oaci/reports/c78_tables/effective_multiplicity_top_gap_smoke.csv,381,0,1
oaci/reports/c78_tables/execution_attempt_ledger.csv,740,0,1
oaci/reports/c78_tables/failure_reason_ledger.csv,548,0,1
oaci/reports/c78_tables/instrumentation_schema_audit.csv,3121,0,1
oaci/reports/c78_tables/level_compatibility_audit.csv,181,0,1
oaci/reports/c78_tables/physical_view_manifest.csv,1829,0,1
oaci/reports/c78_tables/pilot_smoke_summary.csv,277,0,1
oaci/reports/c78_tables/red_team_checks.csv,13764,0,1
oaci/reports/c78_tables/red_team_repair_ledger.csv,1524,0,1
oaci/reports/c78_tables/registered_feature_block_computability.csv,445,0,1
oaci/reports/c78_tables/regression_verification.csv,734,0,1
oaci/reports/c78_tables/risk_register.csv,1997,0,1
oaci/reports/c78_tables/seed4_protection_audit.csv,148,0,1
oaci/reports/c78_tables/source_trajectory_sanity.csv,338,0,1
oaci/reports/c78_tables/target_endpoint_smoke.csv,6273,0,1
oaci/reports/c78_tables/target_isolation_runtime_audit.csv,332,0,1
oaci/reports/c78_tables/training_runtime_ledger.csv,683,0,1
oaci/reports/C78_AUTHORIZED_PREEXECUTION_RED_TEAM.md,3195,0,1
oaci/reports/C78_AUTHORIZED_RED_TEAM_VERIFICATION.md,3094,0,1
oaci/reports/C78_NO_AUTH_BASELINE.md,4501,0,1
oaci/reports/C78_NO_AUTH_RED_TEAM_VERIFICATION.md,2319,0,1
oaci/reports/C78_PROTOCOL_TIMING_AUDIT.md,921,0,1
oaci/reports/C78_RED_TEAM_VERIFICATION.md,3094,0,1
oaci/reports/C78_SEED3_INSTRUMENTED_PILOT.md,5690,0,1
oaci/reports/C78_AUTHORIZED_P1_EXECUTION_LOCK.json,3376,0,1
oaci/reports/C78_AUTHORIZED_PILOT_STATE.json,3191,0,1
oaci/reports/C78_NO_AUTH_BASELINE.json,2883,0,1
oaci/reports/C78_SEED3_INSTRUMENTED_PILOT.json,4808,0,1
oaci/reports/C78_SEED3_INSTRUMENTED_PILOT_PROTOCOL.json,15096,0,1
oaci/reports/C78_SEED3_INSTRUMENTED_PILOT_STATE.json,1691,0,1
oaci/reports/C78_AUTHORIZED_P1_EXECUTION_LOCK.sha256,65,0,1
oaci/reports/C78_SEED3_INSTRUMENTED_PILOT_PROTOCOL.sha256,65,0,1
oaci/conditioned_ceiling_coverage/c78_authorized_collect.py,31167,0,1
oaci/conditioned_ceiling_coverage/c78_authorized_common.py,7210,0,1
oaci/conditioned_ceiling_coverage/c78_authorized_finalize.py,17471,0,1
oaci/conditioned_ceiling_coverage/c78_authorized_instrument.py,25402,0,1
oaci/conditioned_ceiling_coverage/c78_authorized_red_team.py,20225,0,1
oaci/conditioned_ceiling_coverage/c78_authorized_train.py,33036,0,1
oaci/conditioned_ceiling_coverage/c78_finalize.py,13183,0,1
oaci/conditioned_ceiling_coverage/c78_red_team.py,18041,0,1
oaci/conditioned_ceiling_coverage/c78_seed3_instrumented_pilot.py,36433,0,1
oaci/slurm_c78_authorized_aggregate.sh,686,0,1
oaci/slurm_c78_authorized_collect.sh,521,0,1
oaci/slurm_c78_authorized_finalize.sh,528,0,1
oaci/slurm_c78_authorized_instrument.sh,820,0,1
oaci/slurm_c78_authorized_prepare_views.sh,864,0,1
oaci/slurm_c78_authorized_red_team.sh,527,0,1
oaci/slurm_c78_authorized_test.sh,627,0,1
oaci/slurm_c78_authorized_train.sh,901,0,1
oaci/slurm_c78_finalize.sh,339,0,1
oaci/slurm_c78_preflight.sh,350,0,1
oaci/slurm_c78_red_team.sh,339,0,1
oaci/slurm_c78_regression.sh,1051,0,1
oaci/tests/test_c78_authorized_collect.py,2481,0,1
oaci/tests/test_c78_authorized_pilot.py,7934,0,1
oaci/tests/test_c78_seed3_instrumented_pilot.py,7731,0,1
