unit_id,level,regime,trajectory_order,checkpoint_id,parent_ERM_checkpoint_id,previous_trajectory_checkpoint_id,genealogy_rule,passed
c78_527d3c9c5f50eea090ff,0,ERM,0,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_6722a368d12a50de2c87,0,OACI,1,ecd9dab068515ddc6733e5f45ffde3e16d15fb4e6304f33259c8c8b5197c9b3b,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_31d1bc22030691f96eac,0,OACI,2,753d45953161fc518314d31323d7d6a015ec8cb3605c7e6eeb8c9b0abe1df2b0,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,ecd9dab068515ddc6733e5f45ffde3e16d15fb4e6304f33259c8c8b5197c9b3b,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_9913467e8e94dad1fc4b,0,OACI,3,66e41eb7243ba5fbf354dd6da6a64484fde1a264856c577af7842e316e1806e4,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,753d45953161fc518314d31323d7d6a015ec8cb3605c7e6eeb8c9b0abe1df2b0,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_12696ca42788ecf9f75c,0,OACI,4,21282ff76009f132bb601294848cba84ba15b182a9c06b34d471149cfb644938,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,66e41eb7243ba5fbf354dd6da6a64484fde1a264856c577af7842e316e1806e4,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_7bcef9b4fadeb5c777e9,0,OACI,5,908b2fbcc6405166694ccdc38aaacd9806a44549ad8cd61bc2f125bee2d0a563,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,21282ff76009f132bb601294848cba84ba15b182a9c06b34d471149cfb644938,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_2f3fefd7421c45e99007,0,OACI,6,4c5027e10bed69777946b96ca8445089a993ada2e1a9aded6930085619f4eb06,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,908b2fbcc6405166694ccdc38aaacd9806a44549ad8cd61bc2f125bee2d0a563,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_96513ac34c60c1a9aeaf,0,OACI,7,40bfff3ab65a3f2180c2663cfdaae323b42502add95cefddf2f4aed9bc259ab8,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,4c5027e10bed69777946b96ca8445089a993ada2e1a9aded6930085619f4eb06,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_74526c900af912384a9e,0,OACI,8,0d29166eba6a5d38fb180b55f048bc983ef92729efa499cf504fcbc104ea0695,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,40bfff3ab65a3f2180c2663cfdaae323b42502add95cefddf2f4aed9bc259ab8,shared_level_ERM_parent_plus_previous_OACI_order,1
c78_9d01c04cc061bc8fed9b,0,OACI,9,421c5f4420d6d646044f7df86cbc8999d5d30cb1f3e489492bf10e3aed1fc1fe,f00195eb88e57314caa278ca4cb91e13940c2294c3866ed85aa9bb8c089c0a5a,0d29166eba6a5d38fb180b55f048bc983ef92729efa499cf504fcbc104ea0695,shared_level_ERM_parent_plus_previous_OACI_order,1
