check,passed,blocking,observed,expected,note
authorized_report_absent_before_red_team,1,1,c78_seed3_instrumented_pilot_no_auth_result_v1,no-auth schema,
no_auth_baseline_commit,1,1,67bca01949c88ab58360179d19868aa78cfc93b7,git commit,
protocol_hash,1,1,ad6f4e034318b879755ca46a719d39cfd3d3c36d7ee8478771d08778a8b71afc,ad6f4e034318b879755ca46a719d39cfd3d3c36d7ee8478771d08778a8b71afc,
execution_lock_hash,1,1,83688f90e47ca10b47ba4ae30ea97c738729a48208b3e9434e32bfdf05b180d7,83688f90e47ca10b47ba4ae30ea97c738729a48208b3e9434e32bfdf05b180d7,
implementation_files_replay,1,1,9,9,
authorization_exact_digest,1,1,077241b125cb49982a41767a4e49d2894b930506bd9c65ecb7e2cb7fc915f06f,registered digest,
field_82_unique,1,1,82/82,82/82,
field_regime_counts,1,1,2/80/0,2/80/0,
fixed_retention_frozen,1,1,True,True,
source_only_training_subjects,1,1,"[1, 2, 3, 7, 8, 9]","[1, 2, 3, 7, 8, 9]",
training_target_rows_zero,1,1,"{'BNCI2014_004_access': 0, 'GPU_count': 1, 'GPU_name': 'Tesla V100-PCIE-32GB', 'GPU_wall_hours': 0.5436387952168783, 'SLURM_job_id': '892832', 'external_storage_bytes_at_freeze': 74708228, 'peak_GPU_memory_bytes': 8659497472, 'process_CPU_seconds': 6381.202294731, 'retry_or_requeue_count': 0, 'seed4_access': 0, 'source_audit_subjects_loaded_during_training': [], 'source_training_subjects': [1, 2, 3, 7, 8, 9], 'target_data_rows_loaded_during_training': 0, 'target_label_reads_during_training': 0, 'target_subject_loaded_during_training': False, 'wall_seconds': 1957.0996627807617}",target rows/labels zero,
training_source_audit_absent,1,1,[],[],
seed4_BNCI004_absent,1,1,0/0,0/0,
source_loader_offline,1,1,"{'evidence_hash': 'fa42c2c0c8bf69385e4fddd3224964801540dc02be03c4f17c2ccc9f325fdd31', 'network_attempt_count': 0, 'raw_fingerprint': 'bbda0c7b5502f318fe9a7a516fc8024a98f2430065e043272d099676b15cdf86', 'rows': 3456, 'subjects': [1, 2, 3, 7, 8, 9]}",0 network;3456 rows,
checkpoint_optimizer_replay_table,1,1,rows=82;pass=82,82/82,
independent_checkpoint_optimizer_rehash,1,1,82,82,
two_level_cadence,1,1,"[{'level': '0', 'ERM_expected': '1', 'ERM_actual': '1', 'OACI_expected': '40', 'OACI_actual': '40', 'cadence_expected': '[4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99, 104, 109, 114, 119, 124, 129, 134, 139, 144, 149, 154, 159, 164, 169, 174, 179, 184, 189, 194, 199]', 'cadence_actual': '[4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99, 104, 109, 114, 119, 124, 129, 134, 139, 144, 149, 154, 159, 164, 169, 174, 179, 184, 189, 194, 199]', 'passed': '1', 'status': 'executed'}, {'level': '1', 'ERM_expected': '1', 'ERM_actual': '1', 'OACI_expected': '40', 'OACI_actual': '40', 'cadence_expected': '[4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99, 104, 109, 114, 119, 124, 129, 134, 139, 144, 149, 154, 159, 164, 169, 174, 179, 184, 189, 194, 199]', 'cadence_actual': '[4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99, 104, 109, 114, 119, 124, 129, 134, 139, 144, 149, 154, 159, 164, 169, 174, 179, 184, 189, 194, 199]', 'passed': '1', 'status': 'executed'}]",41 each level,
