check,passed,blocking,observed,expected,note
main_report_absent_before_red_team,1,1,False,False,
protocol_full_sha256,1,1,ad6f4e034318b879755ca46a719d39cfd3d3c36d7ee8478771d08778a8b71afc,ad6f4e034318b879755ca46a719d39cfd3d3c36d7ee8478771d08778a8b71afc,
protocol_hash_is_full,1,1,64,64,
unique_token_field,1,1,authorization.exact_token,authorization.exact_token,
token_not_empty,1,1,51,>32,
prompt_not_authorization,1,1,False,False,
environment_not_authorization,1,1,False,False,
generic_authorization_rejected,1,1,False,False,
whitespace_token_rejected,1,1,False,False,
protocol_anchor_exact,1,1,23f549d73803bd23e435f7dae581de29bf62285f,23f549d,
protocol_anchor_precedes_C77_result,1,1,True,True,
state_protocol_identity,1,1,23f549d73803bd23e435f7dae581de29bf62285f:ad6f4e034318b879755ca46a719d39cfd3d3c36d7ee8478771d08778a8b71afc,23f549d73803bd23e435f7dae581de29bf62285f:ad6f4e034318b879755ca46a719d39cfd3d3c36d7ee8478771d08778a8b71afc,
manifest_82_unique,1,1,rows=82;unique=82,82;82,
manifest_target4,1,1,['4'],['4'],
manifest_seed3,1,1,['3'],['3'],
manifest_levels_0_1,1,1,"['0', '1']","['0', '1']",
manifest_dataset_only,1,1,['BNCI2014_001'],['BNCI2014_001'],
manifest_regimes_exact,1,1,"['ERM', 'OACI']","['ERM', 'OACI']",
manifest_ERM_asymmetric,1,1,2,2,
manifest_OACI_complete,1,1,80,80,
SRC_absent,1,1,0,0,
unit_execution_all_zero,1,1,0,0,
level_0_cadence,1,1,"[4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99, 104, 109, 114, 119, 124, 129, 134, 139, 144, 149, 154, 159, 164, 169, 174, 179, 184, 189, 194, 199]","[4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99, 104, 109, 114, 119, 124, 129, 134, 139, 144, 149, 154, 159, 164, 169, 174, 179, 184, 189, 194, 199]",
level_1_cadence,1,1,"[4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99, 104, 109, 114, 119, 124, 129, 134, 139, 144, 149, 154, 159, 164, 169, 174, 179, 184, 189, 194, 199]","[4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99, 104, 109, 114, 119, 124, 129, 134, 139, 144, 149, 154, 159, 164, 169, 174, 179, 184, 189, 194, 199]",
code_config_seven_rows,1,1,7,7,
historical_blobs_and_configs_exact,1,1,7,7,
