item,finding,resolution
R1_no_auth_vs_authorized_provenance,C78 has both a no-auth readiness baseline and a later exact-token execution,dual-mode ledger preserves commit 67bca01 and authorized jobs separately
R2_GPU_determinism_gate,job 892830 failed before data because CuBLAS deterministic workspace was unset,prospective lock repaired with CUBLAS_WORKSPACE_CONFIG=:4096:8; job 892832 passed; failed attempt retained
R3_target_process_isolation,the generic MOABB loader returns labels,training loaded source-train subjects only; target was provisioned only after FIELD_FROZEN and inference received an X/ID-only NPZ
R4_dummy_vs_real_identity,P0 dummy identity was insufficient,authorized instrumentation checked 425088 real trial-unit rows over 82 checkpoints with all maxima zero
R5_trajectory_stress,"both levels have 23/40 source-risk-feasible OACI points, lambda reaches 20, and level-1 surrogate reaches -49.694","reported as pipeline smoke stress; no stability, replication, or control claim"
R6_CPU_peak_RAM,Slurm accounting DB refused the post-completion query,CPU peak RAM is marked unavailable; no estimate substituted; GPU peak/runtime and storage remain measured
R7_ERM_OACI_asymmetry,ERM has one anchor while OACI has 40 trajectory points per level,all tables and report keep anchors and trajectories separate
R8_SRC_gap,SRC execution/instrumentation path remains unexercised,full seed-3 expansion is not ready or authorized; final gate requires PM-reviewed SRC canary/path proof
R9_smoke_target_outcomes,post-freeze bAcc/NLL/ECE could be misread as checkpoint selection,"smoke emits no checkpoint ID, best flag, or recommendation and carries diagnostic-only fields"
R10_isolation_boolean_semantics,"red-team job 892850 incorrectly required every isolation-ledger boolean to be true, including safe negative fields such as target_unlabeled_contains_labels=false",the rerun checks unsafe visibility fields are false and physical-separation fields are true; the failed review attempt is retained
