scenario,test_contract,expected,observed,passed,real_EEG_arrays_loaded,real_labels_read,dataset_downloads
S01,bound_implementation_modified_after_lock,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S02,bound_registry_modified_after_lock,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S03,wrong_torch_distribution_version,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S04,wrong_MOABB_distribution_version,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S05,wrong_MNE_distribution_version,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S06,wrong_loader_source_hash,FAIL_BEFORE_DATA,FAIL_BEFORE_DATA,1,0,0,0
S07,missing_or_extra_source_subject,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S08,wrong_channel_order_correct_count,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S09,wrong_sfreq_correct_sample_count,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S10,bad_or_synthesized_channel_marker,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S11,source_audit_artifact_absent,FAIL_COMPLETE_GATE,FAIL_COMPLETE_GATE,1,0,0,0
S12,saved_softmax_changed,FAIL_REPLAY,FAIL_REPLAY,1,0,0,0
S13,saved_z_or_logits_changed,FAIL_REPLAY,FAIL_REPLAY,1,0,0,0
S14,optimizer_state_unloadable,FAIL_REPLAY,FAIL_REPLAY,1,0,0,0
S15,sidecar_identity_drift,FAIL_REPLAY,FAIL_REPLAY,1,0,0,0
S16,target_structural_y_explodes_on_access,PASS_WITH_ZERO_ACCESS,PASS_WITH_ZERO_ACCESS,1,0,0,0
S17,target_metadata_label_like_field,FAIL_CLOSED,FAIL_CLOSED,1,0,0,0
S18,post_consumption_CUDA_failure,ATTEMPT_LEDGER_PERSISTED,ATTEMPT_LEDGER_PERSISTED,1,0,0,0
S19,all_243_source_and_target_artifacts,COMPLETE_GATE_PASS,COMPLETE_GATE_PASS,1,0,0,0
S20,historical_V2_lock_preserved_nonoperative,PASS,PASS,1,0,0,0
