risk,blocking,status,control,real_outcome_access
historical_lock_used_for_execution,0,CLOSED_BY_V3_LOCKED_CONTROL,additive_V3_protocol_and_new_lock_required,0
bound_file_drift_after_lock,0,CLOSED_BY_V3_LOCKED_CONTROL,runtime_SHA_and_Git_blob_replay_before_output_root,0
bound_registry_drift,0,CLOSED_BY_V3_LOCKED_CONTROL,runtime_table_SHA_replay,0
historical_python_version_incompatible,0,CLOSED_BY_V3_LOCKED_CONTROL,dedicated_Python_3.13.7_exact_snapshot,0
package_version_drift,0,CLOSED_BY_V3_LOCKED_CONTROL,importlib_metadata_and_runtime_version_replay,0
loader_source_drift,0,CLOSED_BY_V3_LOCKED_CONTROL,four_source_hashes_before_get_data,0
subject_omission_or_addition,0,CLOSED_BY_V3_LOCKED_CONTROL,exact_loaded_subject_set_assertion,0
channel_order_or_sfreq_drift,0,CLOSED_BY_V3_LOCKED_CONTROL,returned_Epochs_interface_assertion,0
source_audit_missing,0,CLOSED_BY_V3_LOCKED_CONTROL,243_artifact_complete_gate,0
target_label_consumed,0,CLOSED_BY_V3_LOCKED_CONTROL,structural_slot_unbound_and_metadata_scanner,0
saved_artifact_drift,0,CLOSED_BY_V3_LOCKED_CONTROL,reload_and_recompute_all_identifies,0
nondeterministic_training_prefix,0,CLOSED_BY_V3_LOCKED_CONTROL,two_repeat_prefix_fingerprint,0
post_consumption_failure_unrecorded,0,CLOSED_BY_V3_LOCKED_CONTROL,attempt_ledger_before_import,0
C84F_or_C84S_lock_created,0,CLOSED_BY_V3_LOCKED_CONTROL,C84R2_creates_C84C_lock_only,0
real_data_access_in_C84R2,0,CLOSED_BY_V3_LOCKED_CONTROL,protocol_and_tests_are_synthetic_only,0
