schema_version,field,required,semantic_replay
c85u_protected_input_replay_receipt_v2,authorization_file_sha256,1,1
c85u_protected_input_replay_receipt_v2,authorization_binding_sha256,1,1
c85u_protected_input_replay_receipt_v2,authorization_id,1,1
c85u_protected_input_replay_receipt_v2,execution_lock_sha256,1,1
c85u_protected_input_replay_receipt_v2,execution_lock_commit,1,1
c85u_protected_input_replay_receipt_v2,attempt_id,1,1
c85u_protected_input_replay_receipt_v2,output_root,1,1
c85u_protected_input_replay_receipt_v2,evaluation_label_table_sha256,1,1
c85u_protected_input_replay_receipt_v2,evaluation_label_table_rows,1,1
c85u_protected_input_replay_receipt_v2,evaluation_view_manifest_sha256,1,1
c85u_protected_input_replay_receipt_v2,target_artifact_rows,1,1
c85u_protected_input_replay_receipt_v2,target_artifact_total_bytes,1,1
c85u_protected_input_replay_receipt_v2,target_artifact_registry_sha256,1,1
c85u_protected_input_replay_receipt_v2,target_sidecar_rows,1,1
c85u_protected_input_replay_receipt_v2,target_sidecar_registry_sha256,1,1
c85u_protected_input_replay_receipt_v2,replay_completed_at_utc,1,1
