object,path,sha256,rows,payload_opened_C85UR1
complete_field_manifest,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/C84F_COMPLETE_FIELD_MANIFEST.json,cfffcac1a55148941b809b69bed2c9a8957a94729ed7f2c2c29ed8d48c0134d8,1944,0
target_trial_registry,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/C84F_TARGET_UNLABELED_TRIAL_REGISTRY.json,52526aaf7d9bd941bac693a0947971dc35b9083c1c783619f97055926aceabb8,9621,0
operative_candidate_registry,/home/infres/yinwang/CMI_AAAI_oaci/oaci/reports/c84fl2_tables/operative_complete_unit_registry_replay.csv,b0117d94f221eaab1b49b7181f3a026a77ee19ee4e1f7e8e9b9de541c7d45591,1944,0
evaluation_seal,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v3/stage_a_labels/C84S_STAGE_A_EVALUATION_SEAL.json,54e06dff60d80255631dc4faa20c8c7db651f2af8fc5415671dd9ab6681b5502,1,0
evaluation_view_manifest,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v3/stage_a_labels/target_evaluation_label_view/manifest.json,6fad247629eb48340a4badf9ab1a0669652757a58216e46826e4dfd8bfd608bd,1,0
evaluation_label_table,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v3/stage_a_labels/target_evaluation_label_view/labels.csv,ea76c34663edac1e6e7e844fee6af3f06058aaaf3846febda1dff94df343a371,4848,0
target_artifact_registry,/home/infres/yinwang/CMI_AAAI_oaci/oaci/reports/c85urp_tables/target_artifact_registry.csv,f25be920e5c41bacdbb2dc3f581f599c3cf0d644020be95c31bf6bd7ac01361d,1944,0
target_sidecar_registry,/home/infres/yinwang/CMI_AAAI_oaci/oaci/reports/c85urp_tables/target_artifact_registry.csv,a97327f27881edb8e6e1856e2b8fa81374b70e7c186bec4fdab043d55afacd87,1944,0
candidate_order_registry,/home/infres/yinwang/CMI_AAAI_oaci/oaci/reports/c85urp_tables/candidate_order_registry.csv,09cdb44fa4c4785e7e1ef97bf7eaf376001f53d706fc2667f8f62282ae579891,1944,0
context_descriptor_registry,/home/infres/yinwang/CMI_AAAI_oaci/oaci/reports/c85urp_tables/context_descriptor_registry.csv,ab9f87e18fd90a6316716f9198a347f580ecf97afa6414f7aa3791ab28c60af4,944,0
