feature,family
target_pred_prop_c0,signed_pred_prop
target_pred_prop_c1,signed_pred_prop
target_pred_prop_c2,signed_pred_prop
target_pred_prop_c3,signed_pred_prop
predmix_entropy,symmetric_summary
predmix_max_mass,symmetric_summary
predmix_dist_uniform,symmetric_summary
predmix_gini,symmetric_summary
target_confidence_mean,confidence_margin_scaffold
target_confidence_std,confidence_margin_scaffold
target_entropy_mean,confidence_margin_scaffold
target_entropy_std,confidence_margin_scaffold
target_margin_mean,confidence_margin_scaffold
target_margin_std,confidence_margin_scaffold
target_logit_norm_mean,confidence_margin_scaffold
target_logit_norm_std,confidence_margin_scaffold
