check,passed
config_hash_unchanged,1
c37_exact_ucl_pairs_imported,1
actual_selector_score_name_frozen,1
selection_selected_and_better_atoms_available,1
selected_aggregate_identity_before_better_atom_claims,1
identity_failure_blocks_atom_contribution_claims,1
atom_additive_identity_passed_for_recomputed_points,1
source_audit_atoms_replayed_not_used_as_selection_proxy,1
ucl_quantile_not_summed_from_atoms,1
replicate_atom_limit_disclosed,1
target_gauge_diagnostic_only,1
no_training_no_reinference,1
no_selector_repair,1
no_selected_checkpoint_method_artifact,1
no_monolithic_large_json,1
finite_filtering_applied,1
target_labels_not_loaded_for_replay,1
diagnostic_only_non_deployable,1
