pair_id,pair_key,seed,target,level,regime,selected_order,better_order,dominant_atom_id,dominant_class_id,dominant_class_name,dominant_domain_id,dominant_domain_name,dominant_atom_delta_better_minus_selected,dominant_atom_positive_share,dominant_atom_prefers,target_gauge_delta_better_minus_selected,target_gauge_prefers,target_endpoint_prefers,target_bacc_delta,target_nll_improve_delta,target_ece_improve_delta,atom_target_gauge_conflict,target_gauge_non_source_only
0|1|0|S0_full_support|nearest_continuous_better|15|16,0|1|0|15|16,0,1,0,S0_full_support,15,16,y1:d2,1,right_hand,2,BNCI2014_001|subject-006,0.027428092282570413,0.15663889915577292,selected,0.026041666666666574,better,better,0.026041666666666574,0.05558207706117613,0.06860014266367442,1,1
0|1|0|S2_rare_cells|nearest_continuous_better|15|16,0|1|0|15|16,0,1,0,S2_rare_cells,15,16,y1:d2,1,right_hand,2,BNCI2014_001|subject-006,0.027428092282570413,0.15663889915577292,selected,0.026041666666666574,better,better,0.026041666666666574,0.05558207706117613,0.06860014266367442,1,1
0|1|0|S3_nonestimable_cells|nearest_continuous_better|15|16,0|1|0|15|16,0,1,0,S3_nonestimable_cells,15,16,y1:d2,1,right_hand,2,BNCI2014_001|subject-006,0.027428092282570413,0.15663889915577292,selected,0.026041666666666574,better,better,0.026041666666666574,0.05558207706117613,0.06860014266367442,1,1
0|1|1|S0_full_support|nearest_continuous_better|14|13,0|1|1|14|13,0,1,1,S0_full_support,14,13,y0:d3,0,left_hand,3,BNCI2014_001|subject-007,0.014404474379075431,0.1289154110512324,selected,0.01215277777777779,better,better,0.01215277777777779,0.005949657389187291,-0.005331816743904719,1,1
0|1|1|S2_rare_cells|nearest_continuous_better|14|13,0|1|1|14|13,0,1,1,S2_rare_cells,14,13,y0:d3,0,left_hand,3,BNCI2014_001|subject-007,0.014404474379075431,0.1289154110512324,selected,0.01215277777777779,better,better,0.01215277777777779,0.005949657389187291,-0.005331816743904719,1,1
0|1|1|S3_nonestimable_cells|nearest_continuous_better|14|13,0|1|1|14|13,0,1,1,S3_nonestimable_cells,14,13,y0:d3,0,left_hand,3,BNCI2014_001|subject-007,0.014404474379075431,0.1289154110512324,selected,0.01215277777777779,better,better,0.01215277777777779,0.005949657389187291,-0.005331816743904719,1,1
0|2|0|S0_full_support|nearest_continuous_better|2|1,0|2|0|2|1,0,2,0,S0_full_support,2,1,y0:d0,0,left_hand,0,BNCI2014_001|subject-001,0.028982897073569977,0.15947704431584483,selected,-0.0013570206152028197,selected,better,-0.006944444444444475,0.21817126051429336,0.06492600893763659,0,1
0|2|0|S2_rare_cells|nearest_continuous_better|2|1,0|2|0|2|1,0,2,0,S2_rare_cells,2,1,y0:d0,0,left_hand,0,BNCI2014_001|subject-001,0.028982897073569977,0.15947704431584483,selected,-0.0013570206152028197,selected,better,-0.006944444444444475,0.21817126051429336,0.06492600893763659,0,1
0|2|0|S3_nonestimable_cells|nearest_continuous_better|2|1,0|2|0|2|1,0,2,0,S3_nonestimable_cells,2,1,y0:d0,0,left_hand,0,BNCI2014_001|subject-001,0.028982897073569977,0.15947704431584483,selected,-0.0013570206152028197,selected,better,-0.006944444444444475,0.21817126051429336,0.06492600893763659,0,1
0|2|1|S0_full_support|nearest_continuous_better|0|1,0|2|1|0|1,0,2,1,S0_full_support,0,1,y1:d2,1,right_hand,2,BNCI2014_001|subject-006,0.013641073528484142,0.16802934121816498,selected,0.045611410249885964,better,better,0.02083333333333337,0.2050756132655298,0.05316164174919619,1,1
0|2|1|S2_rare_cells|nearest_continuous_better|0|1,0|2|1|0|1,0,2,1,S2_rare_cells,0,1,y1:d2,1,right_hand,2,BNCI2014_001|subject-006,0.013641073528484142,0.16802934121816498,selected,0.045611410249885964,better,better,0.02083333333333337,0.2050756132655298,0.05316164174919619,1,1
0|2|1|S3_nonestimable_cells|nearest_continuous_better|0|1,0|2|1|0|1,0,2,1,S3_nonestimable_cells,0,1,y1:d2,1,right_hand,2,BNCI2014_001|subject-006,0.013641073528484142,0.16802934121816498,selected,0.045611410249885964,better,better,0.02083333333333337,0.2050756132655298,0.05316164174919619,1,1
0|3|0|S0_full_support|nearest_continuous_better|0|1,0|3|0|0|1,0,3,0,S0_full_support,0,1,y0:d3,0,left_hand,3,BNCI2014_001|subject-007,0.014181350809496049,0.16642958428730104,selected,0.09895833333333326,better,better,0.09895833333333326,0.18391770480451586,0.08466597985004098,1,1
0|3|0|S2_rare_cells|nearest_continuous_better|0|1,0|3|0|0|1,0,3,0,S2_rare_cells,0,1,y0:d3,0,left_hand,3,BNCI2014_001|subject-007,0.014181350809496049,0.16642958428730104,selected,0.09895833333333326,better,better,0.09895833333333326,0.18391770480451586,0.08466597985004098,1,1
0|3|0|S3_nonestimable_cells|nearest_continuous_better|0|1,0|3|0|0|1,0,3,0,S3_nonestimable_cells,0,1,y0:d3,0,left_hand,3,BNCI2014_001|subject-007,0.014181350809496049,0.16642958428730104,selected,0.09895833333333326,better,better,0.09895833333333326,0.18391770480451586,0.08466597985004098,1,1
0|3|1|S0_full_support|nearest_continuous_better|4|10,0|3|1|4|10,0,3,1,S0_full_support,4,10,y2:d1,2,feet,1,BNCI2014_001|subject-002,0.021759909371436827,0.09620238980150224,selected,0.013888888888888729,better,better,0.013888888888888729,0.045768205884761604,0.0017215556515128086,1,1
0|3|1|S2_rare_cells|nearest_continuous_better|4|10,0|3|1|4|10,0,3,1,S2_rare_cells,4,10,y2:d1,2,feet,1,BNCI2014_001|subject-002,0.021759909371436827,0.09620238980150224,selected,0.013888888888888729,better,better,0.013888888888888729,0.045768205884761604,0.0017215556515128086,1,1
0|3|1|S3_nonestimable_cells|nearest_continuous_better|4|10,0|3|1|4|10,0,3,1,S3_nonestimable_cells,4,10,y2:d1,2,feet,1,BNCI2014_001|subject-002,0.021759909371436827,0.09620238980150224,selected,0.013888888888888729,better,better,0.013888888888888729,0.045768205884761604,0.0017215556515128086,1,1
0|4|1|S0_full_support|nearest_continuous_better|2|1,0|4|1|2|1,0,4,1,S0_full_support,2,1,y2:d2,2,feet,2,BNCI2014_001|subject-003,0.011461494437301309,0.10759887384030985,selected,0.015625,better,better,0.015625,0.13318270604371718,0.08710997542683796,1,1
0|4|1|S2_rare_cells|nearest_continuous_better|2|1,0|4|1|2|1,0,4,1,S2_rare_cells,2,1,y2:d2,2,feet,2,BNCI2014_001|subject-003,0.011461494437301309,0.10759887384030985,selected,0.015625,better,better,0.015625,0.13318270604371718,0.08710997542683796,1,1
0|4|1|S3_nonestimable_cells|nearest_continuous_better|2|1,0|4|1|2|1,0,4,1,S3_nonestimable_cells,2,1,y2:d2,2,feet,2,BNCI2014_001|subject-003,0.011461494437301309,0.10759887384030985,selected,0.015625,better,better,0.015625,0.13318270604371718,0.08710997542683796,1,1
0|5|0|S0_full_support|nearest_continuous_better|19|18,0|5|0|19|18,0,5,0,S0_full_support,19,18,y1:d1,1,right_hand,1,BNCI2014_001|subject-002,0.02270379889496804,0.10184653196909255,selected,-0.003472222222222321,selected,better,-0.003472222222222321,0.16663394182359292,-0.00790710181833748,0,1
0|5|0|S2_rare_cells|nearest_continuous_better|19|18,0|5|0|19|18,0,5,0,S2_rare_cells,19,18,y1:d1,1,right_hand,1,BNCI2014_001|subject-002,0.02270379889496804,0.10184653196909255,selected,-0.003472222222222321,selected,better,-0.003472222222222321,0.16663394182359292,-0.00790710181833748,0,1
0|5|0|S3_nonestimable_cells|nearest_continuous_better|19|18,0|5|0|19|18,0,5,0,S3_nonestimable_cells,19,18,y1:d1,1,right_hand,1,BNCI2014_001|subject-002,0.02270379889496804,0.10184653196909255,selected,-0.003472222222222321,selected,better,-0.003472222222222321,0.16663394182359292,-0.00790710181833748,0,1
0|6|1|S0_full_support|nearest_continuous_better|20|19,0|6|1|20|19,0,6,1,S0_full_support,20,19,y2:d0,2,feet,0,BNCI2014_001|subject-001,0.022344286923019305,0.1853950063571457,selected,0.019097222222222265,better,better,0.019097222222222265,0.05578218952912373,0.06022071697834286,1,1
0|6|1|S2_rare_cells|nearest_continuous_better|20|19,0|6|1|20|19,0,6,1,S2_rare_cells,20,19,y2:d0,2,feet,0,BNCI2014_001|subject-001,0.022344286923019305,0.1853950063571457,selected,0.019097222222222265,better,better,0.019097222222222265,0.05578218952912373,0.06022071697834286,1,1
0|6|1|S3_nonestimable_cells|nearest_continuous_better|20|19,0|6|1|20|19,0,6,1,S3_nonestimable_cells,20,19,y2:d0,2,feet,0,BNCI2014_001|subject-001,0.022344286923019305,0.1853950063571457,selected,0.019097222222222265,better,better,0.019097222222222265,0.05578218952912373,0.06022071697834286,1,1
0|7|1|S0_full_support|nearest_continuous_better|5|0,0|7|1|5|0,0,7,1,S0_full_support,5,0,y1:d0,1,right_hand,0,BNCI2014_001|subject-001,0.0337552379321594,0.1158749087842456,selected,0.02083333333333337,better,better,0.02083333333333337,0.0934569187792389,0.03377899366621309,1,1
0|7|1|S2_rare_cells|nearest_continuous_better|5|0,0|7|1|5|0,0,7,1,S2_rare_cells,5,0,y1:d0,1,right_hand,0,BNCI2014_001|subject-001,0.0337552379321594,0.1158749087842456,selected,0.02083333333333337,better,better,0.02083333333333337,0.0934569187792389,0.03377899366621309,1,1
0|7|1|S3_nonestimable_cells|nearest_continuous_better|5|0,0|7|1|5|0,0,7,1,S3_nonestimable_cells,5,0,y1:d0,1,right_hand,0,BNCI2014_001|subject-001,0.0337552379321594,0.1158749087842456,selected,0.02083333333333337,better,better,0.02083333333333337,0.0934569187792389,0.03377899366621309,1,1
0|8|0|S0_full_support|nearest_continuous_better|17|15,0|8|0|17|15,0,8,0,S0_full_support,17,15,y2:d2,2,feet,2,BNCI2014_001|subject-004,0.03413641607502628,0.16084133621525395,selected,0.04861111111111105,better,better,0.04861111111111105,0.10271628525394627,-0.008363270164413572,1,1
0|8|0|S2_rare_cells|nearest_continuous_better|17|15,0|8|0|17|15,0,8,0,S2_rare_cells,17,15,y2:d2,2,feet,2,BNCI2014_001|subject-004,0.03413641607502628,0.16084133621525395,selected,0.04861111111111105,better,better,0.04861111111111105,0.10271628525394627,-0.008363270164413572,1,1
0|8|0|S3_nonestimable_cells|nearest_continuous_better|17|15,0|8|0|17|15,0,8,0,S3_nonestimable_cells,17,15,y2:d2,2,feet,2,BNCI2014_001|subject-004,0.03413641607502628,0.16084133621525395,selected,0.04861111111111105,better,better,0.04861111111111105,0.10271628525394627,-0.008363270164413572,1,1
0|9|0|S0_full_support|nearest_continuous_better|19|18,0|9|0|19|18,0,9,0,S0_full_support,19,18,y1:d1,1,right_hand,1,BNCI2014_001|subject-004,0.028396452661561412,0.12480086922822453,selected,0.00347222222222221,better,better,0.00347222222222221,0.07985759073226162,-0.004758480937393311,1,1
0|9|0|S2_rare_cells|nearest_continuous_better|19|18,0|9|0|19|18,0,9,0,S2_rare_cells,19,18,y1:d1,1,right_hand,1,BNCI2014_001|subject-004,0.028396452661561412,0.12480086922822453,selected,0.00347222222222221,better,better,0.00347222222222221,0.07985759073226162,-0.004758480937393311,1,1
0|9|0|S3_nonestimable_cells|nearest_continuous_better|19|18,0|9|0|19|18,0,9,0,S3_nonestimable_cells,19,18,y1:d1,1,right_hand,1,BNCI2014_001|subject-004,0.028396452661561412,0.12480086922822453,selected,0.00347222222222221,better,better,0.00347222222222221,0.07985759073226162,-0.004758480937393311,1,1
0|9|1|S0_full_support|nearest_continuous_better|12|13,0|9|1|12|13,0,9,1,S0_full_support,12,13,y0:d3,0,left_hand,3,BNCI2014_001|subject-006,0.023580439744158063,0.1378324263456078,selected,0.0434027777777779,better,better,0.0434027777777779,0.0551823732634138,0.022175578165376797,1,1
0|9|1|S2_rare_cells|nearest_continuous_better|12|13,0|9|1|12|13,0,9,1,S2_rare_cells,12,13,y0:d3,0,left_hand,3,BNCI2014_001|subject-006,0.023580439744158063,0.1378324263456078,selected,0.0434027777777779,better,better,0.0434027777777779,0.0551823732634138,0.022175578165376797,1,1
0|9|1|S3_nonestimable_cells|nearest_continuous_better|12|13,0|9|1|12|13,0,9,1,S3_nonestimable_cells,12,13,y0:d3,0,left_hand,3,BNCI2014_001|subject-006,0.023580439744158063,0.1378324263456078,selected,0.0434027777777779,better,better,0.0434027777777779,0.0551823732634138,0.022175578165376797,1,1
1|1|0|S0_full_support|nearest_continuous_better|6|5,1|1|0|6|5,1,1,0,S0_full_support,6,5,y1:d0,1,right_hand,0,BNCI2014_001|subject-004,0.027436252609290994,0.13564039527248653,selected,0.02777777777777779,better,better,0.02777777777777779,0.18624334081246796,0.03185139114425589,1,1
