feature,target_between_fraction,regime_between_fraction,within_target_label_spearman,usable_ranking,offset_dominated
source_guard_nll,0.5412369649979051,0.004282366719235043,0.23300964982691955,True,True
source_guard_ece,0.04831058300098602,0.00984265875733515,0.1707802261705601,True,False
source_guard_entropy,0.6692101213602418,0.0003645406217102647,0.23729290137520298,True,True
source_guard_confidence,0.6605523663731844,0.0005218201568925345,0.24482706810898425,True,True
source_guard_margin,0.6430303215699742,0.0005263542175676771,0.24783984185732416,True,True
source_guard_logit_norm,0.665052421755878,5.7537591770879696e-05,0.2249954731337857,True,True
source_guard_conf_on_wrong,0.5917170159187698,5.530013531381353e-05,0.2731284308214915,True,True
source_audit_nll,0.8496964735748623,0.013298692174915106,0.1614565478404794,True,True
source_audit_ece,0.7949550609796903,0.01976357088855215,0.1483947024310252,True,True
source_audit_entropy,0.6091084408041548,1.2431178339499676e-06,0.2097639195157267,True,True
source_audit_confidence,0.557045187063104,5.953073575375523e-05,0.20861811092742216,True,True
source_audit_margin,0.49848331224914855,0.00018372911685559043,0.19926904233935028,True,False
source_audit_logit_norm,0.6950742817181549,0.00029834456095340534,0.18214455612285854,True,True
source_audit_conf_on_wrong,0.6475942187212546,0.0006387948664773513,0.2155378596460261,True,True
selection_leakage_point,0.2940965670690385,0.0005885248086409478,0.17451058968021618,True,False
audit_leakage_point,0.03196073557593537,0.9336749733287361,0.11260754470310344,True,False
