check,passed
config_hash_unchanged,1
read_only_committed_artifacts,1
no_training_no_gpu_no_reinference,1
no_feature_selection_or_score_tuning,1
group_conditioned_random_baselines,1
no_global_random_baseline_for_conditioned_groups,1
source_scores_frozen_before_analysis,1
c43_best_scalarization_hindsight_diagnostic_only,1
target_oracle_ceiling_diagnostic_only,1
no_target_labels_in_source_feature_construction,1
target_labels_diagnostic_only,1
no_bnci2014_004_no_seeds_3_4,1
no_selected_checkpoint_artifact,1
compact_json_no_monolithic_payload,1
finite_filtering_applied,1
diagnostic_only_non_deployable,1
