best_kind,group_scope,score,label,top_k,n_groups,mean_n_candidates,mean_base_rate,mean_any_hit,mean_random_any_hit,mean_any_hit_gain_vs_random,mean_any_hit_enrichment,mean_regret_vs_oracle,mean_random_expected_regret,mean_absolute_regret_reduction_vs_random,mean_relative_regret_reduction_vs_random,source_only,hindsight_diagnostic_only,target_label_used,diagnostic_ceiling
best_strict_source,global,R_src,primary_joint_good,1,1,3804.0,0.4242902208201893,0.0,0.4242902208201893,-0.4242902208201893,0.0,3.9316761790599286,4.019083959148395,0.08740778008846606,0.021748184655238437,1,0,0,0
best_source_or_hindsight,global,C43_best_hindsight_scalarization,primary_joint_good,1,1,3804.0,0.4242902208201893,0.0,0.4242902208201893,-0.4242902208201893,0.0,3.9316761790599286,4.019083959148395,0.08740778008846606,0.021748184655238437,1,1,0,0
target_oracle_ceiling,global,target_utility_oracle_ceiling,primary_joint_good,1,1,3804.0,0.4242902208201893,1.0,0.4242902208201893,0.5757097791798107,2.356877323420074,0.0,4.019083959148395,4.019083959148395,1.0,0,1,1,1
best_strict_source,global,R_src,primary_joint_good,3,1,3804.0,0.4242902208201893,0.0,0.8092966826284852,-0.8092966826284852,0.0,3.9316761790599286,3.272347471331572,-0.6593287077283567,-0.20148493199594877,1,0,0,0
best_source_or_hindsight,global,C43_best_hindsight_scalarization,primary_joint_good,3,1,3804.0,0.4242902208201893,0.0,0.8092966826284852,-0.8092966826284852,0.0,3.9316761790599286,3.272347471331572,-0.6593287077283567,-0.20148493199594877,1,1,0,0
target_oracle_ceiling,global,target_utility_oracle_ceiling,primary_joint_good,3,1,3804.0,0.4242902208201893,1.0,0.8092966826284852,0.1907033173715148,1.2356407995546657,0.0,3.272347471331572,3.272347471331572,1.0,0,1,1,1
best_strict_source,global,selection_leakage,primary_joint_good,5,1,3804.0,0.4242902208201893,1.0,0.9368787308720679,0.06312126912793214,1.0673740016161724,3.1379015992122308,2.997606327457539,-0.1402952717546917,-0.046802433818481114,1,0,0,0
best_source_or_hindsight,global,selection_leakage,primary_joint_good,5,1,3804.0,0.4242902208201893,1.0,0.9368787308720679,0.06312126912793214,1.0673740016161724,3.1379015992122308,2.997606327457539,-0.1402952717546917,-0.046802433818481114,1,0,0,0
target_oracle_ceiling,global,target_utility_oracle_ceiling,primary_joint_good,5,1,3804.0,0.4242902208201893,1.0,0.9368787308720679,0.06312126912793214,1.0673740016161724,0.0,2.997606327457539,2.997606327457539,1.0,0,1,1,1
best_strict_source,global,selection_leakage,primary_joint_good,10,1,3804.0,0.4242902208201893,1.0,0.9960350190040961,0.003964980995903922,1.0039807646520986,3.1379015992122308,2.638399088602834,-0.49950251060939665,-0.189320301377874,1,0,0,0
