group_scope,score,score_family,n_groups,n_possible_pairs,n_sampled_pairs,pair_sample_max,pair_sample_seed,sampled_with_replacement,n_usable_pairs,n_correct_pairs,n_score_tie_pairs,pairwise_auc_vs_target_utility,misranking_rate,source_only,hindsight_diagnostic_only,target_label_used,diagnostic_ceiling,target_labels_diagnostic_only
global,selection_leakage,leakage,1,7233306,100000,100000,47047,1,99737,51834,0,0.5197068289601652,0.4802931710398348,1,0,0,0,1
global,R_src,source_risk,1,7233306,100000,100000,47047,1,99737,49150,0,0.4927960536210233,0.5072039463789767,1,0,0,0,1
global,C30_source_rank,source_rank,1,7233306,100000,100000,47047,1,99737,48409,0,0.4853665139316402,0.5146334860683598,1,0,0,0,1
global,C19_robust_core,source_rank,1,7233306,100000,100000,47047,1,99737,48409,0,0.4853665139316402,0.5146334860683598,1,0,0,0,1
global,C43_best_hindsight_scalarization,fixed_hindsight_scalarization,1,7233306,100000,100000,47047,1,99737,51440,0,0.5157564394357159,0.4842435605642841,1,1,0,0,1
global,target_utility_oracle_ceiling,target_grouped_ceiling,1,7233306,100000,100000,47047,1,99737,99737,0,1.0,0.0,0,1,1,1,1
within_target,selection_leakage,leakage,9,808287,100000,100000,48056,1,99115,50554,0,0.5100539777026686,0.4899460222973314,1,0,0,0,1
within_target,R_src,source_risk,9,808287,100000,100000,48056,1,99115,51783,0,0.522453715381123,0.47754628461887705,1,0,0,0,1
within_target,C30_source_rank,source_rank,9,808287,100000,100000,48056,1,99115,59137,0,0.5966503556474801,0.40334964435251985,1,0,0,0,1
within_target,C19_robust_core,source_rank,9,808287,100000,100000,48056,1,99115,59137,0,0.5966503556474801,0.40334964435251985,1,0,0,0,1
within_target,C43_best_hindsight_scalarization,fixed_hindsight_scalarization,9,808287,100000,100000,48056,1,99115,54605,0,0.5509256923775412,0.4490743076224588,1,1,0,0,1
within_target,target_utility_oracle_ceiling,target_grouped_ceiling,9,808287,100000,100000,48056,1,99115,99115,0,1.0,0.0,0,1,1,1,1
within_trajectory,selection_leakage,leakage,162,44115,44115,100000,49065,0,43401,21186,0,0.48814543443699454,0.5118545655630055,1,0,0,0,1
within_trajectory,R_src,source_risk,162,44115,44115,100000,49065,0,43401,23841,0,0.549319140111979,0.450680859888021,1,0,0,0,1
within_trajectory,C30_source_rank,source_rank,162,44115,44115,100000,49065,0,43401,26098,0,0.601322550171655,0.39867744982834497,1,0,0,0,1
within_trajectory,C19_robust_core,source_rank,162,44115,44115,100000,49065,0,43401,26098,0,0.601322550171655,0.39867744982834497,1,0,0,0,1
within_trajectory,C43_best_hindsight_scalarization,fixed_hindsight_scalarization,162,44115,44115,100000,49065,0,43401,24416,0,0.5625676827722863,0.4374323172277137,1,1,0,0,1
within_trajectory,target_utility_oracle_ceiling,target_grouped_ceiling,162,44115,44115,100000,49065,0,43401,43401,0,1.0,0.0,0,1,1,1,1
within_target_seed,selection_leakage,leakage,27,270060,100000,100000,50074,1,97701,49315,0,0.5047543013889315,0.4952456986110685,1,0,0,0,1
within_target_seed,R_src,source_risk,27,270060,100000,100000,50074,1,97701,53123,0,0.5437303609993757,0.45626963900062434,1,0,0,0,1
within_target_seed,C30_source_rank,source_rank,27,270060,100000,100000,50074,1,97701,60146,0,0.6156129415256753,0.38438705847432475,1,0,0,0,1
within_target_seed,C19_robust_core,source_rank,27,270060,100000,100000,50074,1,97701,60146,0,0.6156129415256753,0.38438705847432475,1,0,0,0,1
within_target_seed,C43_best_hindsight_scalarization,fixed_hindsight_scalarization,27,270060,100000,100000,50074,1,97701,55198,0,0.5649686287755499,0.4350313712244501,1,1,0,0,1
within_target_seed,target_utility_oracle_ceiling,target_grouped_ceiling,27,270060,100000,100000,50074,1,97701,97701,0,1.0,0.0,0,1,1,1,1
within_target_level,selection_leakage,leakage,18,403953,100000,100000,51083,1,98439,49154,0,0.4993346133138289,0.5006653866861711,1,0,0,0,1
within_target_level,R_src,source_risk,18,403953,100000,100000,51083,1,98439,52404,0,0.5323499832383507,0.4676500167616493,1,0,0,0,1
within_target_level,C30_source_rank,source_rank,18,403953,100000,100000,51083,1,98439,57189,0,0.5809587663426081,0.4190412336573919,1,0,0,0,1
within_target_level,C19_robust_core,source_rank,18,403953,100000,100000,51083,1,98439,57189,0,0.5809587663426081,0.4190412336573919,1,0,0,0,1
within_target_level,C43_best_hindsight_scalarization,fixed_hindsight_scalarization,18,403953,100000,100000,51083,1,98439,53881,0,0.5473541990471257,0.4526458009528743,1,1,0,0,1
within_target_level,target_utility_oracle_ceiling,target_grouped_ceiling,18,403953,100000,100000,51083,1,98439,98439,0,1.0,0.0,0,1,1,1,1
within_regime,selection_leakage,leakage,3,2409834,100000,100000,52092,1,99770,52024,0,0.5214393104139521,0.4785606895860479,1,0,0,0,1
within_regime,R_src,source_risk,3,2409834,100000,100000,52092,1,99770,49017,0,0.49129998997694696,0.508700010023053,1,0,0,0,1
within_regime,C30_source_rank,source_rank,3,2409834,100000,100000,52092,1,99770,48461,0,0.4857271724967425,0.5142728275032575,1,0,0,0,1
within_regime,C19_robust_core,source_rank,3,2409834,100000,100000,52092,1,99770,48461,0,0.4857271724967425,0.5142728275032575,1,0,0,0,1
within_regime,C43_best_hindsight_scalarization,fixed_hindsight_scalarization,3,2409834,100000,100000,52092,1,99770,51690,0,0.5180916107046206,0.4819083892953794,1,1,0,0,1
within_regime,target_utility_oracle_ceiling,target_grouped_ceiling,3,2409834,100000,100000,52092,1,99770,99770,0,1.0,0.0,0,1,1,1,1
