group_scope,score,label,top_k,n_groups,q10_radius,raw_mean_any_hit,smoothed_mean_any_hit,smoothing_any_hit_delta,raw_mean_gain_vs_random,smoothed_mean_gain_vs_random,smoothing_gain_delta,raw_mean_regret_vs_oracle,smoothed_mean_regret_vs_oracle,smoothing_regret_delta,hindsight_diagnostic_only,target_label_used,target_labels_diagnostic_only
global,C19_robust_core,primary_joint_good,1,1,1.269009511962666,0.0,0.0,0.0,-0.4242902208201893,-0.4242902208201893,0.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C19_robust_core,primary_joint_good,3,1,1.269009511962666,0.0,0.0,0.0,-0.8092966826284852,-0.8092966826284852,0.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C19_robust_core,primary_joint_good,5,1,1.269009511962666,0.0,0.0,0.0,-0.9368787308720679,-0.9368787308720679,0.0,3.9316761790599286,3.9316761790599286,0.0,0,0,1
global,C19_robust_core,primary_joint_good,10,1,1.269009511962666,1.0,0.0,-1.0,0.003964980995903922,-0.9960350190040961,-1.0,3.6538156683011187,3.9316761790599286,0.2778605107588099,0,0,1
global,C19_robust_core,pareto_good,1,1,1.269009511962666,1.0,0.0,-1.0,0.863564668769716,-0.13643533123028395,-1.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C19_robust_core,pareto_good,3,1,1.269009511962666,1.0,0.0,-1.0,0.6439178419362362,-0.35608215806376375,-1.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C19_robust_core,pareto_good,5,1,1.269009511962666,1.0,1.0,0.0,0.4800580975980795,0.4800580975980795,0.0,3.9316761790599286,3.9316761790599286,0.0,0,0,1
global,C19_robust_core,pareto_good,10,1,1.269009511962666,1.0,1.0,0.0,0.23021600263287567,0.23021600263287567,0.0,3.6538156683011187,3.9316761790599286,0.2778605107588099,0,0,1
global,C19_robust_core,preference_robust_better_candidate,1,1,1.269009511962666,0.0,0.0,0.0,-0.029968454258675115,-0.029968454258675115,0.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C19_robust_core,preference_robust_better_candidate,3,1,1.269009511962666,0.0,0.0,0.0,-0.08726020164732007,-0.08726020164732007,0.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C19_robust_core,preference_robust_better_candidate,5,1,1.269009511962666,0.0,0.0,0.0,-0.14119613590356728,-0.14119613590356728,0.0,3.9316761790599286,3.9316761790599286,0.0,0,0,1
global,C19_robust_core,preference_robust_better_candidate,10,1,1.269009511962666,0.0,0.0,0.0,-0.26260601799076266,-0.26260601799076266,0.0,3.6538156683011187,3.9316761790599286,0.2778605107588099,0,0,1
global,C30_source_rank,primary_joint_good,1,1,1.269009511962666,0.0,0.0,0.0,-0.4242902208201893,-0.4242902208201893,0.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C30_source_rank,primary_joint_good,3,1,1.269009511962666,0.0,0.0,0.0,-0.8092966826284852,-0.8092966826284852,0.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C30_source_rank,primary_joint_good,5,1,1.269009511962666,0.0,0.0,0.0,-0.9368787308720679,-0.9368787308720679,0.0,3.9316761790599286,3.9316761790599286,0.0,0,0,1
global,C30_source_rank,primary_joint_good,10,1,1.269009511962666,1.0,0.0,-1.0,0.003964980995903922,-0.9960350190040961,-1.0,3.6538156683011187,3.9316761790599286,0.2778605107588099,0,0,1
global,C30_source_rank,pareto_good,1,1,1.269009511962666,1.0,0.0,-1.0,0.863564668769716,-0.13643533123028395,-1.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C30_source_rank,pareto_good,3,1,1.269009511962666,1.0,0.0,-1.0,0.6439178419362362,-0.35608215806376375,-1.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C30_source_rank,pareto_good,5,1,1.269009511962666,1.0,1.0,0.0,0.4800580975980795,0.4800580975980795,0.0,3.9316761790599286,3.9316761790599286,0.0,0,0,1
global,C30_source_rank,pareto_good,10,1,1.269009511962666,1.0,1.0,0.0,0.23021600263287567,0.23021600263287567,0.0,3.6538156683011187,3.9316761790599286,0.2778605107588099,0,0,1
global,C30_source_rank,preference_robust_better_candidate,1,1,1.269009511962666,0.0,0.0,0.0,-0.029968454258675115,-0.029968454258675115,0.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C30_source_rank,preference_robust_better_candidate,3,1,1.269009511962666,0.0,0.0,0.0,-0.08726020164732007,-0.08726020164732007,0.0,4.100057218459515,3.9316761790599286,-0.16838103939958637,0,0,1
global,C30_source_rank,preference_robust_better_candidate,5,1,1.269009511962666,0.0,0.0,0.0,-0.14119613590356728,-0.14119613590356728,0.0,3.9316761790599286,3.9316761790599286,0.0,0,0,1
global,C30_source_rank,preference_robust_better_candidate,10,1,1.269009511962666,0.0,0.0,0.0,-0.26260601799076266,-0.26260601799076266,0.0,3.6538156683011187,3.9316761790599286,0.2778605107588099,0,0,1
global,C43_best_hindsight_scalarization,primary_joint_good,1,1,1.269009511962666,0.0,0.0,0.0,-0.4242902208201893,-0.4242902208201893,0.0,3.9316761790599286,3.9316761790599286,0.0,1,0,1
global,C43_best_hindsight_scalarization,primary_joint_good,3,1,1.269009511962666,0.0,0.0,0.0,-0.8092966826284852,-0.8092966826284852,0.0,3.9316761790599286,3.9316761790599286,0.0,1,0,1
global,C43_best_hindsight_scalarization,primary_joint_good,5,1,1.269009511962666,0.0,0.0,0.0,-0.9368787308720679,-0.9368787308720679,0.0,3.9316761790599286,3.9316761790599286,0.0,1,0,1
