claim_id,status,claim_text,evidence,required_qualifier,forbidden_expansion,manuscript_authorized,C85_authorized,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
A1,SUPPORTED,COTT has positive mean Q1 effects in all three external cohorts but fails the registered Q1 tail robustness rule in each.,C84S frozen Q1 rows plus C84A target-effect summaries,Post-C84S descriptive synthesis; Q1 remains failed.,COTT universal success or failure,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,A1,0
A2,SUPPORTED,Lee COTT is a single-target near-boundary floor failure; Cho has one deeper floor breach; Physionet has nine floor breaches.,cott_average_tail_separation.csv,Order statistics are exploratory and do not change Q1.,One target explains all C84 heterogeneity,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,A2,0
A3,SUPPORTED,Cho MaNo passes Q1 and Q2 despite near-zero global rank association and weak exact-best localization.,mano_cross_dataset_decision_profile.csv,Cohort-specific fixed-policy decision result.,MaNo universal external validity,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,A3,0
A4,SUPPORTED,Cho MaNo's frozen selections are entirely concentrated in the ERM regime.,selected_regime_distribution.csv,Association only; no causal mechanism or candidate-density claim.,ERM concentration explains the result causally,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,A4,0
A5,SUPPORTED,Passive Q0 actionability is cohort- and source-support-level dependent under the registered policy.,label_frontier_component_matrix.csv,Restricted-policy statement; C84-L4 remains fixed.,Labels are less informative than unlabeled data,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,A5,0
A6,SUPPORTED,Source-support level is an observed effect modifier for Lee COTT and Cho label complexity.,level_specific_gate_component_matrix.csv|level_label_complexity_interaction.csv,No mechanism is identified.,Support deletion improves selection in general,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,A6,0
A7,SUPPORTED,"LOTO category is preserved in 21/22 Lee, 20/20 Cho, and 76/76 Physionet panels.",leave_one_target_out.csv,Target composition is not the sole basis for C84-D.,LOTO proves population transport,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,A7,0
A8,SUPPORTED,Observed policy risk does not identify Blackwell dominance or the unrestricted value of information.,C84A_TPAMI_DECISION_THEORY_BRIDGE.md,"Formal distinction, not a proved comparison theorem.",C84 proves a Blackwell or minimax theorem,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,A8,0
F1,FORBIDDEN,COTT succeeds or fails universally.,NONE,"Outside dataset, field and fixed-policy scope.",ANY_ASSERTION,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,F1,0
F2,FORBIDDEN,MaNo has universal external validity.,NONE,Cho-specific result only.,ANY_ASSERTION,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,F2,0
F3,FORBIDDEN,Labels are less informative than unlabeled data.,NONE,Restricted non-nested policies do not identify information ordering.,ANY_ASSERTION,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,F3,0
F4,FORBIDDEN,Lee or Physionet labels have no value.,NONE,Only registered Q0 policy actionability failed.,ANY_ASSERTION,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,F4,0
F5,FORBIDDEN,One target causes all heterogeneity.,NONE,Dataset and level heterogeneity independently suffice.,ANY_ASSERTION,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,F5,0
F6,FORBIDDEN,C85 or manuscript work is authorized.,NONE,C84A ends at protocol review required.,ANY_ASSERTION,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,F6,0
