catalog_source_id,native_cohort,interface_variant,catalog_subjects,task_metadata,license_metadata,native_exact_binary_left_right_MI,healthy_participant_evidence,adult_subject_evidence,verified_adult_targets,minimum_trials_per_subject,compatible_channel_count,usable_event_seconds,public_repository_and_license,untouched_target_status,common_interface_status,public_metadata_identity,decision,selected_primary,outcome_fields_present
ds002336,ds002336,canonical_default,10,"MIpost,MIpre,eeg,eegNF,eegfmri,eegfmriNF,fmri,fmriNF,motorloc",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on002336,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
ds002338,ds002338,canonical_default,17,"1dNF,2dNF,MIpost,MIpre",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on002338,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
ds003810,ds003810,canonical_default,10,MIvsRest,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on003810,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
ds004022,ds004022,canonical_default,7,motorimagery,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on004022,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
ds004362,ds004362,canonical_default,109,motion,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on004362,FAIL_PRIOR_PROJECT_TARGET_OR_OUTCOME_ACCESS,0,0
ds004515,ds004515,canonical_default,54,ProbabilisticSelection,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on004515,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
ds004517,ds004517,canonical_default,7,eeg,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on004517,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
ds005342,ds005342,canonical_default,32,sitstand,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on005342,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
ds005776,ds005776,canonical_default,11,"Electrical,FingerTapping,Imagery,Resting,Thermal",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on005776,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
ds005815,ds005815,canonical_default,20,"rest1,rest2,task",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on005815,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
ds005946,ds005946,canonical_default,39,picturematching,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on005946,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
ds006126,ds006126,canonical_default,6,"B1,B2,BM,KI,V1,V3",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on006126,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
ds007554,ds007554,canonical_default,30,"activemotor,full,mentalarithmetic,motorimagery,nback,nbackarithmetic,passivemotor",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on007554,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000113,nm000113,canonical_default,15,imaginedSpeech,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000113,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000115,nm000115,canonical_default,4,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000115,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000135,nm000135,canonical_default,1,imagery,CC-BY-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000135,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000137,nm000137,canonical_default,7,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000137,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000138,nm000138,canonical_default,8,imagery,CC-BY-SA-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000138,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000139,nm000139,canonical_default,9,imagery,CC-BY-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000139,FAIL_PRIOR_PROJECT_TARGET_OR_OUTCOME_ACCESS,0,0
nm000140,nm000140,canonical_default,12,imagery,CC-BY-NC-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000140,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
