stage,counter,expected,observed,status
protected_replay,target_artifact_rows,1944,1944,PASS
protected_replay,target_artifact_bytes,48018748054,48018748054,PASS
protected_replay,target_sidecar_rows,1944,1944,PASS
U1,evaluation_label_rows_read,4848,4848,PASS
U1,target_artifact_files_opened,1944,1944,PASS
U1,target_artifact_bytes_opened,48018748054,48018748054,PASS
U1,target_sidecar_payloads_opened,0,0,PASS
U1,selection_objects,0,0,PASS
U1,Q0_shards,0,0,PASS
U1,direct_scientific_result_tables,0,0,PASS
U1,inference_calls,0,0,PASS
U2,evaluation_label_rows,0,0,PASS
U2,target_artifacts,0,0,PASS
U2,target_logit_arrays,0,0,PASS
U2,inference_calls,0,0,PASS
final,Q0_resampling,0,0,PASS
final,selector_recomputation,0,0,PASS
final,scientific_inference,0,0,PASS
final,theorem_status_writes,0,0,PASS
final,C85E,0,0,PASS
final,C86,0,0,PASS
