sequence,stage,elapsed_from_start_seconds,status
0,PREFLIGHT_STARTED,0.000000,PASS
1,PREFLIGHT_COMPLETED,0.001989,PASS
2,AUTHORIZATION_CONSUMED,0.005326,PASS
3,PROTECTED_INPUT_REPLAY_STARTED,0.071514,PASS
4,PROTECTED_INPUT_REPLAY_COMPLETED,53.242691,PASS
5,STAGE_U1_STARTED,53.255466,PASS
6,STAGE_U1_COMPLETED,91.738733,PASS
7,STAGE_U2_STARTED,91.804800,PASS
8,STAGE_U2_COMPLETED,146.945139,PASS
9,ACCEPTANCE_MANIFEST_STARTED,150.595079,PASS
10,ACCEPTANCE_MANIFEST_COMPLETED,150.607692,PASS
11,ATOMIC_ACCEPTANCE_COMMIT_READY,150.611275,PASS
