null,candidate_count,label_budget,outcome_type,replicates_across_snr_shape,common_offset_false_rank_flip_rate,candidate_perturbation_rank_flip_rate_not_a_null_test,registered_alpha,identity_false_positive_passed
candidate_gauge_sd_zero,2,4,binary,1152,0.0,0.07725694444444445,0.05,1
candidate_gauge_sd_zero,2,4,multiclass4,1152,0.0,0.09461805555555555,0.05,1
candidate_gauge_sd_zero,2,8,binary,1152,0.0,0.09027777777777778,0.05,1
candidate_gauge_sd_zero,2,8,multiclass4,1152,0.0,0.08680555555555555,0.05,1
candidate_gauge_sd_zero,2,16,binary,1152,0.0,0.0798611111111111,0.05,1
candidate_gauge_sd_zero,2,16,multiclass4,1152,0.0,0.0763888888888889,0.05,1
candidate_gauge_sd_zero,2,32,binary,1152,0.0,0.09461805555555555,0.05,1
candidate_gauge_sd_zero,2,32,multiclass4,1152,0.0,0.10243055555555555,0.05,1
candidate_gauge_sd_zero,2,64,binary,1152,0.0,0.09027777777777778,0.05,1
candidate_gauge_sd_zero,2,64,multiclass4,1152,0.0,0.09895833333333333,0.05,1
candidate_gauge_sd_zero,2,256,binary,1152,0.0,0.0998263888888889,0.05,1
candidate_gauge_sd_zero,2,256,multiclass4,1152,0.0,0.0876736111111111,0.05,1
candidate_gauge_sd_zero,4,4,binary,1152,0.0,0.3914930555555556,0.05,1
candidate_gauge_sd_zero,4,4,multiclass4,1152,0.0,0.3836805555555556,0.05,1
candidate_gauge_sd_zero,4,8,binary,1152,0.0,0.3723958333333333,0.05,1
candidate_gauge_sd_zero,4,8,multiclass4,1152,0.0,0.4027777777777778,0.05,1
candidate_gauge_sd_zero,4,16,binary,1152,0.0,0.4088541666666667,0.05,1
candidate_gauge_sd_zero,4,16,multiclass4,1152,0.0,0.3741319444444444,0.05,1
candidate_gauge_sd_zero,4,32,binary,1152,0.0,0.4027777777777778,0.05,1
candidate_gauge_sd_zero,4,32,multiclass4,1152,0.0,0.4036458333333333,0.05,1
candidate_gauge_sd_zero,4,64,binary,1152,0.0,0.3862847222222222,0.05,1
candidate_gauge_sd_zero,4,64,multiclass4,1152,0.0,0.4027777777777778,0.05,1
candidate_gauge_sd_zero,4,256,binary,1152,0.0,0.4131944444444444,0.05,1
candidate_gauge_sd_zero,4,256,multiclass4,1152,0.0,0.4192708333333333,0.05,1
candidate_gauge_sd_zero,8,4,binary,1152,0.0,0.8342013888888888,0.05,1
candidate_gauge_sd_zero,8,4,multiclass4,1152,0.0,0.8411458333333334,0.05,1
candidate_gauge_sd_zero,8,8,binary,1152,0.0,0.8506944444444444,0.05,1
candidate_gauge_sd_zero,8,8,multiclass4,1152,0.0,0.8567708333333334,0.05,1
candidate_gauge_sd_zero,8,16,binary,1152,0.0,0.8420138888888888,0.05,1
candidate_gauge_sd_zero,8,16,multiclass4,1152,0.0,0.8203125,0.05,1
candidate_gauge_sd_zero,8,32,binary,1152,0.0,0.8454861111111112,0.05,1
candidate_gauge_sd_zero,8,32,multiclass4,1152,0.0,0.8385416666666666,0.05,1
candidate_gauge_sd_zero,8,64,binary,1152,0.0,0.828125,0.05,1
candidate_gauge_sd_zero,8,64,multiclass4,1152,0.0,0.8472222222222222,0.05,1
