stage,budget,component,observed_top1,oracle_top1,observed_control_gap,shapley_top1_gain,shapley_fraction_of_gap,ordered_gain_min,ordered_gain_max,order_sensitive,primary_order
T3-HO,8,finite_label_noise,0.05029708155378346,1.0,0.9497029184462166,0.08630225620943328,0.09087289775904879,0.0,0.17396325591972217,1,N->M->E->G
T3-HO,8,construction_utility_mismatch,0.05029708155378346,1.0,0.9497029184462166,0.0,0.0,0.0,0.0,0,N->M->E->G
T3-HO,8,extreme_order_localization,0.05029708155378346,1.0,0.9497029184462166,0.33801683130454113,0.3559184927614642,0.0,0.6773924061099379,1,N->M->E->G
T3-HO,8,residual_candidate_specific_gauge,0.05029708155378346,1.0,0.9497029184462166,0.5253838309322421,0.5532086094794869,0.1003853716678399,0.9497029184462166,1,N->M->E->G
T3-HO,64,finite_label_noise,0.2361111111111111,1.0,0.7638888888888888,-0.003472727231620046,-0.004546115648666242,-0.013888888888888895,0.00694141438805751,0,N->M->E->G
T3-HO,64,construction_utility_mismatch,0.2361111111111111,1.0,0.7638888888888888,0.0,0.0,0.0,0.0,0,N->M->E->G
T3-HO,64,extreme_order_localization,0.2361111111111111,1.0,0.7638888888888888,0.3343566580117289,0.4377032613971724,0.0,0.6826001848747555,1,N->M->E->G
T3-HO,64,residual_candidate_specific_gauge,0.2361111111111111,1.0,0.7638888888888888,0.43300495810878,0.5668428542514938,0.0951775929030223,0.7777777777777778,1,N->M->E->G
T3-HO,full-construction,finite_label_noise,0.2222222222222222,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,0,N->M->E->G
T3-HO,full-construction,construction_utility_mismatch,0.2222222222222222,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,0,N->M->E->G
T3-HO,full-construction,extreme_order_localization,0.2222222222222222,1.0,0.7777777777777778,0.34233851403654697,0.44014951804698893,0.0,0.6846770280730939,1,N->M->E->G
T3-HO,full-construction,residual_candidate_specific_gauge,0.2222222222222222,1.0,0.7777777777777778,0.4354392637412309,0.5598504819530111,0.09310074970468385,0.7777777777777778,1,N->M->E->G
