stage,field_level,candidate_count,field_target_rows,mean_top1_hit,mean_regret,random_base_rate,top1_enrichment
T2,target_universe,2,9,0.7209201388888888,0.006194839574470517,0.5,1.4418402777777777
T2,target_universe,4,9,0.5368923611111112,0.012057282548557282,0.25,2.1475694444444446
T2,target_universe,8,9,0.4058159722222222,0.01764045278404303,0.125,3.2465277777777777
T2,target_universe,16,9,0.3962673611111111,0.019367217363742993,0.0625,6.340277777777778
T2,trajectory_cell,2,54,0.6704282407407407,0.007197992629175428,0.5,1.3408564814814814
T2,trajectory_cell,4,54,0.48148148148148145,0.012067696991750872,0.25,1.9259259259259258
T3-HO,target_universe,2,9,0.7003038194444444,0.006536465926569208,0.5,1.4006076388888888
T3-HO,target_universe,4,9,0.5203993055555556,0.010909621483393878,0.25,2.0815972222222223
T3-HO,target_universe,8,9,0.3967375578703704,0.014599156065345805,0.125,3.1739004629629632
T3-HO,target_universe,16,9,0.28025535300925924,0.019563638460119197,0.0625,4.484085648148148
T3-HO,target_universe,32,9,0.1939380787037037,0.02490453952360817,0.03125,6.206018518518518
T3-HO,target_universe,64,9,0.16431542452050263,0.03045800788905202,0.015625,10.516187169312168
T3-HO,trajectory_cell,2,54,0.6809895833333334,0.005919830330276622,0.5,1.3619791666666667
T3-HO,trajectory_cell,4,54,0.4993971836419753,0.011074138980019847,0.25,1.997588734567901
T3-HO,trajectory_cell,8,54,0.3987923004850088,0.014810760955032158,0.125,3.1903384038800704
T3-HO,trajectory_cell,16,48,0.31714113794191917,0.019315544524938413,0.0625,5.074258207070707
T3-HO,trajectory_cell,32,1,1.0,0.0,0.03125,32.0
