stage,field_level,target_id,trajectory,candidate_count,k_definition,k,hit,random_base_rate,enrichment
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,top1,1,1.0,0.041666666666666664,24.0
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,top3,3,1.0,0.125,8.0
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,top5,5,1.0,0.20833333333333334,4.8
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,top10pct,3,1.0,0.125,8.0
T2,trajectory_cell,1,0|1|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,1,0|1|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,1,0|1|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,1,0|1|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,1,0|1|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,1,0|1|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,1,0|1|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,1,0|1|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,1,1|1|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,1,1|1|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,1,1|1|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,1,1|1|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,1,1|1|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,1,1|1|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,1,1|1|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,1,1|1|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,1,2|1|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,1,2|1|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,1,2|1|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,1,2|1|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,1,2|1|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,1,2|1|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,1,2|1|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,1,2|1|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,target_universe,2,ALL_TARGET_CANDIDATES,24,top1,1,1.0,0.041666666666666664,24.0
T2,target_universe,2,ALL_TARGET_CANDIDATES,24,top3,3,1.0,0.125,8.0
T2,target_universe,2,ALL_TARGET_CANDIDATES,24,top5,5,1.0,0.20833333333333334,4.8
T2,target_universe,2,ALL_TARGET_CANDIDATES,24,top10pct,3,1.0,0.125,8.0
T2,trajectory_cell,2,0|2|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,2,0|2|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,2,0|2|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,2,0|2|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,2,0|2|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,2,0|2|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,2,0|2|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,2,0|2|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,2,1|2|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,2,1|2|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
