risk_id,status,evidence,blocking,mitigation,residual_caveat
protocol_timing,mitigated,protocol commit=11534dc; sha=72ef3a350ce8eea8eacb84688f81b012936d5b03c9c734b787407148178c94aa; first outcome access follows lock,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
T2_tuning_T3_evaluation_separation,mitigated,intervention hyperparameters selected only in T2 calibration table; T3_tuned=0,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
T3_outcome_adaptive_intervention_selection,mitigated,T3-HO receives T2-locked intervention options,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
physical_view_isolation,mitigated,C71 T3-HO physical views replay by SHA; T2 role mask contract replayed and loader shares role-specific trial IDs,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
evaluation_label_intervention_fit,mitigated,I0-I5 inventory evaluation_labels_fit=0,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
same_label_oracle_early_access,mitigated,primary_freeze=2026-07-10T03:47:11Z;oracle_access=2026-07-10T03:47:11Z,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
common_offset_logit_shift_conflation,mitigated,I1 utility offset and I2/I3 logit shifts have separate rows and identities,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
representation_claim_without_representation,mitigated,representation_intervention_supported=false,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
cache_rows_not_independent,mitigated,target/checkpoint/trial/crossed cluster inference; row_iid_used=0,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
small_target_count,open_nonblocking_caveat,nine frozen targets; target-population claim forbidden,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
multiple_interventions,mitigated,H1-H6 Holm family plus simultaneous bootstrap contract,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
multiple_bandwidths,mitigated,no kernel bandwidth selected; COD is linear proxy-only,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
top1_without_random_base_rate,mitigated,every top1 field/action table includes 1/M random base rate,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
reliability_actionability_conflation,mitigated,separate Spearman/pairwise and top1/regret/coverage outputs,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
source_feature_provenance,mitigated_with_unavailable_trial_path,C22 checkpoint summary is not relabeled as source trial logits; strict trial path unavailable,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
raw_cache_in_git,mitigated,external raw paths hashed; git-tracked flags zero; no raw rows copied,0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
unauthorized_forward_or_training,mitigated,"C72 counters forward=0,re-inference=0,training=0,GPU=0",0,locked protocol plus fail-loud red-team gate,C72 remains diagnostic-only and conditional on nine frozen targets.
