budget,order,step,component,top1_before,top1_after,marginal_top1_gain
8,N->M->E->G,1,finite_label_noise,0.05029708155378346,0.2222222222222222,0.17192514066843875
8,N->M->E->G,2,construction_utility_mismatch,0.2222222222222222,0.2222222222222222,0.0
8,N->M->E->G,3,extreme_order_localization,0.2222222222222222,0.8996146283321601,0.6773924061099379
8,N->M->E->G,4,residual_candidate_specific_gauge,0.8996146283321601,1.0,0.1003853716678399
8,N->M->G->E,1,finite_label_noise,0.05029708155378346,0.2222222222222222,0.17192514066843875
8,N->M->G->E,2,construction_utility_mismatch,0.2222222222222222,0.2222222222222222,0.0
8,N->M->G->E,3,residual_candidate_specific_gauge,0.2222222222222222,1.0,0.7777777777777778
8,N->M->G->E,4,extreme_order_localization,1.0,1.0,0.0
8,N->E->M->G,1,finite_label_noise,0.05029708155378346,0.2222222222222222,0.17192514066843875
8,N->E->M->G,2,extreme_order_localization,0.2222222222222222,0.8996146283321601,0.6773924061099379
8,N->E->M->G,3,construction_utility_mismatch,0.8996146283321601,0.8996146283321601,0.0
8,N->E->M->G,4,residual_candidate_specific_gauge,0.8996146283321601,1.0,0.1003853716678399
8,N->E->G->M,1,finite_label_noise,0.05029708155378346,0.2222222222222222,0.17192514066843875
8,N->E->G->M,2,extreme_order_localization,0.2222222222222222,0.8996146283321601,0.6773924061099379
8,N->E->G->M,3,residual_candidate_specific_gauge,0.8996146283321601,1.0,0.1003853716678399
8,N->E->G->M,4,construction_utility_mismatch,1.0,1.0,0.0
8,N->G->M->E,1,finite_label_noise,0.05029708155378346,0.2222222222222222,0.17192514066843875
8,N->G->M->E,2,residual_candidate_specific_gauge,0.2222222222222222,1.0,0.7777777777777778
8,N->G->M->E,3,construction_utility_mismatch,1.0,1.0,0.0
8,N->G->M->E,4,extreme_order_localization,1.0,1.0,0.0
8,N->G->E->M,1,finite_label_noise,0.05029708155378346,0.2222222222222222,0.17192514066843875
8,N->G->E->M,2,residual_candidate_specific_gauge,0.2222222222222222,1.0,0.7777777777777778
8,N->G->E->M,3,extreme_order_localization,1.0,1.0,0.0
8,N->G->E->M,4,construction_utility_mismatch,1.0,1.0,0.0
8,M->N->E->G,1,construction_utility_mismatch,0.05029708155378346,0.05029708155378346,0.0
8,M->N->E->G,2,finite_label_noise,0.05029708155378346,0.2222222222222222,0.17192514066843875
8,M->N->E->G,3,extreme_order_localization,0.2222222222222222,0.8996146283321601,0.6773924061099379
8,M->N->E->G,4,residual_candidate_specific_gauge,0.8996146283321601,1.0,0.1003853716678399
8,M->N->G->E,1,construction_utility_mismatch,0.05029708155378346,0.05029708155378346,0.0
8,M->N->G->E,2,finite_label_noise,0.05029708155378346,0.2222222222222222,0.17192514066843875
8,M->N->G->E,3,residual_candidate_specific_gauge,0.2222222222222222,1.0,0.7777777777777778
8,M->N->G->E,4,extreme_order_localization,1.0,1.0,0.0
8,M->E->N->G,1,construction_utility_mismatch,0.05029708155378346,0.05029708155378346,0.0
8,M->E->N->G,2,extreme_order_localization,0.05029708155378346,0.7256513724124379,0.6753542908586545
8,M->E->N->G,3,finite_label_noise,0.7256513724124379,0.8996146283321601,0.17396325591972217
8,M->E->N->G,4,residual_candidate_specific_gauge,0.8996146283321601,1.0,0.1003853716678399
8,M->E->G->N,1,construction_utility_mismatch,0.05029708155378346,0.05029708155378346,0.0
8,M->E->G->N,2,extreme_order_localization,0.05029708155378346,0.7256513724124379,0.6753542908586545
8,M->E->G->N,3,residual_candidate_specific_gauge,0.7256513724124379,1.0,0.27434862758756207
8,M->E->G->N,4,finite_label_noise,1.0,1.0,0.0
8,M->G->N->E,1,construction_utility_mismatch,0.05029708155378346,0.05029708155378346,0.0
