target_id,budget,candidate_count,source_rank_best_margin_median,gauge_sd,finite_measurement_sd,gaussian_pair_noise_sd,top1_error_union_bound,top1_hit_lower_bound,empirical_top1,bound_nontrivial,assumptions,theorem_scope
1,4,110,0.0020873978901659093,0.02803433936145826,0.10698605965745267,0.15640934207688126,1.0,0.0,0.016031901041666668,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
1,8,110,0.0020873978901659093,0.02803433936145826,0.07253733599357305,0.10997808232987076,1.0,0.0,0.014322916666666666,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
1,16,110,0.0020873978901659093,0.02803433936145826,0.04673862758802632,0.07707689008056336,1.0,0.0,0.025390625,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
1,32,110,0.0020873978901659093,0.02803433936145826,0.027780530144956773,0.05581544658189631,1.0,0.0,0.010091145833333334,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
1,64,110,0.0020873978901659093,0.02803433936145826,0.008293542448520324,0.041345060884676814,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
1,full-construction,110,0.0020873978901659093,0.02803433936145826,0.0,0.03964654293714417,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
2,4,142,0.002842614862433792,0.025459646737884613,0.0859010737633545,0.1267058647870346,1.0,0.0,0.03555844112484738,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
2,8,142,0.002842614862433792,0.025459646737884613,0.061912275091140216,0.09467125666197634,1.0,0.0,0.04744466145833333,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
2,16,142,0.002842614862433792,0.025459646737884613,0.039182909505378394,0.06608319013674432,1.0,0.0,0.06784561820652174,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
2,32,142,0.002842614862433792,0.025459646737884613,0.023127641095603533,0.048643219356143116,1.0,0.0,0.12936197916666667,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
2,64,142,0.002842614862433792,0.025459646737884613,0.005876632765872512,0.03695208856567664,1.0,0.0,0.17578125,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
2,full-construction,142,0.002842614862433792,0.025459646737884613,0.0,0.03600537770994435,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
3,4,128,0.001296009939359804,0.03487108923039995,0.10180877699090048,0.1521908008816395,1.0,0.0,0.042934638890521244,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
3,8,128,0.001296009939359804,0.03487108923039995,0.06983380646121155,0.11038798294177195,1.0,0.0,0.04398607672964291,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
3,16,128,0.001296009939359804,0.03487108923039995,0.046234460463052844,0.08189771911871675,1.0,0.0,0.043939524017649015,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
3,32,128,0.001296009939359804,0.03487108923039995,0.027230765153865518,0.06257007967039026,1.0,0.0,0.05598177863802864,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
3,64,128,0.001296009939359804,0.03487108923039995,0.00591516951023035,0.05001963803246229,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
3,full-construction,128,0.001296009939359804,0.03487108923039995,0.0,0.04931516732435398,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
4,4,129,0.0021971893463537074,0.022553587710592776,0.09702283319563859,0.14086940391673494,1.0,0.0,0.14891962969896086,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
4,8,129,0.0021971893463537074,0.022553587710592776,0.06590875939273726,0.09851526666775189,1.0,0.0,0.21212487599206348,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
4,16,129,0.0021971893463537074,0.022553587710592776,0.042108577357940644,0.06755437226011464,1.0,0.0,0.2669921875,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
4,32,129,0.0021971893463537074,0.022553587710592776,0.02428628605250203,0.046871910753528194,1.0,0.0,0.5283203125,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
4,64,129,0.0021971893463537074,0.022553587710592776,0.004699113164139858,0.032580545825654735,1.0,0.0,0.9921875,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
4,full-construction,129,0.0021971893463537074,0.022553587710592776,0.0,0.031895589620491466,1.0,0.0,1.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
5,4,102,0.0026360031485516615,0.012976402106605917,0.06066814229664535,0.08773836676572382,1.0,0.0,0.0582500990847728,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
5,8,102,0.0026360031485516615,0.012976402106605917,0.041578598844636945,0.06159816382840598,1.0,0.0,0.07121441926129427,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
5,16,102,0.0026360031485516615,0.012976402106605917,0.027236525261863508,0.04266650489488108,1.0,0.0,0.1705016121031746,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
5,32,102,0.0026360031485516615,0.012976402106605917,0.016258046129094643,0.029418058248908807,1.0,0.0,0.39752604166666666,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
