stage,target_id,budget,repeat_count,construction_score_variance,evaluation_score_variance_across_candidates,split_half_reliability,observed_construct_eval_spearman,noise_corrected_latent_correlation,noise_corrected_correlation_clipped,expected_pair_order_error,mean_score_eval_spearman
T2,1,4,256,0.011653000077390984,0.0014408802610467954,0.10293819699628375,0.18779937817614248,0.585336857137086,0.585336857137086,0.4361129981884058,0.5653403047322016
T2,1,8,256,0.005477117401322509,0.0014408802610467954,0.20126380157384904,0.27730868294752875,0.6181311535367485,0.6181311535367485,0.4037802875905797,0.6347826086956523
T2,1,16,256,0.0023014663870817693,0.0014408802610467954,0.38839758725087636,0.39348217894145787,0.6313741632775615,0.6313741632775615,0.3605638586956521,0.5930434782608697
T2,1,32,256,0.0007921533257353539,0.0014408802610467954,0.6403879513602838,0.5084770207102999,0.6354037224555065,0.6354037224555065,0.31456634963768115,0.5956521739130435
T2,1,64,256,7.116357290666866e-05,0.0014408802610467954,0.9466206145165686,0.615084573821215,0.6321888854758254,0.6321888854758254,0.2715480638586957,0.6260869565217392
T2,1,full-construction,1,0.0,0.0014408802610467954,0.6078260869565217,0.6078260869565217,0.7796320202226957,0.7796320202226957,0.2717391304347826,0.6078260869565217
T2,2,4,256,0.008611000908745661,0.00033232461142106455,0.08475841961065884,0.07744845628910979,0.2660243193056532,0.2660243193056532,0.47470844655797106,0.250489242712114
T2,2,8,256,0.004282000173930249,0.00033232461142106455,0.10917134463690317,0.10246072761697164,0.31010095659223474,0.31010095659223474,0.4660962975543478,0.2982608695652174
T2,2,16,256,0.001767248577541775,0.00033232461142106455,0.28143940905532533,0.16266442059184177,0.3066197431221445,0.3066197431221445,0.44555310235507245,0.2866463951028889
T2,2,32,256,0.0006157328879911136,0.00033232461142106455,0.48509378067832604,0.22561682239615133,0.32393555978522554,0.32393555978522554,0.4250311367753623,0.28347826086956524
T2,2,64,256,4.3017353886872346e-05,0.00033232461142106455,0.9268426867412924,0.2888538426271996,0.300037221903936,0.300037221903936,0.4060093976449275,0.2843478260869565
T2,2,full-construction,1,0.0,0.00033232461142106455,0.2852173913043478,0.2852173913043478,0.5340574794011856,0.5340574794011856,0.4057971014492754,0.2852173913043478
T2,3,4,256,0.010080554438572304,0.0024993421660212205,0.2450186664406866,0.44000677842892444,0.8889140713621325,0.8889140713621325,0.3476279438405797,0.8688845606576453
T2,3,8,256,0.005108128965290544,0.0024993421660212205,0.41069752324822884,0.5558657756269771,0.8673789807777871,0.8673789807777871,0.30116338315217395,0.842608695652174
T2,3,16,256,0.0020651521246417676,0.0024993421660212205,0.6195945755512706,0.6977950003375204,0.8864904266831864,0.8864904266831864,0.2418336730072464,0.8556521739130435
T2,3,32,256,0.0007090548674265544,0.0024993421660212205,0.8251590884525988,0.8029146658129356,0.8838947349623252,0.8838947349623252,0.19103119338768115,0.8452173913043479
T2,3,64,256,3.752643181607614e-05,0.0024993421660212205,0.9875300808758602,0.8585617352033441,0.863965423416855,0.863965423416855,0.163475147192029,0.8573913043478262
