stage,scale,ratio_bin_low,ratio_bin_high,pair_count,mean_original_margin,mean_perturbation_gap,rank_flip_rate,target_count,evaluation_labels_fit
T3-HO_locked_evaluation,0.25,0.0,0.25,36649,0.05780585416382582,0.004503366187098923,0.0,9,0
T3-HO_locked_evaluation,0.25,0.25,0.5,9945,0.025760301935779387,0.00888795770006067,0.0,9,0
T3-HO_locked_evaluation,0.25,0.5,1.0,6662,0.01438595740755935,0.009750952061446915,0.0,9,0
T3-HO_locked_evaluation,0.25,1.0,2.0,3847,0.007553144757497651,0.01015870195645451,0.5393813361060567,9,0
T3-HO_locked_evaluation,0.25,2.0,inf,4552,0.002271490721583999,0.00986327219354303,0.46968365553602814,9,0
T3-HO_locked_evaluation,0.5,0.0,0.25,30007,0.0623802756811272,0.005982876528872798,0.0,9,0
T3-HO_locked_evaluation,0.5,0.25,0.5,11366,0.033857730175318755,0.011783340205836731,0.0,9,0
T3-HO_locked_evaluation,0.5,0.5,1.0,8661,0.02016978913045366,0.013706731052628781,0.0,9,0
T3-HO_locked_evaluation,0.5,1.0,2.0,5259,0.010817619917402306,0.014562100750251987,0.549343981745579,9,0
T3-HO_locked_evaluation,0.5,2.0,inf,6362,0.0034103542214001556,0.014585434166233858,0.49559886828041494,9,0
T3-HO_locked_evaluation,1.0,0.0,0.25,22866,0.06620992018301942,0.007165890412578772,0.0,9,0
T3-HO_locked_evaluation,1.0,0.25,0.5,12136,0.0449016441135798,0.015811323338929227,0.0,9,0
T3-HO_locked_evaluation,1.0,0.5,1.0,10615,0.027697656383399025,0.01906633903052583,0.0,9,0
T3-HO_locked_evaluation,1.0,1.0,2.0,7240,0.015601129914536613,0.020986748733855132,0.5903314917127072,9,0
T3-HO_locked_evaluation,1.0,2.0,inf,8798,0.0050129328187008765,0.02164983192386283,0.5087519890884292,9,0
T3-HO_locked_evaluation,2.0,0.0,0.25,15699,0.0678363531648418,0.008039114408966022,0.0,9,0
T3-HO_locked_evaluation,2.0,0.25,0.5,11136,0.05551207656350917,0.020101175536439874,0.0,9,0
T3-HO_locked_evaluation,2.0,0.5,1.0,12590,0.03950009438645255,0.027635136997377165,0.0,9,0
T3-HO_locked_evaluation,2.0,1.0,2.0,9730,0.023690675667097445,0.03212165094054073,0.6034943473792395,9,0
T3-HO_locked_evaluation,2.0,2.0,inf,12500,0.007918969470791785,0.03469725472011409,0.55368,9,0
