stage,target_id,heldout_outcome,construction_bacc_spearman,endpoint_matched_spearman,construction_bacc_pairwise_accuracy,endpoint_matched_pairwise_accuracy,top1_bacc_score,top1_endpoint_matched,mismatch_top1_penalty
T2,1,heldout_bAcc,0.6078260869565217,0.6078260869565217,0.7282608695652174,0.7282608695652174,1.0,1.0,0.0
T2,1,heldout_negNLL,0.4886956521739131,0.908695652173913,0.677536231884058,0.8731884057971014,1.0,1.0,0.0
T2,1,heldout_negECE,0.3417391304347826,0.8243478260869566,0.6231884057971014,0.8152173913043478,1.0,0.0,-1.0
T2,1,heldout_joint_utility,0.5039166399346522,0.8329703832752613,0.6948529411764706,0.8455882352941176,1.0,0.5,-0.5
T2,1,heldout_primary_joint_good,0.5733198515435455,0.5738190417570044,1.0,1.0,1.0,1.0,0.0
T2,2,heldout_bAcc,0.2852173913043478,0.2852173913043478,0.5942028985507246,0.5942028985507246,1.0,1.0,0.0
T2,2,heldout_negNLL,0.4721739130434783,0.9373913043478261,0.6521739130434783,0.9130434782608695,0.0,1.0,1.0
T2,2,heldout_negECE,0.5026086956521739,0.9260869565217392,0.677536231884058,0.894927536231884,0.0,0.0,0.0
T2,2,heldout_joint_utility,0.42608695652173917,0.7907786741988652,0.6386861313868614,0.7956204379562044,0.0,0.0,0.0
T2,2,heldout_primary_joint_good,0.3068776841731543,0.5089922465515642,0.7375,0.89375,1.0,0.0,-1.0
T2,3,heldout_bAcc,0.8573913043478262,0.8573913043478262,0.8333333333333334,0.8333333333333334,1.0,1.0,0.0
T2,3,heldout_negNLL,0.8330434782608696,0.9304347826086957,0.8333333333333334,0.8876811594202898,1.0,0.0,-1.0
T2,3,heldout_negECE,0.5530434782608696,0.8217391304347826,0.6956521739130435,0.8260869565217391,0.0,0.0,0.0
T2,3,heldout_joint_utility,0.8272413925006681,0.9250708126221505,0.8272058823529411,0.8897058823529411,1.0,0.0,-1.0
T2,3,heldout_primary_joint_good,0.4199378836053691,0.46081768756903263,0.825,0.85625,1.0,0.0,-1.0
T2,4,heldout_bAcc,0.7339130434782608,0.7339130434782608,0.7934782608695652,0.7934782608695652,1.0,1.0,0.0
T2,4,heldout_negNLL,0.7104347826086956,0.9791304347826087,0.7572463768115942,0.9492753623188406,0.0,1.0,1.0
T2,4,heldout_negECE,0.6930434782608696,0.9652173913043479,0.7463768115942029,0.9347826086956522,0.0,0.0,0.0
T2,4,heldout_joint_utility,0.7440748164590747,0.9449641293844953,0.7709090909090909,0.9127272727272727,0.0,0.0,0.0
T2,4,heldout_primary_joint_good,0.6002745367336524,0.6450198216256262,0.9263157894736842,0.9578947368421052,1.0,1.0,0.0
