stage,field_level,target_id,trajectory,candidate_count,best_utility,best_minus_second,best_minus_third,best_minus_fifth,top_quartile_margin_median,pairwise_utility_gap_median,source_rank_margin_median,construction_margin_median,gauge_residual_scale
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,0.5266765038436865,0.0224589617004477,0.02258608334459722,0.06110045506330336,0.04048904822898636,0.039281861940530655,0.07058543012570728,0.03162769892646056,0.027125622035187143
T2,trajectory_cell,1,0|1|0|S0_full_support,4,0.44844962550070905,0.0022187286119174088,0.0026273147403178543,0.027984059911304482,0.0016640464589380843,0.013992029955652241,0.07008579567715348,0.02802092128717515,0.010379524765088322
T2,trajectory_cell,1,0|1|1|S0_full_support,4,0.5266765038436865,0.10390424361012596,0.13498991072520483,0.14064856711915535,0.0779281827075945,0.07032428355957768,0.11605221273629585,0.058570976237384914,0.04688324787863263
T2,trajectory_cell,1,1|1|0|S0_full_support,4,0.4655760487803831,0.006438952646382945,0.028857417789306283,0.05741017273525012,0.004829214484787181,0.02870508636762506,0.05936166423271899,0.03015551914545725,0.019317739439994833
T2,trajectory_cell,1,1|1|1|S0_full_support,4,0.4967201811242059,0.034466459195561405,0.04492891915492536,0.09570261795493995,0.02584984439667104,0.047851308977469975,0.16862541985646196,0.04497289346360556,0.009292356790001592
T2,trajectory_cell,1,2|1|0|S0_full_support,4,0.5042175421432388,0.00012712164414951932,0.08802221785967917,0.08874699896371724,9.534123311216725e-05,0.08795865703760442,0.05460369782547045,0.03230779153766769,0.02198154978314236
T2,trajectory_cell,1,2|1|1|S0_full_support,4,0.45777858413307326,0.002792519239887603,0.04841122081834154,0.056324274977525735,0.0020943894299156884,0.04701496119839774,0.07393837475882703,0.017063966735019392,0.025657844376471485
T2,target_universe,2,ALL_TARGET_CANDIDATES,24,0.34800861401471156,0.02874819161725445,0.031535902765042645,0.03489541944291624,0.005695291327913271,0.015386217067057922,0.09800201753389814,0.021389708810644975,0.01673089029192873
T2,trajectory_cell,2,0|2|0|S0_full_support,4,0.31548701530248385,0.011883112252175143,0.016274807954846426,0.01651486439676425,0.008912334189131343,0.008257432198382125,0.1470104905891495,0.04038407477686415,0.0074154270540732516
T2,trajectory_cell,2,0|2|1|S0_full_support,4,0.3131131945717953,0.013766632027222447,0.015883840699309204,0.02419539702915824,0.010324974020416822,0.01209769851457912,0.10360014917980967,0.01854231089090355,0.008298044738028414
T2,trajectory_cell,2,1|2|0|S0_full_support,4,0.3192604223974571,0.0027877111477881966,0.009861416753265295,0.01714015730382873,0.0020907833608411197,0.008570078651914365,0.05870398148179243,0.010396534659263906,0.006102786376576109
T2,trajectory_cell,2,1|2|1|S0_full_support,4,0.2949351274527783,0.003434653707439339,0.023538266397701568,0.040036575177781863,0.002575990280579532,0.0218209395439819,0.11662103653658792,0.015619875489024743,0.01070598899804927
T2,trajectory_cell,2,2|2|0|S0_full_support,4,0.31294127086007706,0.013245130101676994,0.024499128919860613,0.02821841188336699,0.00993384757625776,0.014109205941683495,0.1469087889744832,0.007263994307400379,0.010067129972992804
T2,trajectory_cell,2,2|2|1|S0_full_support,4,0.34800861401471156,0.06099407563624509,0.06135193165841435,0.06411544613566433,0.045745556727183834,0.03205772306783217,0.05663265393347988,0.033610569377093724,0.02065678283533957
T2,target_universe,3,ALL_TARGET_CANDIDATES,24,0.6559893158688026,0.028505933405361228,0.03984596266111784,0.055692645600743385,0.030918644097940096,0.04786514118792595,0.11182878978086419,0.048960148852984164,0.02192947015877057
T2,trajectory_cell,3,0|3|0|S0_full_support,4,0.6152422047636197,0.031433265307029834,0.07002136381623114,0.08750241204376796,0.023574948980272348,0.04732862262296972,0.1419360866263033,0.06986281987047444,0.015199536580468501
T2,trajectory_cell,3,0|3|1|S0_full_support,4,0.6002966702680592,0.017421136172653506,0.050855086188881904,0.07214276186792223,0.013065852129490185,0.04214451810255515,0.12250523715906192,0.05052831175764427,0.004124284808626512
T2,trajectory_cell,3,1|3|0|S0_full_support,4,0.6559893158688026,0.06831959468772364,0.08454720269615368,0.14009232458772947,0.0512396960157927,0.07004616229386473,0.0921835679058578,0.08063487339359965,0.011382400087043824
T2,trajectory_cell,3,1|3|1|S0_full_support,4,0.5826505359850254,0.0032890717744195053,0.01501669534442207,0.035133807294376096,0.0024668038308146567,0.017566903647188048,0.09991805992483938,0.027715963868750138,0.009732056437374627
T2,trajectory_cell,3,2|3|0|S0_full_support,4,0.5811384846585124,0.01431369018242612,0.09623587787277743,0.12172468910200829,0.010735267636819534,0.08907903278156437,0.1564381152857831,0.08189686920550365,0.01800846515992582
T2,trajectory_cell,3,2|3|1|S0_full_support,4,0.6274833824634414,0.011340029255756612,0.10341343097108657,0.17207900388150077,0.008505021941817459,0.09774341634320827,0.21090934754396187,0.0721976941205355,0.01788735443453047
T2,target_universe,4,ALL_TARGET_CANDIDATES,24,0.3942908428667922,0.007342690095854643,0.020307943567437203,0.0337316207569372,0.01950607409468169,0.02807208898981048,0.10933654552895589,0.02795121545121551,0.017874881758241173
T2,trajectory_cell,4,0|4|0|S0_full_support,4,0.3483010674466371,0.010047100236973694,0.03649328491100645,0.04261546983065967,0.0075353251777302566,0.029507277133859366,0.09792582250987998,0.024716949716949738,0.010594013933501864
T2,trajectory_cell,4,0|4|1|S0_full_support,4,0.35490039524849654,0.028360082157550537,0.029277321207700935,0.04214318296596781,0.021270061618162917,0.021071591482983903,0.04766081581700404,0.017963286713286702,0.007592205743338862
T2,trajectory_cell,4,1|4|0|S0_full_support,4,0.3371931623513902,0.0001815523967422794,0.003158369455837806,0.04173206625738268,0.00013616429755669568,0.02086603312869134,0.08198354563895224,0.022383866133866143,0.004989403523903528
T2,trajectory_cell,4,1|4|1|S0_full_support,4,0.3329298139424722,0.005455970645844077,0.037883359085890744,0.04425304425304427,0.004091977984383044,0.035155373762968706,0.15933452552005786,0.027905427905427882,0.007765334937155172
T2,trajectory_cell,4,2|4|0|S0_full_support,4,0.36493104768421225,0.05236071375311885,0.055900750521003684,0.06205120999424796,0.03927053531483915,0.03102560499712398,0.12382318350912686,0.03275058275058276,0.02346072030946725
T2,trajectory_cell,4,2|4|1|S0_full_support,4,0.3942908428667922,0.007342690095854643,0.020307943567437203,0.0337316207569372,0.005507017571890982,0.0168658103784686,0.08802618865458565,0.040051615051615086,0.006050774100930981
T2,target_universe,5,ALL_TARGET_CANDIDATES,24,0.2816904467405726,0.0035723099470626463,0.01512910928371275,0.018073284802515077,0.004560998971008368,0.01260927298004716,0.11464984100183369,0.012502587348898836,0.01239313118438091
T2,trajectory_cell,5,0|5|0|S0_full_support,4,0.2616148674299187,0.0123922306139983,0.026297286092062194,0.03061474417233273,0.009294172960498726,0.016063784518199162,0.12531293418827646,0.016722701251389777,0.012240339096088166
T2,trajectory_cell,5,0|5|1|S0_full_support,4,0.2662083725516561,0.004392570281124442,0.01586801353592393,0.01993971583523818,0.0032944277108433173,0.013511294404456614,0.17267364915926656,0.014790099472476531,0.006283410451194921
T2,trajectory_cell,5,1|5|0|S0_full_support,4,0.2636171619380575,0.004496100578190165,0.009616893012415417,0.016043095334140195,0.003372075433642596,0.008021547667070097,0.12656671325883848,0.009277715681404203,0.006276351563188116
T2,trajectory_cell,5,1|5|1|S0_full_support,4,0.26656133745685984,0.004713320135456389,0.018893427009098657,0.02879185155304556,0.0035349901015923058,0.016536766941370462,0.0314992939485243,0.014664502164502158,0.009147741870800953
T2,trajectory_cell,5,2|5|0|S0_full_support,4,0.2816904467405726,0.02013364740392254,0.031690446740572586,0.0521610105880021,0.015100235552941876,0.02608050529400105,0.1434668032843256,0.020429411208099713,0.005598430937891646
T2,trajectory_cell,5,2|5|1|S0_full_support,4,0.27811813679350994,0.01821971224956298,0.02318859274667584,0.023764902962664147,0.013664784187172208,0.011882451481332074,0.059448775778467355,0.02611699548174956,0.007810276783472382
T2,target_universe,6,ALL_TARGET_CANDIDATES,24,0.3439918989908183,0.013420258969380705,0.020358699389232737,0.031416058680176384,0.009244657366116543,0.022897374787647168,0.10718980981146317,0.021441154052041167,0.02022960460727557
T2,trajectory_cell,6,0|6|0|S0_full_support,4,0.29681827776766573,0.006264725660316273,0.009198797678275306,0.013899474932249356,0.004698544245237191,0.006949737466124678,0.11666699392739746,0.01620401887538986,0.0021722486125269713
