stage,field_level,target_id,trajectory,field_index,candidate_count,random_top1_base_rate,full_construct_top1,full_construct_regret
T2,target_universe,1,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,1.0,0.0
T2,trajectory_cell,1,0|1|0|S0_full_support,0,4,0.25,1.0,0.0
T2,trajectory_cell,1,0|1|1|S0_full_support,1,4,0.25,1.0,0.0
T2,trajectory_cell,1,1|1|0|S0_full_support,2,4,0.25,1.0,0.0
T2,trajectory_cell,1,1|1|1|S0_full_support,3,4,0.25,1.0,0.0
T2,trajectory_cell,1,2|1|0|S0_full_support,4,4,0.25,0.0,0.00012712164414951932
T2,trajectory_cell,1,2|1|1|S0_full_support,5,4,0.25,0.0,0.04841122081834154
T2,target_universe,2,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,1.0,0.0
T2,trajectory_cell,2,0|2|0|S0_full_support,0,4,0.25,0.0,0.011883112252175143
T2,trajectory_cell,2,0|2|1|S0_full_support,1,4,0.25,0.0,0.015883840699309204
T2,trajectory_cell,2,1|2|0|S0_full_support,2,4,0.25,0.0,0.0027877111477881966
T2,trajectory_cell,2,1|2|1|S0_full_support,3,4,0.25,0.0,0.023538266397701568
T2,trajectory_cell,2,2|2|0|S0_full_support,4,4,0.25,0.0,0.024499128919860613
T2,trajectory_cell,2,2|2|1|S0_full_support,5,4,0.25,1.0,0.0
T2,target_universe,3,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,1.0,0.0
T2,trajectory_cell,3,0|3|0|S0_full_support,0,4,0.25,1.0,0.0
T2,trajectory_cell,3,0|3|1|S0_full_support,1,4,0.25,1.0,0.0
T2,trajectory_cell,3,1|3|0|S0_full_support,2,4,0.25,1.0,0.0
T2,trajectory_cell,3,1|3|1|S0_full_support,3,4,0.25,0.0,0.0032890717744195053
T2,trajectory_cell,3,2|3|0|S0_full_support,4,4,0.25,1.0,0.0
T2,trajectory_cell,3,2|3|1|S0_full_support,5,4,0.25,0.0,0.011340029255756612
T2,target_universe,4,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,1.0,0.0
T2,trajectory_cell,4,0|4|0|S0_full_support,0,4,0.25,1.0,0.0
T2,trajectory_cell,4,0|4|1|S0_full_support,1,4,0.25,1.0,0.0
T2,trajectory_cell,4,1|4|0|S0_full_support,2,4,0.25,0.0,0.0001815523967422794
T2,trajectory_cell,4,1|4|1|S0_full_support,3,4,0.25,1.0,0.0
T2,trajectory_cell,4,2|4|0|S0_full_support,4,4,0.25,0.0,0.05236071375311885
T2,trajectory_cell,4,2|4|1|S0_full_support,5,4,0.25,1.0,0.0
T2,target_universe,5,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.0,0.026760902693738486
T2,trajectory_cell,5,0|5|0|S0_full_support,0,4,0.25,0.0,0.03061474417233273
T2,trajectory_cell,5,0|5|1|S0_full_support,1,4,0.25,1.0,0.0
T2,trajectory_cell,5,1|5|0|S0_full_support,2,4,0.25,0.0,0.004496100578190165
T2,trajectory_cell,5,1|5|1|S0_full_support,3,4,0.25,0.0,0.004713320135456389
T2,trajectory_cell,5,2|5|0|S0_full_support,4,4,0.25,1.0,0.0
T2,trajectory_cell,5,2|5|1|S0_full_support,5,4,0.25,0.0,0.02318859274667584
T2,target_universe,6,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.0,0.020358699389232737
T2,trajectory_cell,6,0|6|0|S0_full_support,0,4,0.25,0.0,0.013899474932249356
T2,trajectory_cell,6,0|6|1|S0_full_support,1,4,0.25,0.0,0.007238167647534655
T2,trajectory_cell,6,1|6|0|S0_full_support,2,4,0.25,0.0,0.02681950385268772
T2,trajectory_cell,6,1|6|1|S0_full_support,3,4,0.25,1.0,0.0
T2,trajectory_cell,6,2|6|0|S0_full_support,4,4,0.25,1.0,0.0
T2,trajectory_cell,6,2|6|1|S0_full_support,5,4,0.25,0.0,0.036292116652509865
T2,target_universe,7,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.0,0.04928315719367243
T2,trajectory_cell,7,0|7|0|S0_full_support,0,4,0.25,1.0,0.0
T2,trajectory_cell,7,0|7|1|S0_full_support,1,4,0.25,0.0,0.010077897373558853
T2,trajectory_cell,7,1|7|0|S0_full_support,2,4,0.25,0.0,0.0578102027986071
T2,trajectory_cell,7,1|7|1|S0_full_support,3,4,0.25,0.0,0.018372734207905916
T2,trajectory_cell,7,2|7|0|S0_full_support,4,4,0.25,0.0,0.02796238711731669
T2,trajectory_cell,7,2|7|1|S0_full_support,5,4,0.25,0.0,0.025454384114376172
T2,target_universe,8,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.0,0.05489548598746047
T2,trajectory_cell,8,0|8|0|S0_full_support,0,4,0.25,1.0,0.0
T2,trajectory_cell,8,0|8|1|S0_full_support,1,4,0.25,1.0,0.0
T2,trajectory_cell,8,1|8|0|S0_full_support,2,4,0.25,0.0,0.0402231190092564
T2,trajectory_cell,8,1|8|1|S0_full_support,3,4,0.25,0.0,0.03947384804647902
T2,trajectory_cell,8,2|8|0|S0_full_support,4,4,0.25,0.0,0.033421884481323105
T2,trajectory_cell,8,2|8|1|S0_full_support,5,4,0.25,1.0,0.0
T2,target_universe,9,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.0,0.012149053815720512
T2,trajectory_cell,9,0|9|0|S0_full_support,0,4,0.25,1.0,0.0
T2,trajectory_cell,9,0|9|1|S0_full_support,1,4,0.25,1.0,0.0
T2,trajectory_cell,9,1|9|0|S0_full_support,2,4,0.25,0.0,0.05729539062872402
T2,trajectory_cell,9,1|9|1|S0_full_support,3,4,0.25,1.0,0.0
T2,trajectory_cell,9,2|9|0|S0_full_support,4,4,0.25,1.0,0.0
T2,trajectory_cell,9,2|9|1|S0_full_support,5,4,0.25,1.0,0.0
T3-HO,target_universe,1,ALL_TARGET_CANDIDATES,0,110,0.00909090909090909,0.0,0.08342505401328931
T3-HO,trajectory_cell,1,0|1|0|S0_full_support,0,16,0.0625,1.0,0.0
T3-HO,trajectory_cell,1,0|1|1|S0_full_support,1,16,0.0625,0.0,0.04062434964137751
T3-HO,trajectory_cell,1,1|1|0|S0_full_support,2,24,0.041666666666666664,0.0,0.030040668198562936
T3-HO,trajectory_cell,1,1|1|1|S0_full_support,3,14,0.07142857142857142,1.0,0.0
T3-HO,trajectory_cell,1,2|1|0|S0_full_support,4,17,0.058823529411764705,1.0,0.0
T3-HO,trajectory_cell,1,2|1|1|S0_full_support,5,23,0.043478260869565216,0.0,0.08342505401328931
T3-HO,target_universe,2,ALL_TARGET_CANDIDATES,0,142,0.007042253521126761,0.0,0.041618273325590316
T3-HO,trajectory_cell,2,0|2|0|S0_full_support,0,23,0.043478260869565216,0.0,0.051079171506000776
T3-HO,trajectory_cell,2,0|2|1|S0_full_support,1,24,0.041666666666666664,0.0,0.041618273325590316
T3-HO,trajectory_cell,2,1|2|0|S0_full_support,2,19,0.05263157894736842,0.0,0.042402118100128394
T3-HO,trajectory_cell,2,1|2|1|S0_full_support,3,25,0.04,0.0,0.024319564154288154
T3-HO,trajectory_cell,2,2|2|0|S0_full_support,4,22,0.045454545454545456,0.0,0.018493260590500604
T3-HO,trajectory_cell,2,2|2|1|S0_full_support,5,29,0.034482758620689655,0.0,0.005409229374248703
T3-HO,target_universe,3,ALL_TARGET_CANDIDATES,0,128,0.0078125,0.0,0.016417637041878486
T3-HO,trajectory_cell,3,0|3|0|S0_full_support,0,19,0.05263157894736842,0.0,0.016417637041878486
T3-HO,trajectory_cell,3,0|3|1|S0_full_support,1,21,0.047619047619047616,0.0,0.0148136612823625
T3-HO,trajectory_cell,3,1|3|0|S0_full_support,2,24,0.041666666666666664,1.0,0.0
T3-HO,trajectory_cell,3,1|3|1|S0_full_support,3,16,0.0625,0.0,0.040740730860377106
T3-HO,trajectory_cell,3,2|3|0|S0_full_support,4,18,0.05555555555555555,0.0,0.0020892078270263736
T3-HO,trajectory_cell,3,2|3|1|S0_full_support,5,30,0.03333333333333333,1.0,0.0
T3-HO,target_universe,4,ALL_TARGET_CANDIDATES,0,129,0.007751937984496124,1.0,0.0
T3-HO,trajectory_cell,4,0|4|0|S0_full_support,0,20,0.05,1.0,0.0
T3-HO,trajectory_cell,4,0|4|1|S0_full_support,1,32,0.03125,1.0,0.0
T3-HO,trajectory_cell,4,1|4|0|S0_full_support,2,14,0.07142857142857142,0.0,0.034598576528956204
T3-HO,trajectory_cell,4,1|4|1|S0_full_support,3,20,0.05,0.0,0.04385986348011661
T3-HO,trajectory_cell,4,2|4|0|S0_full_support,4,27,0.037037037037037035,1.0,0.0
T3-HO,trajectory_cell,4,2|4|1|S0_full_support,5,16,0.0625,1.0,0.0
T3-HO,target_universe,5,ALL_TARGET_CANDIDATES,0,102,0.00980392156862745,1.0,0.0
T3-HO,trajectory_cell,5,0|5|0|S0_full_support,0,16,0.0625,0.0,0.0018236520102191678
T3-HO,trajectory_cell,5,0|5|1|S0_full_support,1,18,0.05555555555555555,0.0,0.015317556362332507
T3-HO,trajectory_cell,5,1|5|0|S0_full_support,2,14,0.07142857142857142,0.0,0.0038153825467258096
T3-HO,trajectory_cell,5,1|5|1|S0_full_support,3,15,0.06666666666666667,1.0,0.0
T3-HO,trajectory_cell,5,2|5|0|S0_full_support,4,18,0.05555555555555555,0.0,0.024189301241540062
T3-HO,trajectory_cell,5,2|5|1|S0_full_support,5,21,0.047619047619047616,0.0,0.024503047823943414
T3-HO,target_universe,6,ALL_TARGET_CANDIDATES,0,108,0.009259259259259259,0.0,0.014791072584233289
T3-HO,trajectory_cell,6,0|6|0|S0_full_support,0,18,0.05555555555555555,0.0,0.04319374292157108
T3-HO,trajectory_cell,6,0|6|1|S0_full_support,1,17,0.058823529411764705,1.0,0.0
T3-HO,trajectory_cell,6,1|6|0|S0_full_support,2,17,0.058823529411764705,1.0,0.0
T3-HO,trajectory_cell,6,1|6|1|S0_full_support,3,21,0.047619047619047616,0.0,0.0034322480584880743
T3-HO,trajectory_cell,6,2|6|0|S0_full_support,4,19,0.05263157894736842,1.0,0.0
T3-HO,trajectory_cell,6,2|6|1|S0_full_support,5,16,0.0625,0.0,0.016133130081300795
T3-HO,target_universe,7,ALL_TARGET_CANDIDATES,0,112,0.008928571428571428,0.0,0.070894720478973
T3-HO,trajectory_cell,7,0|7|0|S0_full_support,0,17,0.058823529411764705,0.0,0.04204179276298742
T3-HO,trajectory_cell,7,0|7|1|S0_full_support,1,20,0.05,1.0,0.0
T3-HO,trajectory_cell,7,1|7|0|S0_full_support,2,22,0.045454545454545456,0.0,0.0007641892081057255
T3-HO,trajectory_cell,7,1|7|1|S0_full_support,3,17,0.058823529411764705,0.0,0.04338965656065036
T3-HO,trajectory_cell,7,2|7|0|S0_full_support,4,17,0.058823529411764705,0.0,0.016335236412729492
T3-HO,trajectory_cell,7,2|7|1|S0_full_support,5,19,0.05263157894736842,0.0,0.070894720478973
T3-HO,target_universe,8,ALL_TARGET_CANDIDATES,0,106,0.009433962264150943,0.0,0.07548316096261976
T3-HO,trajectory_cell,8,0|8|0|S0_full_support,0,16,0.0625,0.0,0.010949047499275832
T3-HO,trajectory_cell,8,0|8|1|S0_full_support,1,20,0.05,0.0,0.024288426051594203
T3-HO,trajectory_cell,8,1|8|0|S0_full_support,2,19,0.05263157894736842,1.0,0.0
T3-HO,trajectory_cell,8,1|8|1|S0_full_support,3,18,0.05555555555555555,0.0,0.07548316096261976
T3-HO,trajectory_cell,8,2|8|0|S0_full_support,4,19,0.05263157894736842,0.0,0.014948842879093038
T3-HO,trajectory_cell,8,2|8|1|S0_full_support,5,14,0.07142857142857142,0.0,0.012443438914027216
T3-HO,target_universe,9,ALL_TARGET_CANDIDATES,0,115,0.008695652173913044,0.0,0.029505696172362872
T3-HO,trajectory_cell,9,0|9|0|S0_full_support,0,20,0.05,0.0,0.029505696172362872
T3-HO,trajectory_cell,9,0|9|1|S0_full_support,1,15,0.06666666666666667,1.0,0.0
T3-HO,trajectory_cell,9,1|9|0|S0_full_support,2,18,0.05555555555555555,0.0,0.051885218551885215
T3-HO,trajectory_cell,9,1|9|1|S0_full_support,3,16,0.0625,1.0,0.0
T3-HO,trajectory_cell,9,2|9|0|S0_full_support,4,20,0.05,0.0,0.0036643786643786314
T3-HO,trajectory_cell,9,2|9|1|S0_full_support,5,26,0.038461538461538464,0.0,0.02084227084227075
