gate,failed,finding
protocol_committed_before_outcomes,0,Static protocol was committed and pushed before C72 outcome access.
protocol_sha_matches,0,Protocol SHA replay matches.
C71_parent_replay,0,C71 protocol and summary hashes replay.
cache_identity_replay,0,"T2/T3-HO hashes, rows, and disjoint roles replay."
physical_view_replay,0,C71 T3-HO physical views replay by SHA.
T2_only_tuning,0,Interventions are T2 calibrated and T3-HO locked.
no_evaluation_fit_I0_I5,0,Evaluation labels do not fit primary interventions.
oracle_after_primary_freeze,0,Same-label oracle opened only after primary freeze.
utility_common_offset_identity,0,Utility-common offsets preserve ranking.
all_class_logit_identity,0,All-class scalar preserves probabilities and metrics.
representation_claim_guard,0,Representation intervention is marked unavailable.
strict_source_provenance,0,Checkpoint summaries are not relabeled as strict source trial features.
source_score_checkpoint_regime_join,0,C22 source scores join one-to-one by checkpoint hash plus regime.
hierarchical_not_row_iid,0,No trial/cache row IID inference.
top1_random_baselines,0,Top-k/action tables include random base rates.
multiplicity_corrected,0,H1-H6 carry Holm-adjusted decisions.
synthetic_controls,0,Synthetic common-offset identity and high-reliability/poor-top1 cells pass.
risk_register_no_blocker,0,No open blocking risk.
no_forward_training_gpu,0,C72 is cache-only CPU analysis.
no_control_artifacts,0,No control or checkpoint artifact emitted.
large_artifact_scan,0,All C72 git artifacts are below 50MB.
forbidden_claim_scan,0,No affirmative forbidden claim.
tests_green,0,"Focused, slice, regression, and full tests are green."
