stage,target_id,intervention,locked_option,spearman,pairwise_accuracy,top1,top3,regret,random_top1_base_rate,T3_tuned
T3-HO_locked_evaluation,1,I3_shared_class_vector,one_vs_rest_2|0.4,0.6644410221963352,0.7378079436902967,0.0,0.0,0.08342505401328931,0.00909090909090909,0
T3-HO_locked_evaluation,2,I3_shared_class_vector,one_vs_rest_2|0.4,-0.06488606168993237,0.48272680676576113,0.0,0.0,0.04821504981967106,0.007042253521126761,0
T3-HO_locked_evaluation,3,I3_shared_class_vector,one_vs_rest_2|0.4,0.8748301738222355,0.8569742889082101,0.0,0.0,0.008117494320025953,0.0078125,0
T3-HO_locked_evaluation,4,I3_shared_class_vector,one_vs_rest_2|0.4,0.5368798516484415,0.6789713301341208,1.0,1.0,0.0,0.007751937984496124,0
T3-HO_locked_evaluation,5,I3_shared_class_vector,one_vs_rest_2|0.4,0.27280746395686345,0.5923480287434453,0.0,1.0,0.04723426784993945,0.00980392156862745,0
T3-HO_locked_evaluation,6,I3_shared_class_vector,one_vs_rest_2|0.4,0.6969398816153985,0.7484790544063966,0.0,1.0,0.042422857764025435,0.009259259259259259,0
T3-HO_locked_evaluation,7,I3_shared_class_vector,one_vs_rest_2|0.4,0.5323273331265785,0.69044934772105,0.0,0.0,0.070894720478973,0.008928571428571428,0
T3-HO_locked_evaluation,8,I3_shared_class_vector,one_vs_rest_2|0.4,0.8276242537219438,0.8172506738544474,0.0,0.0,0.07548316096261976,0.009433962264150943,0
T3-HO_locked_evaluation,9,I3_shared_class_vector,one_vs_rest_2|0.4,0.7751686191708079,0.7948954489544895,0.0,0.0,0.022713189379856114,0.008695652173913044,0
T3-HO_locked_evaluation,1,I4_shared_temperature,1.0,0.7850463708211928,0.7964882943143813,0.0,0.0,0.02752293577981657,0.00909090909090909,0
T3-HO_locked_evaluation,2,I4_shared_temperature,1.0,0.6957148620353357,0.7635108086469176,1.0,1.0,0.0,0.007042253521126761,0
T3-HO_locked_evaluation,3,I4_shared_temperature,1.0,0.792574991139635,0.8125463994060876,0.0,0.0,0.12598425196850394,0.0078125,0
T3-HO_locked_evaluation,4,I4_shared_temperature,1.0,0.7497396719954308,0.7744585057191531,1.0,1.0,0.0,0.007751937984496124,0
T3-HO_locked_evaluation,5,I4_shared_temperature,1.0,0.8313414141104654,0.8171990650564862,0.0,0.0,0.12376237623762376,0.00980392156862745,0
T3-HO_locked_evaluation,6,I4_shared_temperature,1.0,0.6915762093946013,0.7577077164257098,1.0,1.0,0.0,0.009259259259259259,0
T3-HO_locked_evaluation,7,I4_shared_temperature,1.0,0.7783309093942251,0.7946630119316349,0.0,0.0,0.5120120120120121,0.008928571428571428,0
T3-HO_locked_evaluation,8,I4_shared_temperature,1.0,0.7927901828803762,0.7995308552869,0.0,1.0,0.01904761904761898,0.009433962264150943,0
T3-HO_locked_evaluation,9,I4_shared_temperature,1.0,0.7573555093954056,0.7896831470993418,1.0,1.0,0.0,0.008695652173913044,0
T3-HO_locked_evaluation,1,I5_construction_candidate_gauge,0.0,0.6941013984101678,0.748533601474778,0.0,0.0,0.08342505401328931,0.00909090909090909,0
T3-HO_locked_evaluation,2,I5_construction_candidate_gauge,0.0,-0.008894937812345996,0.5048692977960021,0.0,1.0,0.041618273325590316,0.007042253521126761,0
T3-HO_locked_evaluation,3,I5_construction_candidate_gauge,0.0,0.8720289445876998,0.8451124083964725,0.0,0.0,0.016417637041878486,0.0078125,0
T3-HO_locked_evaluation,4,I5_construction_candidate_gauge,0.0,0.47669424015147827,0.6681432262827611,1.0,1.0,0.0,0.007751937984496124,0
T3-HO_locked_evaluation,5,I5_construction_candidate_gauge,0.0,0.2640685786706471,0.5894348417168382,1.0,1.0,0.0,0.00980392156862745,0
T3-HO_locked_evaluation,6,I5_construction_candidate_gauge,0.0,0.5961585664610766,0.7001564401181992,0.0,0.0,0.014791072584233289,0.009259259259259259,0
T3-HO_locked_evaluation,7,I5_construction_candidate_gauge,0.0,0.5465450523239628,0.6929457239491061,0.0,0.0,0.070894720478973,0.008928571428571428,0
T3-HO_locked_evaluation,8,I5_construction_candidate_gauge,0.0,0.8229589137718215,0.8115004492362983,0.0,0.0,0.07548316096261976,0.009433962264150943,0
T3-HO_locked_evaluation,9,I5_construction_candidate_gauge,0.0,0.7534502948307521,0.7841328413284133,0.0,0.0,0.029505696172362872,0.008695652173913044,0
T3-HO_locked_evaluation,1,I5_random_matched_gauge,0.25,0.6939529640097158,0.7502932797050444,0.0,0.0,0.08342505401328931,0.00909090909090909,0
T3-HO_locked_evaluation,2,I5_random_matched_gauge,0.25,0.061060331363823626,0.5254741158380318,0.0,1.0,0.03761690812396845,0.007042253521126761,0
T3-HO_locked_evaluation,3,I5_random_matched_gauge,0.25,0.8805048133125595,0.8558564153521302,1.0,1.0,0.0,0.0078125,0
T3-HO_locked_evaluation,4,I5_random_matched_gauge,0.25,0.4313582247211636,0.6488249046388581,0.0,1.0,0.03597760718013887,0.007751937984496124,0
T3-HO_locked_evaluation,5,I5_random_matched_gauge,0.25,0.33626897446833426,0.6182753932802486,0.0,1.0,0.04096073685625923,0.00980392156862745,0
T3-HO_locked_evaluation,6,I5_random_matched_gauge,0.25,0.6367135818206614,0.7178863201807753,0.0,0.0,0.014791072584233289,0.009259259259259259,0
T3-HO_locked_evaluation,7,I5_random_matched_gauge,0.25,0.566598542422293,0.7023675310033822,0.0,0.0,0.070894720478973,0.008928571428571428,0
T3-HO_locked_evaluation,8,I5_random_matched_gauge,0.25,0.8214273118875483,0.8122192273135669,0.0,0.0,0.07548316096261976,0.009433962264150943,0
T3-HO_locked_evaluation,9,I5_random_matched_gauge,0.25,0.7538186816498468,0.7839022140221402,0.0,0.0,0.029505696172362872,0.008695652173913044,0
