field,scope,status,orientation_better,n_available,n_candidate_rows,availability_fraction,used_for_global_candidate_alignment,target_labels_diagnostic_only,non_source_only,proxy_used
selection_leakage_point,candidate,available,lower,3804,3804,1.0,1,0,0,0
selection_leakage_ucl,candidate,selected_only,lower,162,3804,0.04258675078864353,0,0,0,0
audit_leakage_point,candidate,available,lower,3804,3804,1.0,1,0,0,0
R_src,candidate,available,lower,3804,3804,1.0,1,0,0,0
balanced_err,candidate,available,lower,3804,3804,1.0,1,0,0,0
source_guard_worst_bacc,candidate,available,higher,1863,3804,0.48974763406940064,1,0,0,0
source_guard_worst_nll,candidate,available,lower,3804,3804,1.0,1,0,0,0
source_guard_worst_ece,candidate,available,lower,3804,3804,1.0,1,0,0,0
source_audit_worst_bacc,candidate,available,higher,3804,3804,1.0,1,0,0,0
source_audit_worst_nll,candidate,available,lower,3804,3804,1.0,1,0,0,0
source_audit_worst_ece,candidate,available,lower,3804,3804,1.0,1,0,0,0
C30_source_rank_score,aggregate_only,available_aggregate_only,higher,5,3804,0.0013144058885383807,0,0,0,0
target_unlabeled_R3,local_pair_only,available_local_pair_only_non_source_only,higher,549,3804,0.1443217665615142,0,1,1,0
target_gauge_factor,local_pair_only,available_local_pair_only_non_source_only,higher,549,3804,0.1443217665615142,0,1,1,0
target_utility_vector,candidate,available_diagnostic_only,higher,3804,3804,1.0,1,1,0,0
joint_good_label,candidate,available_diagnostic_only,higher,3804,3804,1.0,1,1,0,0
pareto_good_label,candidate,available_diagnostic_only,higher,3804,3804,1.0,1,1,0,0
