field,scope,n_trajectories,target_utility_mean_auc,target_utility_median_auc,rank_strength_abs,candidate_level_available,non_source_only,proxy_used
C30_source_rank_score,aggregate_only_c30,,0.658600107451297,,0.15860010745129705,0,0,0
C30_aggregate_R_src,aggregate_only_c30,,0.3755739318828421,,0.1244260681171579,0,0,0
source_guard_worst_ece,candidate_level_c41,162,0.43233092686541114,0.42468379446640314,0.06766907313458886,1,0,0
balanced_err,candidate_level_c41,162,0.5608300926397386,0.5453647416413374,0.0608300926397386,1,0,0
source_audit_worst_nll,candidate_level_c41,162,0.556370428101521,0.5612203818725559,0.05637042810152104,1,0,0
R_src,candidate_level_c41,162,0.5429152019943845,0.5410911384421319,0.04291520199438448,1,0,0
source_guard_worst_nll,candidate_level_c41,162,0.5396858954905933,0.5297503820682629,0.039685895490593315,1,0,0
C30_aggregate_feat__selection_leakage_point,aggregate_only_c30,,0.5394710396439246,,0.03947103964392462,0,0,0
source_audit_worst_bacc,candidate_level_c41,162,0.5340445313218334,0.5292207792207793,0.03404453132183338,1,0,0
source_audit_worst_ece,candidate_level_c41,162,0.5327743696036895,0.5422741669502396,0.03277436960368951,1,0,0
C30_aggregate_feat__audit_leakage_point,aggregate_only_c30,,0.5219140398765473,,0.021914039876547275,0,0,0
selection_leakage_point,candidate_level_c41,162,0.49373160501299335,0.5066137566137566,0.0062683949870066535,1,0,0
source_guard_worst_bacc,candidate_level_c41,81,0.49475739165607796,0.4842105263157895,0.0052426083439220394,1,0,0
audit_leakage_point,candidate_level_c41,162,0.4981768980759732,0.5128511081852096,0.0018231019240267932,1,0,0
