job_id,suite,commit_under_test,worktree,state,accepted,passed,failed,skipped,deselected,reason,stdout_sha256,stderr_bytes,stderr_sha256
894651,focused,1c9fd01f187d63f0b26c5aeab495a8323fd1b73b,/home/infres/yinwang/CMI_AAAI/c78f_oaci,completed,false,53,0,0,0,stale_hardcoded_worktree,18a4d48fb648307824edcf2b0b004c464b0e6e920a081a243cf6d1d1adec55aa,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
894652,c65,1c9fd01f187d63f0b26c5aeab495a8323fd1b73b,/home/infres/yinwang/CMI_AAAI/c78f_oaci,cancelled,false,,,,,cancelled_after_stale_worktree_detected,d09f0ad06d6e59b908037317d6c044f7ababd3466cb46d5b901cf6f0855baf04,84,529f49f185b6fff94c4d829a8e2aafc3f712e3ba4d9bb7594d410f75fe7259c5
894653,c23,1c9fd01f187d63f0b26c5aeab495a8323fd1b73b,/home/infres/yinwang/CMI_AAAI/c78f_oaci,cancelled,false,,,,,cancelled_after_stale_worktree_detected,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,84,6a0785bce73721b7298f8257f3748ed4b63e6ad856a3811b53bf998fdb48b86f
894654,full,1c9fd01f187d63f0b26c5aeab495a8323fd1b73b,/home/infres/yinwang/CMI_AAAI/c78f_oaci,cancelled,false,,,,,cancelled_after_stale_worktree_detected,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,84,318e981cfe613b5ef51414cd94fba729147cb7f2e5a7bafcfd92bcd2640675b5
894655,focused,212d864a5c2903cf66453a3fb51f4e630d7fbe73,/home/infres/yinwang/CMI_AAAI_oaci,failed,false,53,1,0,3,obsolete_preflight_result_absence_assertion,13f4c08393809b35bc3ccd371499d36c0b1d631c765177b389f579d72e95b752,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
894656,c65,212d864a5c2903cf66453a3fb51f4e630d7fbe73,/home/infres/yinwang/CMI_AAAI_oaci,failed,false,368,1,1,3,obsolete_preflight_result_absence_assertion,d51a9ee0add171d9b0338671b9e449305c41de4d3a3cd6a07b8426fb36861027,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
894657,c23,212d864a5c2903cf66453a3fb51f4e630d7fbe73,/home/infres/yinwang/CMI_AAAI_oaci,cancelled,false,,,,3,cancelled_after_common_lifecycle_failure_identified,66a9d6be1cef7af329a8ec14d7101fecd1082d84a9ed31f6f28869e21cf6c732,84,4f95e77f2796322efc04303c18d5b35a734b0dcdb08c8882f1e7683fa9097848
894658,full,212d864a5c2903cf66453a3fb51f4e630d7fbe73,/home/infres/yinwang/CMI_AAAI_oaci,cancelled,false,,,,3,cancelled_after_common_lifecycle_failure_identified,32da411883abe7afbf1c386a93206c6c5f239eb569321a43f66e32b8cf05fac2,84,3074fa27772dbc153749e78ca7f923d1a42b6f21ec7ad172ba5431e98563137d
894660,focused,ebc6afe33ac7f15648012d1916281df277190228,/home/infres/yinwang/CMI_AAAI_oaci,completed,true,54,0,0,0,accepted_final,db698e4634d2038c1d93f08f97b9e420e589f887e8580676b5f272e810dfd94f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
894661,c65,ebc6afe33ac7f15648012d1916281df277190228,/home/infres/yinwang/CMI_AAAI_oaci,completed,true,369,0,1,3,accepted_final,8885e78f04a215fad5f8a6774c03e7cb6acb77febf600d5e883c7cf797d110b3,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
894662,c23,ebc6afe33ac7f15648012d1916281df277190228,/home/infres/yinwang/CMI_AAAI_oaci,completed,true,776,0,1,3,accepted_final,4f226172f74daf621c279415556636d25c3dcdf11b4843ef65c97974cadc27a3,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
894663,full,ebc6afe33ac7f15648012d1916281df277190228,/home/infres/yinwang/CMI_AAAI_oaci,completed,true,1704,0,1,3,accepted_final,8337eaf6cf0783785cfccb4005461a8751b8eb8fb60d5ba9dffe40ea087378ca,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
