seed,budget,reliability_mean,reliability_simultaneous_low,reliability_simultaneous_high,regret_reduction_mean,regret_reduction_simultaneous_low,regret_reduction_simultaneous_high,material_actionability_target_fraction,reliability_is_actionability_precondition
3,1,0.3968977790635123,0.3338225953982743,0.4599729627287503,0.426092786538936,0.36030978591954044,0.4918757871583316,1.0,0
3,2,0.5016559363627685,0.44710976506031175,0.5562021076652253,0.5012670192007567,0.4395733703016106,0.5629606680999028,1.0,0
3,4,0.6020220936653591,0.5620931461181548,0.6419510412125634,0.5628741653009357,0.5088145547079893,0.6169337758938821,1.0,0
3,8,0.6859056200757448,0.6531886220059326,0.7186226181455571,0.6131658308501906,0.5622584681596172,0.664073193540764,1.0,0
3,16,0.7505704458591559,0.7102987860084935,0.7908421057098183,0.644940339653889,0.5902821850504033,0.6995984942573746,1.0,0
3,32,0.797381525408321,0.7476889725852035,0.8470740782314384,0.6676053289902208,0.6028098785357247,0.732400779444717,1.0,0
3,FULL,0.8285235357780838,0.7729908642658335,0.8840562072903341,0.6966816506098336,0.6159743108469684,0.7773889903726987,1.0,0
4,1,0.37555111413773007,0.3050217292395451,0.446080499035915,0.42374240248226924,0.3165378930945462,0.5309469118699923,1.0,0
4,2,0.484454184255045,0.42357105646597326,0.5453373120441167,0.4972455225989379,0.395774538998847,0.5987165061990287,1.0,0
4,4,0.593638472335085,0.5433282807143651,0.643948663955805,0.5649675154980879,0.4718266750394905,0.6581083559566853,1.0,0
4,8,0.6836625547076354,0.6392559071891345,0.7280692022261362,0.6163190284482268,0.5315095720359965,0.7011284848604572,1.0,0
4,16,0.7490544806134056,0.7040794393327109,0.7940295218941004,0.6528234689797675,0.5767352668892332,0.7289116710703019,1.0,0
4,32,0.7968609664741566,0.7504586860754929,0.8432632468728203,0.6797618216572109,0.610821771139079,0.7487018721753428,1.0,0
4,FULL,0.8322546365135629,0.785085513605635,0.8794237594214908,0.6867805155048384,0.6151253604136531,0.7584356705960238,1.0,0
