ordinal,check,status,blocking,evidence
1,report_hash_frozen,PASS,0,b3c4b8eaa6859dcf3b54190e1672d8ca39a0b0e53f918a7d3d3eafd2fc9f0272
2,primary_taxonomy_exact,PASS,0,C80_A
3,project_control_gate_exact,PASS,0,C80E_COMPLETE_C81_PROTOCOL_REVIEW_REQUIRED
4,Bstar_seed3_exact,PASS,0,1
5,Bstar_seed4_exact,PASS,0,1
6,cross_seed_distance_exact,PASS,0,0
7,cross_seed_interval_exact,PASS,0,minus0.072244_to_0.067543
8,all_budget_frontier_values_replay,PASS,0,14_rows
9,positive_target_counts_replay,PASS,0,8_of_8
10,catastrophic_target_counts_replay,PASS,0,zero
11,B1_absolute_regret_disclosed,PASS,0,0.353383_0.373705
12,B1_top1_limit_disclosed,PASS,0,0.037842_0.038391
13,source_baseline_weakness_disclosed,PASS,0,source_regret_exceeds_random
14,random_topk_baselines_disclosed,PASS,0,1_81_5_81_10_81
15,LOTO_sensitivity_disclosed,PASS,0,16_of_16_changes
16,nonmonotone_targets_disclosed,PASS,0,4_seed3_3_seed4
17,S3_instability_disclosed,PASS,0,sign_reversal
18,FULL_cell_specific_semantics,PASS,0,range61_to81_no_interpolation
19,reliability_not_causal,PASS,0,secondary_concordance_only
20,training_seed_not_equivalence,PASS,0,CI_contains_zero_not_equivalence_interval
21,existing_field_status_disclosed,PASS,0,retrospective_same_targets_trials
22,target4_excluded,PASS,0,zero_primary_rows
23,oracle_closed,PASS,0,zero_accesses
24,source_only_claim_absent,PASS,0,explicitly_forbidden
25,universal_minimum_claim_absent,PASS,0,explicitly_forbidden
26,deployability_claim_absent,PASS,0,explicitly_forbidden
27,external_validation_claim_absent,PASS,0,explicitly_forbidden
28,mechanism_or_H2_rescue_claim_absent,PASS,0,explicitly_forbidden
29,C81_auto_start_absent,PASS,0,review_required_not_authorized
30,direct_PI_no_token_policy_reported,PASS,0,automatic_machine_binding_only
