seed,target,level,budget,ERM_fraction,OACI_fraction,SRC_fraction
3,1,0,1,0.00439453125,0.6142578125,0.38134765625
3,1,0,2,0.00048828125,0.72119140625,0.2783203125
3,1,0,4,0.00048828125,0.80126953125,0.1982421875
3,1,0,8,0.0,0.8583984375,0.1416015625
3,1,0,16,0.0,0.87890625,0.12109375
3,1,0,32,0.0,0.90625,0.09375
3,1,0,FULL,0.0,1.0,0.0
3,1,1,1,0.00244140625,0.46533203125,0.5322265625
3,1,1,2,0.00048828125,0.5166015625,0.48291015625
3,1,1,4,0.0,0.5029296875,0.4970703125
3,1,1,8,0.0,0.4775390625,0.5224609375
3,1,1,16,0.0,0.4033203125,0.5966796875
3,1,1,32,0.0,0.2900390625,0.7099609375
3,1,1,FULL,0.0,0.0,1.0
3,2,0,1,0.0224609375,0.58984375,0.3876953125
3,2,0,2,0.0205078125,0.630859375,0.3486328125
3,2,0,4,0.02197265625,0.63720703125,0.3408203125
3,2,0,8,0.0166015625,0.63427734375,0.34912109375
3,2,0,16,0.0068359375,0.58203125,0.4111328125
3,2,0,32,0.00048828125,0.47021484375,0.529296875
3,2,0,FULL,0.0,0.0,1.0
3,2,1,1,0.0478515625,0.54931640625,0.40283203125
3,2,1,2,0.06787109375,0.505859375,0.42626953125
3,2,1,4,0.08984375,0.48046875,0.4296875
3,2,1,8,0.12451171875,0.43408203125,0.44140625
3,2,1,16,0.18798828125,0.40869140625,0.4033203125
3,2,1,32,0.31298828125,0.35693359375,0.330078125
3,2,1,FULL,1.0,0.0,0.0
3,3,0,1,0.001953125,0.42724609375,0.57080078125
3,3,0,2,0.0,0.4609375,0.5390625
3,3,0,4,0.0,0.48486328125,0.51513671875
3,3,0,8,0.0,0.49072265625,0.50927734375
3,3,0,16,0.0,0.5126953125,0.4873046875
3,3,0,32,0.0,0.4873046875,0.5126953125
3,3,0,FULL,0.0,0.0,1.0
3,3,1,1,0.02001953125,0.52197265625,0.4580078125
3,3,1,2,0.02880859375,0.6611328125,0.31005859375
3,3,1,4,0.02197265625,0.80908203125,0.1689453125
3,3,1,8,0.0146484375,0.91357421875,0.07177734375
3,3,1,16,0.00244140625,0.9794921875,0.01806640625
