seed,target,level,budget,MC_chains,expected_standardized_regret,MC_standard_error,source_standardized_regret,regret_reduction_vs_source,top1,top5,top10,source_top1,source_top5,source_top10,delta_top1_vs_source,delta_top5_vs_source,delta_top10_vs_source,coverage_top1,coverage_top5,coverage_top10,source_coverage_top1,source_coverage_top5,source_coverage_top10,reliability,probability_beats_random_expectation,random_expected_regret,evaluation_best_local_index,same_label_oracle_accessed,target4_primary,material_topk_component,material_regret_component,material_actionability
3,1,0,1,2048,0.3185504415760869,0.005257859905972301,0.7729468599033816,0.4543964183272947,0.033203125,0.109375,0.2001953125,0,0,0,0.033203125,0.109375,0.2001953125,0.0546875,0.208984375,0.37060546875,0,0,0,0.384028371434401,0.666015625,0.42028985507246364,62,0,0,1,1,1
3,1,0,2,2048,0.24186197916666663,0.004215405162747952,0.7729468599033816,0.531084880736715,0.04150390625,0.1474609375,0.25390625,0,0,0,0.04150390625,0.1474609375,0.25390625,0.0693359375,0.27734375,0.4658203125,0,0,0,0.5169301849203007,0.79833984375,0.42028985507246364,62,0,0,1,1,1
3,1,0,4,2048,0.1888233129528985,0.003375938757606303,0.7729468599033816,0.5841235469504831,0.04248046875,0.169921875,0.3095703125,0,0,0,0.04248046875,0.169921875,0.3095703125,0.0986328125,0.3671875,0.58984375,0,0,0,0.637195446057123,0.8955078125,0.42028985507246364,62,0,0,1,1,1
3,1,0,8,2048,0.14485912967995168,0.0027229522918443805,0.7729468599033816,0.62808773022343,0.0498046875,0.2041015625,0.357421875,0,0,0,0.0498046875,0.2041015625,0.357421875,0.14892578125,0.47802734375,0.69970703125,0,0,0,0.738851964736243,0.95556640625,0.42028985507246364,62,0,0,1,1,1
3,1,0,16,2048,0.12221656099033816,0.002320061423817356,0.7729468599033816,0.6507302989130435,0.04345703125,0.22607421875,0.42236328125,0,0,0,0.04345703125,0.22607421875,0.42236328125,0.19775390625,0.58349609375,0.806640625,0,0,0,0.8166499600132886,0.97900390625,0.42028985507246364,62,0,0,1,1,1
3,1,0,32,2048,0.10307923837560387,0.0019406188831096471,0.7729468599033816,0.6698676215277778,0.0263671875,0.2373046875,0.47802734375,0,0,0,0.0263671875,0.2373046875,0.47802734375,0.3046875,0.763671875,0.93505859375,0,0,0,0.8753875612121074,0.99755859375,0.42028985507246364,62,0,0,1,1,1
3,1,0,FULL,2048,0.028985507246376833,1.5336678930393502e-19,0.7729468599033816,0.7439613526570048,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.9226208630832619,1.0,0.42028985507246364,62,0,0,0,1,1
3,1,1,1,2048,0.37108090049342113,0.005634839163755969,0.7982456140350878,0.42716471354166663,0.0283203125,0.14404296875,0.25634765625,0,0,0,0.0283203125,0.14404296875,0.25634765625,0.171875,0.56982421875,0.7998046875,0,0,0,0.362340897783232,0.6494140625,0.4736842105263158,63,0,0,1,1,1
3,1,1,2,2048,0.2945942125822369,0.005036808290247575,0.7982456140350878,0.5036514014528508,0.04296875,0.18896484375,0.33642578125,0,0,0,0.04296875,0.18896484375,0.33642578125,0.2392578125,0.69384765625,0.88427734375,0,0,0,0.48219359919127625,0.75927734375,0.4736842105263158,63,0,0,1,1,1
3,1,1,4,2048,0.2159852145010966,0.004223636509794434,0.7982456140350878,0.5822603995339912,0.0615234375,0.26123046875,0.4560546875,0,0,0,0.0615234375,0.26123046875,0.4560546875,0.32080078125,0.79345703125,0.95166015625,0,0,0,0.5981681950726964,0.87890625,0.4736842105263158,63,0,0,1,1,1
