role,path,expected_sha256,observed_sha256,passed
seed3_complete_field_manifest,oaci/reports/c78f_tables/full_unit_manifest.csv,b90f2d3b9da8ce091c585897c614217fc7064901908c1fb87cbd128d6221e3fc,b90f2d3b9da8ce091c585897c614217fc7064901908c1fb87cbd128d6221e3fc,1
seed3_primary_view_route,oaci/reports/C78S_PRIMARY_VIEW_ROUTE.json,c99c91fbbcfb7d4316420d12e26c167ea2d81ec7a7d7a5bd59654e71a8286b67,c99c91fbbcfb7d4316420d12e26c167ea2d81ec7a7d7a5bd59654e71a8286b67,1
seed3_unlabeled_cache_manifest,/projects/EEG-foundation-model/yinghao/oaci-c78s-seed3-science/protocol_df85699090a65d1e/implementation_5d268e2eeec6bea0/unlabeled_feature_cache_manifest.json,3c829d801aa64a06627dd8fee19fcff89db19dedd232a3b29169e95f21fcf325,3c829d801aa64a06627dd8fee19fcff89db19dedd232a3b29169e95f21fcf325,1
seed3_primary_nonoracle_freeze,/projects/EEG-foundation-model/yinghao/oaci-c78s-seed3-science/protocol_df85699090a65d1e/implementation_5d268e2eeec6bea0/PRIMARY_NON_ORACLE_INPUTS_FROZEN.json,5fee79021d98008017d72f642f305b42b3aadcd26b075c0989c066e3f40555eb,5fee79021d98008017d72f642f305b42b3aadcd26b075c0989c066e3f40555eb,1
seed4_complete_field_manifest,oaci/reports/c79_tables/seed4_field_manifest.csv,5093ee7f984b336683e629dd10656629f98cd3dd884335a538cfedbd10c8879d,5093ee7f984b336683e629dd10656629f98cd3dd884335a538cfedbd10c8879d,1
seed4_field_generation_identity,oaci/reports/C79_SEED4_FIELD_GENERATION.json,13fc957b89dcb941fc8f4edeb48f3fdbea5796bb3b5cf8ca86a00eec0c33597e,13fc957b89dcb941fc8f4edeb48f3fdbea5796bb3b5cf8ca86a00eec0c33597e,1
seed4_external_full_field_freeze_current,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/gates/FULL_SEED4_FIELD_FROZEN.json,c39b9c53a490005e2592e225ba3fbdeed3b1b00d7a48dc7d96aff4b869c68e49,c39b9c53a490005e2592e225ba3fbdeed3b1b00d7a48dc7d96aff4b869c68e49,1
seed4_primary_view_route,oaci/reports/C79_SEED4_PRIMARY_VIEW_ROUTE.json,f3de19edc9cece07437db03337d2222005c60106388669f2599cf0f96abf9290,f3de19edc9cece07437db03337d2222005c60106388669f2599cf0f96abf9290,1
seed4_unlabeled_cache_manifest,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/analysis/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/unlabeled_feature_cache_manifest.json,e1f126e6d574962f9d0d9f0dece03d06dd368bd1a036259bdc598a13af34636d,e1f126e6d574962f9d0d9f0dece03d06dd368bd1a036259bdc598a13af34636d,1
seed4_primary_nonoracle_freeze,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/analysis/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/PRIMARY_NON_ORACLE_INPUTS_FROZEN.json,4a85c9e8aedb609148beda4261b97703ebd834a7f75f0a6d5e75e7fc491a1e79,4a85c9e8aedb609148beda4261b97703ebd834a7f75f0a6d5e75e7fc491a1e79,1
shared_construction_evaluation_split,oaci/reports/c78s_tables/label_split_isolation.csv,7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721,7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721,1
