seed,target,level,class0,class1,class2,class3,minimum,FULL_semantics
3,1,0,76,70,68,66,66,all_available_per_cell_not_numeric_61
3,1,1,76,70,68,66,66,all_available_per_cell_not_numeric_61
3,2,0,62,72,68,81,62,all_available_per_cell_not_numeric_61
3,2,1,62,72,68,81,62,all_available_per_cell_not_numeric_61
3,3,0,65,69,66,71,65,all_available_per_cell_not_numeric_61
3,3,1,65,69,66,71,65,all_available_per_cell_not_numeric_61
3,5,0,77,72,70,61,61,all_available_per_cell_not_numeric_61
3,5,1,77,72,70,61,61,all_available_per_cell_not_numeric_61
3,6,0,62,77,80,72,62,all_available_per_cell_not_numeric_61
3,6,1,62,77,80,72,62,all_available_per_cell_not_numeric_61
3,7,0,63,73,61,67,61,all_available_per_cell_not_numeric_61
3,7,1,63,73,61,67,61,all_available_per_cell_not_numeric_61
3,8,0,76,66,75,65,65,all_available_per_cell_not_numeric_61
3,8,1,76,66,75,65,65,all_available_per_cell_not_numeric_61
3,9,0,70,63,70,81,63,all_available_per_cell_not_numeric_61
3,9,1,70,63,70,81,63,all_available_per_cell_not_numeric_61
4,1,0,76,70,68,66,66,all_available_per_cell_not_numeric_61
4,1,1,76,70,68,66,66,all_available_per_cell_not_numeric_61
4,2,0,62,72,68,81,62,all_available_per_cell_not_numeric_61
4,2,1,62,72,68,81,62,all_available_per_cell_not_numeric_61
4,3,0,65,69,66,71,65,all_available_per_cell_not_numeric_61
4,3,1,65,69,66,71,65,all_available_per_cell_not_numeric_61
4,5,0,77,72,70,61,61,all_available_per_cell_not_numeric_61
4,5,1,77,72,70,61,61,all_available_per_cell_not_numeric_61
4,6,0,62,77,80,72,62,all_available_per_cell_not_numeric_61
4,6,1,62,77,80,72,62,all_available_per_cell_not_numeric_61
4,7,0,63,73,61,67,61,all_available_per_cell_not_numeric_61
4,7,1,63,73,61,67,61,all_available_per_cell_not_numeric_61
4,8,0,76,66,75,65,65,all_available_per_cell_not_numeric_61
4,8,1,76,66,75,65,65,all_available_per_cell_not_numeric_61
4,9,0,70,63,70,81,63,all_available_per_cell_not_numeric_61
4,9,1,70,63,70,81,63,all_available_per_cell_not_numeric_61
