check,expected,observed,status
direct_PI_authorization_received,1,1,PASS
magic_token_required,0,0,PASS
PI_hash_repetition_required,0,0,PASS
protocol_sha256,2d72eb5119056a6520fd33fc0ac14ee6270bfd573b59c36b74be6aa3dc25fe39,2d72eb5119056a6520fd33fc0ac14ee6270bfd573b59c36b74be6aa3dc25fe39,PASS
analysis_lock_sha256,e18f2b5f1d79b6fcd96207339c5842e30b7aecb5bc22b8939a475487068b1b82,e18f2b5f1d79b6fcd96207339c5842e30b7aecb5bc22b8939a475487068b1b82,PASS
manifest_digest,6180275dcef26bdda4ae4b291d1ef6dc83434462ecacee0350fa94ae9c6a7fef,6180275dcef26bdda4ae4b291d1ef6dc83434462ecacee0350fa94ae9c6a7fef,PASS
manifest_objects,11,11,PASS
registry_bound_cells,80,80,PASS
target4_primary,0,0,PASS
same_label_oracle_reachable,0,0,PASS
result_exists_before_execution,0,0,PASS
selection_freeze_exists_before_execution,0,0,PASS
evaluation_label_value_reads_before_execution,0,0,PASS
